Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
query,1000,0,100.2,0.01,0.00,0.00,100.1,query_report_100_20251108-185045,100
query,1000,0,100.2,0.01,0.00,0.00,100.1,query_report_100_20251108-183725,100
query,1000,0,100.1,0.01,0.00,0.00,100.1,query_report_100_20251108-180905,100
query,1000,0,100.1,0.01,0.00,0.00,100.1,query_report_100_20251108-182315,100
query,1000,0,200.4,0.01,0.00,0.00,200.3,query_report_200_20251108-183748,200
query,1000,0,200.4,0.01,0.00,0.00,200.3,query_report_200_20251108-185108,200
query,1000,0,200.4,0.01,0.00,0.00,200.3,query_report_200_20251108-180928,200
query,1000,0,200.4,0.01,0.00,0.00,200.3,query_report_200_20251108-182338,200
query,1000,0,300.8,0.01,0.00,0.00,300.6,query_report_300_20251108-182357,300
query,1000,0,300.8,0.01,0.00,0.00,300.6,query_report_300_20251108-183807,300
query,1000,0,300.8,0.01,0.00,0.00,300.6,query_report_300_20251108-185127,300
query,1000,0,300.7,0.01,0.00,0.00,300.5,query_report_300_20251108-181002,300
query,1000,0,401.0,0.01,0.00,0.00,400.8,query_report_400_20251108-183824,400
query,1000,0,401.3,0.01,0.00,0.00,401.0,query_report_400_20251108-182413,400
query,1000,0,401.3,0.01,0.00,0.00,401.1,query_report_400_20251108-190511,400
query,1000,0,401.3,0.01,0.00,0.00,401.1,query_report_400_20251108-185143,400
query,1000,0,401.1,0.01,0.00,0.00,400.8,query_report_400_20251108-181018,400
query,1000,0,501.8,0.01,0.00,0.00,501.5,query_report_500_20251108-182429,500
query,1000,0,501.8,0.01,0.00,0.00,501.3,query_report_500_20251108-181034,500
query,1000,0,501.8,0.01,0.00,0.00,501.5,query_report_500_20251108-190538,500
query,1000,0,501.5,0.01,0.00,0.00,501.0,query_report_500_20251108-183839,500
query,1000,0,601.0,0.01,0.00,0.00,600.2,query_report_600_20251108-183855,600
query,1000,0,589.6,0.01,0.00,0.00,589.3,query_report_600_20251108-181050,600
query,1000,0,601.3,0.01,0.00,0.00,600.6,query_report_600_20251108-182445,600
query,1000,0,602.4,0.01,0.00,0.00,602.0,query_report_600_20251108-190553,600
query,1000,0,601.7,0.01,0.00,0.00,601.0,query_report_700_20251108-182500,700
query,1000,0,597.4,0.01,0.00,0.00,597.0,query_report_700_20251108-181105,700
query,1000,0,601.0,0.01,0.00,0.00,600.6,query_report_700_20251108-190608,700
query,1000,0,592.1,0.01,0.00,0.00,591.4,query_report_700_20251108-183910,700
