Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB],Memory(avg) [MB],Disc Read [KB]
/node-besu3,0.024583333333333332,0.007916666666666667,0.557,0.557,0.00,0.00,1.20,0.00,open_report_60_20251108-161356,60,,,
/node-besu1,0.16125,0.035833333333333335,1.47,1.47,0.00,0.00,2.02,0.00,open_report_60_20251108-161356,60,,,
/node-besu6,0.09708333333333334,0.024583333333333332,0.612,0.611,0.00,0.00,0.961,0.00,open_report_60_20251108-161356,60,,,
/node-besu5,0.11916666666666666,0.025416666666666667,0.607,0.607,0.00,0.00,1.18,0.00,open_report_60_20251108-161356,60,,,
/node-besu3,0.07583333333333334,0.01875,0.556,0.555,0.00,0.00,0.898,0.00,open_report_60_20251108-160356,60,,,
/node-besu1,0.06166666666666667,0.024583333333333332,1.46,1.31,0.00,0.00,1.36,0.00,open_report_60_20251108-160356,60,,,
/node-besu4,0.02125,0.012083333333333333,0.662,0.662,0.00,0.00,0.738,0.00,open_report_60_20251108-160356,60,,,
/node-besu2,0.022083333333333333,0.012916666666666667,0.594,0.593,0.00,0.00,0.387,0.00,open_report_60_20251108-160356,60,,,
/node-besu2,0.16291666666666668,0.03333333333333333,0.606,0.605,0.00,0.00,1.17,0.00,open_report_60_20251108-162426,60,,,
/node-besu4,0.09916666666666667,0.020833333333333332,0.648,0.648,0.00,0.00,0.883,0.00,open_report_60_20251108-162426,60,,,
/node-besu3,0.02666666666666667,0.007916666666666667,0.583,0.574,0.00,0.00,1.28,0.00,open_report_60_20251108-162426,60,,,
/node-besu1,0.08750000000000001,0.022083333333333333,1.48,1.47,0.00,0.00,1.75,0.00,open_report_60_20251108-162426,60,,,
/node-besu4,0.11291666666666667,0.023333333333333334,0.654,0.654,0.00,0.00,0.891,0.00,open_report_60_20251108-161356,60,,,
/node-besu2,0.09541666666666666,0.02291666666666667,0.601,0.601,0.00,0.00,1.07,0.00,open_report_60_20251108-161356,60,,,
/node-besu5,0.11291666666666667,0.0275,0.624,0.617,0.00,0.00,0.781,0.00,open_report_60_20251108-162426,60,,,
/node-besu6,0.09875,0.022083333333333333,0.616,0.615,0.00,0.00,1.16,0.00,open_report_60_20251108-162426,60,,,
/node-besu5,0.020833333333333332,0.012916666666666667,0.603,0.602,0.00,0.00,0.742,0.00,open_report_60_20251108-160356,60,,,
/node-besu6,0.024999999999999998,0.013333333333333334,0.614,0.614,0.00,0.00,1.04,0.00,open_report_60_20251108-160356,60,,,
/node-besu4,0.5670833333333333,0.08708333333333333,0.598,,0.00,0.00,1.32,,open_report_60_20251108-155334,60,,598,36.0
/node-besu2,0.58,0.08916666666666667,0.536,,0.00,0.00,1.56,,open_report_60_20251108-155334,60,,534,36.0
/node-besu5,0.54,0.08833333333333333,0.546,,0.00,0.00,1.54,,open_report_60_20251108-155334,60,,517,36.0
/node-besu6,0.5904166666666667,0.08625,0.514,,0.00,0.00,1.54,,open_report_60_20251108-155334,60,,495,36.0
/node-besu3,0.24291666666666667,0.05333333333333334,0.503,,0.00,0.00,1.52,,open_report_60_20251108-155334,60,,506,36.0
/node-besu1,1.18875,0.2708333333333333,1.11,,0.00,0.00,0.773,,open_report_60_20251108-155334,60,,669,96.0
/node-besu2,0.014583333333333332,0.008333333333333333,0.595,0.594,0.00,0.00,1.00,0.00,open_report_80_20251108-160459,80,,,
/node-besu4,0.06,0.015833333333333335,0.663,0.663,0.00,0.00,0.500,0.00,open_report_80_20251108-160459,80,,,
/node-besu3,0.01916666666666667,0.010833333333333334,0.556,0.556,0.00,0.00,0.234,0.00,open_report_80_20251108-160459,80,,,
/node-besu1,0.23375,0.07583333333333334,1.46,1.46,0.00,0.00,1.63,0.00,open_report_80_20251108-160459,80,,,
/node-besu5,0.02791666666666667,0.011666666666666667,0.604,0.603,0.00,0.00,0.129,0.00,open_report_80_20251108-160459,80,,,
/node-besu6,0.017916666666666668,0.008749999999999999,0.615,0.614,0.00,0.00,0.758,0.00,open_report_80_20251108-160459,80,,,
/node-besu5,0.05708333333333334,0.011666666666666667,0.616,0.616,0.00,0.00,0.227,0.00,open_report_80_20251108-162526,80,,,
/node-besu6,0.015833333333333335,0.0062499999999999995,0.616,0.616,0.00,0.00,0.844,0.00,open_report_80_20251108-162526,80,,,
/node-besu3,0.01916666666666667,0.007916666666666667,0.584,0.584,0.00,0.00,0.852,0.00,open_report_80_20251108-162526,80,,,
/node-besu1,0.08,0.023333333333333334,1.48,1.48,0.00,0.00,0.371,0.00,open_report_80_20251108-162526,80,,,
/node-besu4,0.055,0.01375,0.600,0.599,0.00,0.00,0.555,0.00,open_report_80_20251108-155434,80,,,
/node-besu2,0.06708333333333334,0.01375,0.537,0.535,0.00,0.00,1.02,0.00,open_report_80_20251108-155434,80,,,
/node-besu3,0.03875,0.011250000000000001,0.540,0.518,0.00,0.00,0.910,0.00,open_report_80_20251108-155434,80,,,
