Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
open,1000,0,60.1,31.21,0.30,22.02,28.4,open_report_60_20251108-160356,60
open,1000,0,60.1,28.93,16.23,22.78,30.4,open_report_60_20251108-155334,60
open,1000,0,60.1,30.04,2.51,10.90,21.5,open_report_60_20251108-162426,60
open,1000,0,60.1,30.06,4.10,11.03,21.5,open_report_60_20251108-161356,60
open,1000,0,80.1,31.63,0.25,23.68,28.9,open_report_80_20251108-161456,80
open,1000,0,80.1,30.42,2.92,13.39,25.4,open_report_80_20251108-155434,80
open,1000,0,80.1,30.67,0.30,22.65,28.5,open_report_80_20251108-162526,80
open,1000,0,80.1,14.04,4.91,9.56,57.5,open_report_80_20251108-160459,80
open,1000,0,100.2,20.46,10.47,14.01,48.5,open_report_100_20251108-155527,100
open,1000,0,100.2,15.95,5.96,11.03,56.8,open_report_100_20251108-162629,100
open,1000,0,100.2,13.70,3.72,9.96,60.3,open_report_100_20251108-160530,100
open,1000,0,100.2,14.29,7.57,11.00,57.0,open_report_100_20251108-161559,100
open,1000,0,120.2,14.19,5.87,10.75,60.7,open_report_120_20251108-161630,120
open,1000,0,120.2,13.27,8.34,10.83,60.0,open_report_120_20251108-160600,120
open,1000,0,120.2,13.42,8.34,10.90,60.0,open_report_120_20251108-155600,120
open,1000,0,120.2,13.44,8.40,10.97,59.8,open_report_120_20251108-162700,120
open,1000,0,140.3,16.20,9.07,11.29,60.6,open_report_140_20251108-155630,140
open,1000,0,140.3,13.66,9.94,11.86,58.6,open_report_140_20251108-161700,140
open,1000,0,140.3,14.75,7.62,11.41,60.3,open_report_140_20251108-162730,140
open,1000,0,140.3,13.78,6.59,11.45,60.0,open_report_140_20251108-160630,140
open,1000,0,160.3,13.23,10.29,11.71,60.5,open_report_160_20251108-155700,160
open,1000,0,160.3,13.92,7.67,11.65,61.1,open_report_160_20251108-161730,160
open,1000,0,160.3,13.24,10.33,11.73,60.4,open_report_160_20251108-160700,160
open,1000,0,160.3,13.41,10.37,11.80,60.2,open_report_160_20251108-162800,160
open,1000,0,168.6,13.44,7.45,11.96,59.7,open_report_180_20251108-160730,180
open,1000,0,167.1,13.58,10.88,12.12,59.3,open_report_180_20251108-161800,180
open,1000,0,169.1,15.00,9.09,12.23,58.8,open_report_180_20251108-162830,180
open,1000,0,162.0,16.04,9.86,11.64,60.6,open_report_180_20251108-155730,180
