Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS,Disc Read [KB]
/node-besu3,0.015833333333333335,0.007083333333333334,0.558,0.558,0.00,0.00,16.0,0.00,query_report_100_20251108-161830,100,
/node-besu1,0.017083333333333332,0.009166666666666667,1.47,1.47,0.00,0.00,196,0.00,query_report_100_20251108-161830,100,
/node-besu6,0.002916666666666667,0.0025,0.614,0.614,0.00,0.00,84.0,0.00,query_report_100_20251108-161830,100,
/node-besu5,0.0033333333333333335,0.0033333333333333335,0.611,0.611,0.00,0.00,100,0.00,query_report_100_20251108-161830,100,
/node-besu4,0.0033333333333333335,0.002916666666666667,0.646,0.646,0.00,0.00,0.00,0.00,query_report_100_20251108-161830,100,
/node-besu2,0.002916666666666667,0.0025,0.604,0.604,0.00,0.00,16.0,0.00,query_report_100_20251108-161830,100,
/node-besu4,0.018333333333333333,0.007916666666666667,0.666,0.666,0.00,0.00,172,0.00,query_report_100_20251108-160800,100,
/node-besu2,0.002916666666666667,0.002916666666666667,0.597,0.597,0.00,0.00,392,0.00,query_report_100_20251108-160800,100,
/node-besu3,0.008333333333333333,0.005,0.557,0.556,0.00,0.00,96.0,0.00,query_report_100_20251108-160800,100,
/node-besu1,0.04791666666666666,0.017916666666666668,1.47,1.47,0.00,0.00,200,0.00,query_report_100_20251108-160800,100,
/node-besu4,0.002916666666666667,0.0025,0.655,0.655,0.00,0.00,88.0,,query_report_100_20251108-155800,100,0.00
/node-besu2,0.002916666666666667,0.0025,0.589,0.589,0.00,0.00,120,,query_report_100_20251108-155800,100,0.00
/node-besu5,0.002916666666666667,0.002916666666666667,0.597,0.597,0.00,0.00,124,,query_report_100_20251108-155800,100,0.00
/node-besu6,0.002916666666666667,0.002916666666666667,0.609,0.604,0.00,0.00,100,,query_report_100_20251108-155800,100,0.00
/node-besu3,0.0033333333333333335,0.002916666666666667,0.549,0.549,0.00,0.00,132,,query_report_100_20251108-155800,100,0.00
/node-besu1,0.05708333333333334,0.020833333333333332,1.28,1.28,0.00,0.00,404,,query_report_100_20251108-155800,100,12.0
/node-besu6,0.002916666666666667,0.002916666666666667,0.617,0.617,0.00,0.00,96.0,0.00,query_report_100_20251108-160800,100,
/node-besu5,0.002916666666666667,0.002916666666666667,0.605,0.605,0.00,0.00,88.0,0.00,query_report_100_20251108-160800,100,
/node-besu1,0.017499999999999998,0.009166666666666667,1.48,1.48,0.00,0.00,232,0.00,query_report_100_20251108-162900,100,
/node-besu3,0.002916666666666667,0.0025,0.590,0.590,0.00,0.00,120,0.00,query_report_100_20251108-162900,100,
/node-besu2,0.0075,0.004583333333333333,0.610,0.610,0.00,0.00,116,0.00,query_report_100_20251108-162900,100,
/node-besu4,0.007916666666666667,0.004583333333333333,0.654,0.653,0.00,0.00,144,0.00,query_report_100_20251108-162900,100,
/node-besu6,0.0075,0.004166666666666667,0.617,0.616,0.00,0.00,120,0.00,query_report_100_20251108-162900,100,
/node-besu5,0.011666666666666667,0.005416666666666667,0.618,0.618,0.00,0.00,116,0.00,query_report_100_20251108-162900,100,
/node-besu6,0.05375,0.028749999999999998,0.614,0.614,0.00,0.00,92.0,0.00,query_report_200_20251108-161853,200,
/node-besu5,0.01,0.0062499999999999995,0.611,0.611,0.00,0.00,88.0,0.00,query_report_200_20251108-161853,200,
/node-besu6,0.00375,0.002916666666666667,0.617,0.617,0.00,0.00,92.0,0.00,query_report_200_20251108-160824,200,
/node-besu5,0.0033333333333333335,0.0033333333333333335,0.605,0.605,0.00,0.00,84.0,0.00,query_report_200_20251108-160824,200,
/node-besu3,0.010416666666666666,0.006666666666666667,0.556,0.556,0.00,0.00,108,0.00,query_report_200_20251108-160824,200,
/node-besu1,0.004166666666666667,0.0033333333333333335,1.47,1.47,0.00,0.00,288,0.00,query_report_200_20251108-160824,200,
/node-besu3,0.002916666666666667,0.0025,0.590,0.590,0.00,0.00,84.0,0.00,query_report_200_20251108-162923,200,
/node-besu1,0.009166666666666667,0.005833333333333334,1.48,1.48,0.00,0.00,196,0.00,query_report_200_20251108-162923,200,
/node-besu5,0.009166666666666667,0.005833333333333334,0.597,0.597,0.00,0.00,80.0,0.00,query_report_200_20251108-155823,200,
/node-besu6,0.011250000000000001,0.007083333333333334,0.609,0.609,0.00,0.00,92.0,0.00,query_report_200_20251108-155823,200,
/node-besu4,0.015833333333333335,0.009166666666666667,0.656,0.656,0.00,0.00,80.0,0.00,query_report_200_20251108-155823,200,
/node-besu2,0.011666666666666667,0.0075,0.589,0.589,0.00,0.00,84.0,0.00,query_report_200_20251108-155823,200,
/node-besu4,0.002916666666666667,0.002916666666666667,0.666,0.666,0.00,0.00,0.00,0.00,query_report_200_20251108-160824,200,
/node-besu2,0.00375,0.002916666666666667,0.597,0.597,0.00,0.00,0.00,0.00,query_report_200_20251108-160824,200,
/node-besu4,0.009166666666666667,0.006666666666666667,0.646,0.646,0.00,0.00,0.00,0.00,query_report_200_20251108-161853,200,
/node-besu2,0.018333333333333333,0.010833333333333334,0.604,0.604,0.00,0.00,100,0.00,query_report_200_20251108-161853,200,
/node-besu3,0.0025,0.0025,0.549,0.549,0.00,0.00,92.0,0.00,query_report_200_20251108-155823,200,
/node-besu1,0.017083333333333332,0.013333333333333334,1.28,1.28,0.00,0.00,104,0.00,query_report_200_20251108-155823,200,
/node-besu1,0.012916666666666667,0.009583333333333334,1.47,1.47,0.00,0.00,184,0.00,query_report_200_20251108-161853,200,
/node-besu3,0.009166666666666667,0.005833333333333334,0.558,0.558,0.00,0.00,0.00,0.00,query_report_200_20251108-161853,200,
/node-besu4,0.009166666666666667,0.005833333333333334,0.654,0.654,0.00,0.00,84.0,0.00,query_report_200_20251108-162923,200,
/node-besu2,0.008749999999999999,0.005416666666666667,0.611,0.611,0.00,0.00,80.0,0.00,query_report_200_20251108-162923,200,
/node-besu6,0.009583333333333334,0.005833333333333334,0.620,0.620,0.00,0.00,84.0,0.00,query_report_200_20251108-162923,200,
/node-besu5,0.009166666666666667,0.005833333333333334,0.619,0.619,0.00,0.00,84.0,0.00,query_report_200_20251108-162923,200,
/node-besu4,0.03333333333333333,0.017916666666666668,0.656,0.656,0.00,0.00,100,0.00,query_report_300_20251108-155842,300,
/node-besu2,0.03375,0.017916666666666668,0.590,0.590,0.00,0.00,92.0,0.00,query_report_300_20251108-155842,300,
/node-besu5,0.04125,0.021666666666666667,0.598,0.597,0.00,0.00,96.0,0.00,query_report_300_20251108-155842,300,
/node-besu6,0.024999999999999998,0.01375,0.609,0.609,0.00,0.00,96.0,0.00,query_report_300_20251108-155842,300,
/node-besu6,0.010416666666666666,0.006666666666666667,0.614,0.614,0.00,0.00,44.0,0.00,query_report_300_20251108-161911,300,
/node-besu5,0.011666666666666667,0.007083333333333334,0.611,0.611,0.00,0.00,44.0,0.00,query_report_300_20251108-161911,300,
/node-besu3,0.017499999999999998,0.01,0.590,0.590,0.00,0.00,40.0,0.00,query_report_300_20251108-162942,300,
/node-besu1,0.0075,0.005,1.48,1.48,0.00,0.00,176,0.00,query_report_300_20251108-162942,300,
/node-besu2,0.002916666666666667,0.002916666666666667,0.598,0.597,0.00,0.00,88.0,0.00,query_report_300_20251108-160842,300,
/node-besu4,0.0025,0.0025,0.666,0.666,0.00,0.00,0.00,0.00,query_report_300_20251108-160842,300,
/node-besu4,0.0075,0.005416666666666667,0.654,0.654,0.00,0.00,48.0,0.00,query_report_300_20251108-162942,300,
/node-besu2,0.0075,0.005,0.610,0.610,0.00,0.00,44.0,0.00,query_report_300_20251108-162942,300,
/node-besu2,0.012916666666666667,0.0075,0.604,0.604,0.00,0.00,0.00,0.00,query_report_300_20251108-161911,300,
/node-besu4,0.02125,0.012083333333333333,0.647,0.646,0.00,0.00,0.00,0.00,query_report_300_20251108-161911,300,
