Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
transfer,50,0,51.2,25.20,24.24,24.70,2.0,transfer_report_50_20251108-161017,50
transfer,50,0,51.3,27.54,26.58,27.05,1.8,transfer_report_50_20251108-162045,50
transfer,50,0,51.3,28.61,27.65,28.12,1.7,transfer_report_50_20251108-160014,50
transfer,50,0,51.3,27.24,26.28,26.75,1.8,transfer_report_50_20251108-163115,50
transfer,50,0,61.7,16.63,15.84,16.22,3.0,transfer_report_60_20251108-162126,60
transfer,50,0,61.7,16.64,15.84,16.22,3.0,transfer_report_60_20251108-163156,60
transfer,50,0,61.6,16.63,15.84,16.22,3.0,transfer_report_60_20251108-161056,60
transfer,50,0,61.7,16.41,15.61,15.99,3.0,transfer_report_60_20251108-160056,60
transfer,50,0,71.9,16.69,16.01,16.32,3.0,transfer_report_70_20251108-160126,70
transfer,50,0,71.9,16.61,15.93,16.23,3.0,transfer_report_70_20251108-162156,70
transfer,50,0,71.9,16.54,15.86,16.15,3.0,transfer_report_70_20251108-161126,70
transfer,50,0,71.8,8.68,7.99,8.31,5.8,transfer_report_70_20251108-163752,70
transfer,50,0,82.4,16.77,16.18,16.42,3.0,transfer_report_80_20251108-162226,80
transfer,50,0,82.4,16.69,16.10,16.35,3.0,transfer_report_80_20251108-161156,80
transfer,50,0,82.4,16.52,15.93,16.17,3.0,transfer_report_80_20251108-163826,80
transfer,50,0,82.4,16.40,15.81,16.05,3.0,transfer_report_80_20251108-160156,80
transfer,50,0,92.8,16.62,16.09,16.29,3.0,transfer_report_90_20251108-160226,90
transfer,50,0,92.4,16.67,16.15,16.33,3.0,transfer_report_90_20251108-161226,90
transfer,50,0,92.4,16.71,16.19,16.38,3.0,transfer_report_90_20251108-162256,90
transfer,50,0,86.8,16.58,16.02,16.22,3.0,transfer_report_90_20251108-163856,90
transfer,50,0,91.2,16.75,16.21,16.41,3.0,transfer_report_100_20251108-161256,100
transfer,50,0,91.9,16.71,16.18,16.37,3.0,transfer_report_100_20251108-162326,100
transfer,50,0,89.8,16.61,16.07,16.27,3.0,transfer_report_100_20251108-163926,100
transfer,50,0,84.6,16.63,16.05,16.26,3.0,transfer_report_100_20251108-160256,100
transfer,50,0,90.3,16.66,16.11,16.30,3.0,transfer_report_110_20251108-162356,110
transfer,50,0,99.4,16.21,15.72,15.88,3.1,transfer_report_110_20251108-160326,110
transfer,50,0,96.0,16.75,16.25,16.42,3.0,transfer_report_110_20251108-161326,110
transfer,50,0,92.1,16.69,16.17,16.36,3.0,transfer_report_110_20251108-163956,110
