Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Test Type,Memory(avg) [MB],Disc Write [MB]
/node-besu5,0.03125,0.02875,0.680,0.680,0.00,0.00,52.0,0.00,query_report,,
/node-besu6,0.13875,0.09625,0.678,0.678,0.00,0.00,44.0,0.00,query_report,,
/node-besu3,0.11375,0.0775,0.536,0.536,0.00,0.00,0.00,0.00,query_report,,
/node-besu1,0.08375,0.06,1.09,1.08,0.00,0.00,196,0.00,query_report,,
/node-besu4,0.5475,0.33,0.567,0.567,0.00,0.00,0.00,0.00,query_report,,
/node-besu2,0.105,0.0675,0.674,0.674,0.00,0.00,52.0,0.00,query_report,,
/node-besu5,2.4375,1.1175,0.684,,0.00,0.00,,0.00,open_report,683,1.65
/node-besu6,1.6775,0.91,0.677,,0.00,0.00,,0.00,open_report,660,1.59
/node-besu3,2.95,1.295,0.539,,0.00,0.00,,0.00,open_report,505,0.160
/node-besu1,3.48125,1.97625,1.07,,0.00,0.00,,0.00,open_report,633,1.90
/node-besu4,1.75125,0.8325,0.568,,0.00,0.00,,0.00,open_report,570,0.809
/node-besu2,2.37125,1.1425,0.684,,0.00,0.00,,0.00,open_report,564,1.64
/node-besu5,0.08,0.06,0.685,0.683,0.00,0.00,188,0.00,transfer_report,,
/node-besu6,0.06875,0.045,0.686,0.682,0.00,0.00,144,0.00,transfer_report,,
/node-besu3,0.21875,0.12375,0.548,0.542,0.00,0.00,0.00,0.00,transfer_report,,
/node-besu1,0.06375,0.0475,1.09,1.09,0.00,0.00,192,0.00,transfer_report,,
/node-besu4,0.16125,0.1125,0.600,0.584,0.00,0.00,160,0.00,transfer_report,,
/node-besu2,2.41875,1.2225,0.687,0.680,0.00,0.00,148,0.00,transfer_report,,
