Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS,Disc Read [KB],Disc Write [MB]
/node3,1.8191666666666666,0.24916666666666668,482,482,0.00,0.00,644,0.00,open_report_40_20251112-144355,40,,
/node1,1.3591666666666666,0.48500000000000004,836,809,0.00,0.00,988,0.00,open_report_40_20251112-144355,40,,
/node4,1.8416666666666668,0.2508333333333333,521,498,0.00,0.00,596,0.00,open_report_40_20251112-144355,40,,
/node2,0.27416666666666667,0.08,546,541,0.00,0.00,548,0.00,open_report_40_20251112-144355,40,,
/node6,1.8291666666666666,0.25666666666666665,522,521,0.00,0.00,476,0.00,open_report_40_20251112-144355,40,,
/node5,1.8141666666666667,0.28833333333333333,521,515,0.00,0.00,500,0.00,open_report_40_20251112-144355,40,,
/node5,2.4525,0.33749999999999997,521,519,0.00,0.00,544,,open_report_60_20251112-144449,60,0.00,
/node6,1.9208333333333334,0.38833333333333336,565,542,0.00,0.00,444,,open_report_60_20251112-144449,60,0.00,
/node2,0.7958333333333334,0.165,539,538,0.00,0.00,336,,open_report_60_20251112-144449,60,0.00,
/node4,1.7991666666666666,0.37916666666666665,536,529,0.00,0.00,492,,open_report_60_20251112-144449,60,4.00,
/node1,1.6116666666666666,0.4633333333333333,783,782,0.00,0.00,856,,open_report_60_20251112-144449,60,0.00,
/node3,1.7300000000000002,0.4041666666666666,486,484,0.00,0.00,496,,open_report_60_20251112-144449,60,0.00,
/node6,0.36916666666666664,0.11083333333333334,566,519,0.00,0.00,380,0.00,open_report_80_20251112-144544,80,,
/node5,0.315,0.11,519,519,0.00,0.00,420,0.00,open_report_80_20251112-144544,80,,
/node2,0.10916666666666668,0.06166666666666667,539,539,0.00,0.00,516,0.00,open_report_80_20251112-144544,80,,
/node4,0.36833333333333335,0.11333333333333334,544,541,0.00,0.00,376,0.00,open_report_80_20251112-144544,80,,
/node3,0.4191666666666667,0.11166666666666668,488,484,0.00,0.00,420,0.00,open_report_80_20251112-144544,80,,
/node1,1.4958333333333333,0.39083333333333337,807,800,0.00,0.00,940,0.00,open_report_80_20251112-144544,80,,
/node1,1.0391666666666668,0.27499999999999997,889,862,0.00,0.00,980,0.00,open_report_100_20251112-144640,100,,
/node3,2,0.26,485,484,0.00,0.00,420,0.00,open_report_100_20251112-144640,100,,
/node2,0.23166666666666666,0.04833333333333333,540,540,0.00,0.00,356,0.00,open_report_100_20251112-144640,100,,
/node4,2.2733333333333334,0.27999999999999997,558,555,0.00,0.00,368,0.00,open_report_100_20251112-144640,100,,
/node5,1.6925,0.23666666666666666,520,520,0.00,0.00,372,0.00,open_report_100_20251112-144640,100,,
/node6,1.5675,0.20750000000000002,521,517,0.00,0.00,412,0.00,open_report_100_20251112-144640,100,,
/node2,0.19999999999999998,0.07333333333333333,541,540,0.00,0.00,312,0.00,open_report_120_20251112-144740,120,,
/node4,1.5008333333333335,0.2925,563,561,0.00,0.00,360,0.00,open_report_120_20251112-144740,120,,
/node5,1.1916666666666667,0.23166666666666666,520,520,0.00,0.00,328,0.00,open_report_120_20251112-144740,120,,
/node6,2.7066666666666666,0.51,550,530,0.00,0.00,300,0.00,open_report_120_20251112-144740,120,,
/node3,1.875,0.3558333333333333,485,485,0.00,0.00,352,0.00,open_report_120_20251112-144740,120,,
/node1,1.06,0.42333333333333334,891,890,0.00,0.00,748,0.00,open_report_120_20251112-144740,120,,
/node5,0.8741666666666666,0.14333333333333334,520,520,0.00,0.00,264,0.00,open_report_140_20251112-144818,140,,
/node6,0.5650000000000001,0.12166666666666666,541,540,0.00,0.00,292,0.00,open_report_140_20251112-144818,140,,
/node4,0.5475,0.09749999999999999,563,563,0.00,0.00,240,0.00,open_report_140_20251112-144818,140,,
/node2,0.6483333333333333,0.13,541,541,0.00,0.00,272,0.00,open_report_140_20251112-144818,140,,
/node3,0.5091666666666667,0.1225,560,553,0.00,0.00,284,0.00,open_report_140_20251112-144818,140,,
/node1,1.4366666666666665,0.37833333333333335,891,889,0.00,0.00,612,0.00,open_report_140_20251112-144818,140,,
/node1,0.9791666666666666,0.4575,902,892,0.00,0.00,284,0.00,open_report_160_20251112-144910,160,,
/node3,0.10916666666666668,0.035833333333333335,560,538,0.00,0.00,176,0.00,open_report_160_20251112-144910,160,,
/node4,0.9883333333333333,0.22833333333333336,563,563,0.00,0.00,164,0.00,open_report_160_20251112-144910,160,,
/node2,0.13833333333333334,0.043333333333333335,541,541,0.00,0.00,188,0.00,open_report_160_20251112-144910,160,,
/node6,0.10583333333333333,0.03333333333333333,541,541,0.00,0.00,180,0.00,open_report_160_20251112-144910,160,,
/node5,0.11916666666666666,0.035833333333333335,522,521,0.00,0.00,160,0.00,open_report_160_20251112-144910,160,,
/node3,0.10666666666666667,0.0375,533,533,0.00,0.00,,,open_report_180_20251112-144947,180,0.00,0.227
/node1,1.6875,0.5725,906,903,0.00,0.00,,,open_report_180_20251112-144947,180,24.0,1.49
/node4,0.0675,0.03,563,563,0.00,0.00,,,open_report_180_20251112-144947,180,0.00,0.105
/node2,1.1008333333333333,0.25666666666666665,542,541,0.00,0.00,,,open_report_180_20251112-144947,180,0.00,0.234
/node5,0.24833333333333332,0.08333333333333333,537,534,0.00,0.00,,,open_report_180_20251112-144947,180,0.00,0.230
/node6,0.4475,0.145,542,541,0.00,0.00,,,open_report_180_20251112-144947,180,0.00,0.227
