Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
open,1000,0,40.0,32.62,1.16,19.56,24.6,open_report_40_20251112-131330,40
open,1000,0,40.0,34.73,9.73,24.25,25.7,open_report_40_20251112-144355,40
open,1000,0,60.1,30.76,4.86,14.90,23.1,open_report_60_20251112-131434,60
open,1000,0,60.1,32.53,2.97,20.17,24.9,open_report_60_20251112-144449,60
open,1000,0,80.1,30.27,6.97,13.19,24.2,open_report_80_20251112-144544,80
open,1000,0,80.1,19.29,10.77,14.87,43.0,open_report_80_20251112-131530,80
open,1000,0,100.1,30.07,6.15,9.59,25.1,open_report_100_20251112-131606,100
open,1000,0,100.1,30.07,7.32,10.68,25.1,open_report_100_20251112-144640,100
open,1000,0,120.2,18.20,14.60,16.38,43.6,open_report_120_20251112-144740,120
open,1000,0,120.2,75.29,66.97,69.14,13.2,open_report_120_20251112-131659,120
open,1000,0,140.2,12.75,9.53,10.87,60.0,open_report_140_20251112-131828,140
open,1000,0,122.9,30.41,5.68,12.01,27.5,open_report_140_20251112-144818,140
open,1000,0,135.8,16.79,13.06,14.44,49.0,open_report_160_20251112-144910,160
open,1000,0,149.3,32.29,0.27,27.54,27.8,open_report_160_20251112-131858,160
open,1000,0,157.4,14.26,12.96,13.33,51.8,open_report_180_20251112-131956,180
open,1000,0,151.5,15.42,8.82,10.46,62.5,open_report_180_20251112-144947,180
