Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS,Memory(max) [MB],Memory(avg) [MB]
/node5,0.0375,0.025833333333333333,,,0.00,0.00,0.00,0.00,transfer_report_50_20251112-145250,50,538,538
/node6,0.04583333333333334,0.03,,,0.00,0.00,16.0,0.00,transfer_report_50_20251112-145250,50,542,542
/node1,0.03666666666666667,0.024166666666666666,,,0.00,0.00,140,0.00,transfer_report_50_20251112-145250,50,888,888
/node3,0.034166666666666665,0.024166666666666666,,,0.00,0.00,76.0,0.00,transfer_report_50_20251112-145250,50,533,533
/node2,0.035833333333333335,0.024999999999999998,,,0.00,0.00,52.0,0.00,transfer_report_50_20251112-145250,50,542,542
/node4,0.055,0.04583333333333334,,,0.00,0.00,0.00,0.00,transfer_report_50_20251112-145250,50,563,563
/node2,0.075,0.043333333333333335,,,0.00,0.00,164,0.00,transfer_report_60_20251112-145310,60,542,542
/node4,0.07166666666666667,0.04416666666666667,,,0.00,0.00,136,0.00,transfer_report_60_20251112-145310,60,564,563
/node6,0.08916666666666667,0.043333333333333335,,,0.00,0.00,152,0.00,transfer_report_60_20251112-145310,60,542,542
/node5,0.08333333333333333,0.04,,,0.00,0.00,144,0.00,transfer_report_60_20251112-145310,60,538,538
/node1,0.09749999999999999,0.045000000000000005,,,0.00,0.00,200,0.00,transfer_report_60_20251112-145310,60,889,889
/node3,0.38999999999999996,0.105,,,0.00,0.00,148,0.00,transfer_report_60_20251112-145310,60,533,533
/node2,0.12083333333333333,0.049166666666666664,,,0.00,0.00,136,0.00,transfer_report_70_20251112-145340,70,582,552
/node4,0.047499999999999994,0.023333333333333334,,,0.00,0.00,184,0.00,transfer_report_70_20251112-145340,70,564,564
/node5,0.0525,0.0275,,,0.00,0.00,136,0.00,transfer_report_70_20251112-145340,70,538,538
/node6,0.051666666666666666,0.0275,,,0.00,0.00,136,0.00,transfer_report_70_20251112-145340,70,542,542
/node3,0.13666666666666666,0.06999999999999999,,,0.00,0.00,72.0,0.00,transfer_report_70_20251112-145340,70,534,533
/node1,0.0625,0.025833333333333333,,,0.00,0.00,168,0.00,transfer_report_70_20251112-145340,70,889,888
/node2,0.05833333333333333,0.024999999999999998,,,0.00,0.00,56.0,0.00,transfer_report_80_20251112-145410,80,628,624
/node4,0.049166666666666664,0.022500000000000003,,,0.00,0.00,136,0.00,transfer_report_80_20251112-145410,80,564,564
/node1,0.051666666666666666,0.022500000000000003,,,0.00,0.00,196,0.00,transfer_report_80_20251112-145410,80,899,899
/node3,0.075,0.029166666666666664,,,0.00,0.00,144,0.00,transfer_report_80_20251112-145410,80,534,534
/node6,0.041666666666666664,0.021666666666666667,,,0.00,0.00,152,0.00,transfer_report_80_20251112-145410,80,542,542
/node5,0.0425,0.022500000000000003,,,0.00,0.00,116,0.00,transfer_report_80_20251112-145410,80,538,538
/node3,0.4483333333333333,0.10666666666666667,,,0.00,0.00,140,0.00,transfer_report_90_20251112-145440,90,534,534
/node1,0.034166666666666665,0.02,,,0.00,0.00,168,0.00,transfer_report_90_20251112-145440,90,901,900
/node-besu1,0.07208333333333333,0.022500000000000003,1.20,1.20,0.00,0.00,316,0.00,transfer_report_90_20251104-111018,90,,
/node-besu4,0.05416666666666667,0.02,0.579,0.579,0.00,0.00,336,0.00,transfer_report_90_20251104-111018,90,,
/node2,0.034999999999999996,0.020833333333333332,,,0.00,0.00,140,0.00,transfer_report_90_20251112-145440,90,628,628
