Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
transfer,50,0,51.2,1.38,0.44,0.90,35.4,transfer_report_50_20251112-145250,50
transfer,50,0,51.1,17.59,16.64,17.11,2.8,transfer_report_50_20251112-133542,50
transfer,50,0,61.4,17.23,16.43,16.83,2.9,transfer_report_60_20251112-133612,60
transfer,50,0,61.5,16.00,15.22,15.61,3.1,transfer_report_60_20251112-145310,60
transfer,50,0,71.8,17.48,16.78,17.13,2.9,transfer_report_70_20251112-133642,70
transfer,50,0,71.7,14.94,14.26,14.57,3.3,transfer_report_70_20251112-145340,70
transfer,50,0,82.1,17.34,16.76,17.03,2.9,transfer_report_80_20251112-133712,80
transfer,50,0,78.0,14.39,13.80,14.06,3.5,transfer_report_80_20251112-145410,80
transfer,50,0,92.4,16.37,15.85,16.03,3.1,transfer_report_90_20251104-111018,90
transfer,50,0,92.4,16.00,15.50,15.72,3.1,transfer_report_90_20251112-133742,90
transfer,50,0,92.4,15.27,14.95,15.10,3.2,transfer_report_90_20251112-145440,90
transfer,50,0,102.7,14.44,13.97,14.16,3.5,transfer_report_100_20251112-145510,100
transfer,50,0,102.5,17.40,16.93,17.12,2.9,transfer_report_100_20251112-133812,100
transfer,50,0,91.2,16.50,15.97,16.16,3.0,transfer_report_100_20251104-111048,100
transfer,50,0,104.2,16.57,16.13,16.29,3.0,transfer_report_110_20251112-133842,110
transfer,50,0,91.6,16.63,16.10,16.29,3.0,transfer_report_110_20251104-111118,110
transfer,50,0,73.9,11.83,11.18,11.43,4.2,transfer_report_110_20251112-145540,110
