Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu1,0.03791666666666667,0.021666666666666667,1.27,1.27,0.00,0.00,536,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,100,query_tps100
/node-besu2,0.007083333333333334,0.005,0.662,0.662,0.00,0.00,192,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,100,query_tps100
/node-besu4,0.007083333333333334,0.004583333333333333,0.631,0.631,0.00,0.00,172,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,100,query_tps100
/node-besu3,0.017083333333333332,0.007083333333333334,0.802,0.801,0.00,0.00,184,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,100,query_tps100
/node-besu1,0.023333333333333334,0.016666666666666666,1.27,1.27,0.00,0.00,336,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,125,query_tps125
/node-besu2,0.009583333333333334,0.004583333333333333,0.661,0.661,0.00,0.00,224,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,125,query_tps125
/node-besu4,0.01875,0.006666666666666667,0.630,0.630,0.00,0.00,220,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,125,query_tps125
/node-besu3,0.008333333333333333,0.004166666666666667,0.800,0.800,0.00,0.00,180,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,125,query_tps125
/node-besu1,0.03625,0.01958333333333333,1.27,1.24,0.00,0.00,20.0,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,150,query_tps150
/node-besu2,0.0033333333333333335,0.002916666666666667,0.661,0.661,0.00,0.00,148,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,150,query_tps150
/node-besu4,0.0033333333333333335,0.0033333333333333335,0.630,0.630,0.00,0.00,140,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,150,query_tps150
/node-besu3,0.002916666666666667,0.002916666666666667,0.800,0.800,0.00,0.00,148,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,150,query_tps150
/node-besu1,0.025416666666666667,0.015,1.24,1.24,0.00,0.00,448,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,175,query_tps175
/node-besu2,0.004583333333333333,0.00375,0.661,0.661,0.00,0.00,128,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,175,query_tps175
/node-besu4,0.004583333333333333,0.00375,0.630,0.630,0.00,0.00,132,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,175,query_tps175
/node-besu3,0.004166666666666667,0.0033333333333333335,0.800,0.800,0.00,0.00,128,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,175,query_tps175
/node-besu1,0.05958333333333333,0.0275,1.24,1.24,0.00,0.00,264,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,200,query_tps200
/node-besu2,0.015416666666666667,0.0075,0.662,0.661,0.00,0.00,88.0,0.00,4n-5s-ibft-v26.2.0_20260404_165544,query,200,query_tps200
