Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu6,0.09291666666666666,0.0325,0.921,0.915,0.00,0.00,1.12,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,100,transfer_tps100
/node-besu1,0.22999999999999998,0.07166666666666667,1.64,1.64,0.00,0.00,1.89,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,100,transfer_tps100
/node-besu5,0.13583333333333333,0.043750000000000004,0.794,0.790,0.00,0.00,1.02,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,100,transfer_tps100
/node-besu2,0.12125000000000001,0.035416666666666666,0.840,0.835,0.00,0.00,0.566,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,100,transfer_tps100
/node-besu4,0.2866666666666667,0.05666666666666667,0.901,0.893,0.00,0.00,2.52,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,100,transfer_tps100
/node-besu3,0.06125,0.025416666666666667,0.724,0.680,0.00,0.00,1.28,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,100,transfer_tps100
/node-besu6,0.27625,0.05458333333333334,0.922,0.921,0.00,0.00,3.01,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,125,transfer_tps125
/node-besu1,0.3325,0.15,1.65,1.64,0.00,0.00,4.77,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,125,transfer_tps125
/node-besu5,0.3095833333333333,0.06791666666666667,0.792,0.792,0.00,0.00,1.55,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,125,transfer_tps125
/node-besu2,0.3416666666666666,0.06583333333333334,0.938,0.874,0.00,0.00,2.38,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,125,transfer_tps125
/node-besu4,0.35708333333333336,0.0625,0.908,0.905,0.00,0.00,1.74,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,125,transfer_tps125
/node-besu3,0.48541666666666666,0.08374999999999999,0.648,0.614,0.00,0.00,1.74,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,125,transfer_tps125
/node-besu6,0.07083333333333333,0.015,1.07,0.964,0.00,0.00,1.27,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,150,transfer_tps150
/node-besu1,0.245,0.08625,1.65,1.65,0.00,0.00,3.49,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,150,transfer_tps150
/node-besu5,0.08458333333333333,0.015416666666666667,0.793,0.793,0.00,0.00,0.195,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,150,transfer_tps150
/node-besu2,0.07666666666666667,0.024583333333333332,0.939,0.938,0.00,0.00,2.00,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,150,transfer_tps150
/node-besu4,0.0775,0.024999999999999998,1.05,0.950,0.00,0.00,1.26,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,150,transfer_tps150
/node-besu3,0.09999999999999999,0.018333333333333333,0.656,0.619,0.00,0.00,0.262,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,150,transfer_tps150
/node-besu6,0.2816666666666667,0.05666666666666667,1.07,1.07,0.00,0.00,2.09,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,175,transfer_tps175
/node-besu1,0.44458333333333333,0.1679166666666667,1.65,1.65,0.00,0.00,3.41,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,175,transfer_tps175
/node-besu5,0.20375,0.04416666666666667,0.793,0.718,0.00,0.00,0.555,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,175,transfer_tps175
/node-besu2,0.10916666666666668,0.028749999999999998,0.939,0.939,0.00,0.00,2.07,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,175,transfer_tps175
/node-besu4,0.125,0.03125,1.05,1.05,0.00,0.00,1.73,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,175,transfer_tps175
/node-besu3,0.2354166666666667,0.07541666666666667,0.629,0.608,0.00,0.00,0.836,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,175,transfer_tps175
/node-besu6,0.09250000000000001,0.01875,1.07,1.07,0.00,0.00,1.71,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,200,transfer_tps200
/node-besu1,0.3779166666666667,0.15708333333333332,1.68,1.67,0.00,0.00,4.47,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,200,transfer_tps200
/node-besu5,0.12791666666666665,0.02125,0.688,0.664,0.00,0.00,0.648,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,200,transfer_tps200
/node-besu2,0.09083333333333334,0.01625,0.954,0.950,0.00,0.00,0.441,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,200,transfer_tps200
/node-besu4,0.09166666666666667,0.015833333333333335,1.07,1.06,0.00,0.00,1.76,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,200,transfer_tps200
/node-besu3,0.10375000000000001,0.029166666666666664,0.765,0.671,0.00,0.00,1.04,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,200,transfer_tps200
/node-besu6,0.14166666666666666,0.023749999999999997,1.07,1.07,0.00,0.00,2.11,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,225,transfer_tps225
/node-besu1,0.42083333333333334,0.12291666666666667,1.68,1.68,0.00,0.00,2.91,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,225,transfer_tps225
/node-besu5,0.34541666666666665,0.052083333333333336,0.741,0.665,0.00,0.00,0.188,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,225,transfer_tps225
/node-besu2,0.19041666666666668,0.03,0.954,0.954,0.00,0.00,0.363,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,225,transfer_tps225
/node-besu4,0.007916666666666667,0.00375,1.07,1.07,0.00,0.00,2.14,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,225,transfer_tps225
/node-besu3,0.009166666666666667,0.004166666666666667,0.893,0.787,0.00,0.00,0.961,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,225,transfer_tps225
/node-besu6,0.10666666666666667,0.018333333333333333,1.07,1.07,0.00,0.00,2.04,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,250,transfer_tps250
/node-besu1,0.2275,0.09999999999999999,1.68,1.65,0.00,0.00,5.29,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,250,transfer_tps250
/node-besu5,0.13791666666666666,0.03833333333333334,0.785,0.659,0.00,0.00,0.828,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,250,transfer_tps250
/node-besu2,0.34833333333333333,0.07166666666666667,0.955,0.955,0.00,0.00,0.434,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,250,transfer_tps250
/node-besu4,0.10708333333333332,0.02666666666666667,1.07,1.07,0.00,0.00,1.91,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,250,transfer_tps250
/node-besu3,0.11041666666666666,0.03166666666666667,0.733,0.704,0.00,0.00,2.39,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,250,transfer_tps250
/node-besu6,0.12041666666666667,0.03333333333333333,1.08,1.07,0.00,0.00,2.61,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,275,transfer_tps275
/node-besu1,0.24750000000000003,0.18458333333333332,1.68,1.66,0.00,0.00,5.27,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,275,transfer_tps275
/node-besu5,0.5554166666666667,0.11583333333333333,0.738,0.646,0.00,0.00,1.94,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,275,transfer_tps275
/node-besu2,0.24333333333333332,0.057916666666666665,0.956,0.956,0.00,0.00,2.02,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,275,transfer_tps275
/node-besu4,0.26,0.05625,1.08,1.08,0.00,0.00,1.77,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,275,transfer_tps275
/node-besu3,0.46541666666666665,0.09999999999999999,0.792,0.717,0.00,0.00,2.16,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,275,transfer_tps275
/node-besu6,0.2625,0.07958333333333333,1.08,1.08,0.00,0.00,2.26,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,300,transfer_tps300
/node-besu1,0.4291666666666667,0.1525,1.68,1.68,0.00,0.00,4.07,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,300,transfer_tps300
/node-besu5,0.44333333333333336,0.09708333333333334,0.727,0.636,0.00,0.00,2.06,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,300,transfer_tps300
/node-besu2,0.3958333333333333,0.07375,0.957,0.957,0.00,0.00,2.23,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,300,transfer_tps300
/node-besu4,0.42874999999999996,0.07916666666666666,1.08,1.08,0.00,0.00,2.80,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,300,transfer_tps300
/node-besu3,0.525,0.09375,0.810,0.786,0.00,0.00,2.33,0.00,6n-15s-ibft-v26.2.0_20260404_213333,transfer,300,transfer_tps300
