Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(avg) [GB]
/node-besu1,0.9270833333333334,0.3095833333333333,1.15,837,0.00,0.00,4.71,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,100,open_tps100,
/node-besu4,0.6495833333333333,0.18041666666666667,0.634,592,0.00,0.00,1.52,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,100,open_tps100,
/node-besu6,0.81625,0.24583333333333335,0.672,603,0.00,0.00,2.91,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,100,open_tps100,
/node-besu2,0.6925,0.22124999999999997,0.668,522,0.00,0.00,0.539,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,100,open_tps100,
/node-besu5,0.7291666666666666,0.22583333333333333,0.613,549,0.00,0.00,1.39,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,100,open_tps100,
/node-besu3,0.6770833333333334,0.18291666666666664,0.552,526,0.00,0.00,1.39,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,100,open_tps100,
/node-besu1,0.26916666666666667,0.11541666666666667,1.42,,0.00,0.00,3.03,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,125,open_tps125,1.32
/node-besu4,0.5475,0.11875000000000001,0.778,,0.00,0.00,2.21,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,125,open_tps125,0.751
/node-besu6,0.6737500000000001,0.12208333333333334,0.702,,0.00,0.00,1.55,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,125,open_tps125,0.702
/node-besu2,0.6141666666666666,0.14125000000000001,0.677,,0.00,0.00,1.72,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,125,open_tps125,0.574
/node-besu5,0.6983333333333334,0.15416666666666667,0.648,,0.00,0.00,1.10,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,125,open_tps125,0.638
/node-besu3,0.7554166666666666,0.18083333333333332,0.716,,0.00,0.00,1.03,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,125,open_tps125,0.698
/node-besu1,0.26,0.12,1.51,,0.00,0.00,5.03,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,150,open_tps150,1.46
/node-besu4,0.36041666666666666,0.07916666666666666,0.779,,0.00,0.00,1.40,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,150,open_tps150,0.779
/node-besu6,0.4054166666666667,0.08583333333333333,0.766,,0.00,0.00,1.58,0.00,6n-20s-ibft-v26.2.0_20260404_215732,open,150,open_tps150,0.735
