Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Memory(avg) [GB]
/node-besu3,0.7087500000000001,0.41958333333333336,788,593,0.00,0.00,1.79,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,100,open_tps100,,
/node-besu4,0.7179166666666666,0.41875,660,595,0.00,0.00,2.82,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,100,open_tps100,,
/node-besu5,0.72625,0.43416666666666665,696,623,0.00,0.00,2.20,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,100,open_tps100,,
/node-besu6,0.7441666666666666,0.3358333333333334,661,607,0.00,0.00,1.30,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,100,open_tps100,,
/node-besu2,0.6699999999999999,0.2820833333333333,682,634,0.00,0.00,2.05,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,100,open_tps100,,
/node-besu1,0.7599999999999999,0.36166666666666664,956,769,0.00,0.00,0.238,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,100,open_tps100,,
/node-besu3,0.09000000000000001,0.037083333333333336,,802,0.00,0.00,1.29,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,125,open_tps125,0.785,
/node-besu4,0.11458333333333333,0.035833333333333335,,664,0.00,0.00,1.36,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,125,open_tps125,0.652,
/node-besu5,0.6570833333333334,0.18041666666666667,,703,0.00,0.00,0.410,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,125,open_tps125,0.711,
/node-besu6,0.8424999999999999,0.225,,670,0.00,0.00,0.805,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,125,open_tps125,0.665,
/node-besu2,0.11,0.043333333333333335,,685,0.00,0.00,1.07,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,125,open_tps125,0.673,
/node-besu1,1.0541666666666667,0.30041666666666667,,926,0.00,0.00,1.34,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,125,open_tps125,1.01,
/node-besu3,0.08374999999999999,0.023333333333333334,,,0.00,0.00,0.426,0.00,6n-5s-ibft-v26.2.0_20260404_171541,open,150,open_tps150,0.786,0.786
