Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [MB]
/node-besu1,0.025416666666666667,0.018333333333333333,1.48,1.48,0.00,0.00,716,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,100,query_tps100,
/node-besu4,0.012083333333333333,0.005416666666666667,0.660,0.660,0.00,0.00,264,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,100,query_tps100,
/node-besu3,0.07916666666666666,0.020416666666666666,0.550,0.543,0.00,0.00,220,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,100,query_tps100,
/node-besu2,0.010833333333333334,0.005,0.783,0.783,0.00,0.00,180,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,100,query_tps100,
/node-besu5,0.016666666666666666,0.0062499999999999995,0.761,0.761,0.00,0.00,228,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,100,query_tps100,
/node-besu6,0.017916666666666668,0.008749999999999999,0.797,0.797,0.00,0.00,228,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,100,query_tps100,
/node-besu1,0.03208333333333333,0.017499999999999998,1.48,1.48,0.00,0.00,,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,125,query_tps125,1.21
/node-besu4,0.017083333333333332,0.010833333333333334,0.659,0.658,0.00,0.00,,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,125,query_tps125,0.168
/node-besu3,0.02,0.012916666666666667,0.517,0.517,0.00,0.00,,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,125,query_tps125,0.234
/node-besu2,0.01916666666666667,0.012499999999999999,0.783,0.782,0.00,0.00,,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,125,query_tps125,0.215
/node-besu5,0.017499999999999998,0.011666666666666667,0.761,0.761,0.00,0.00,,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,125,query_tps125,0.164
/node-besu6,0.03208333333333333,0.01375,0.797,0.797,0.00,0.00,,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,125,query_tps125,0.176
/node-besu1,0.050833333333333335,0.02291666666666667,1.48,1.48,0.00,0.00,536,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,150,query_tps150,
/node-besu4,0.010833333333333334,0.005,0.659,0.658,0.00,0.00,132,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,150,query_tps150,
/node-besu3,0.015416666666666667,0.006666666666666667,0.509,0.509,0.00,0.00,184,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,150,query_tps150,
/node-besu2,0.010833333333333334,0.005,0.782,0.782,0.00,0.00,128,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,150,query_tps150,
/node-besu5,0.010833333333333334,0.005,0.761,0.761,0.00,0.00,136,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,150,query_tps150,
/node-besu6,0.012499999999999999,0.005833333333333334,0.797,0.797,0.00,0.00,132,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,150,query_tps150,
/node-besu1,0.0375,0.02,1.48,1.48,0.00,0.00,380,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,175,query_tps175,
/node-besu4,0.015,0.0062499999999999995,0.659,0.659,0.00,0.00,148,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,175,query_tps175,
/node-besu3,0.09000000000000001,0.02666666666666667,0.509,0.509,0.00,0.00,76.0,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,175,query_tps175,
/node-besu2,0.011666666666666667,0.005416666666666667,0.783,0.783,0.00,0.00,136,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,175,query_tps175,
/node-besu5,0.013333333333333334,0.005833333333333334,0.761,0.761,0.00,0.00,136,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,175,query_tps175,
/node-besu6,0.014583333333333332,0.0062499999999999995,0.798,0.797,0.00,0.00,144,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,175,query_tps175,
/node-besu1,0.03208333333333333,0.01916666666666667,1.48,1.48,0.00,0.00,300,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,200,query_tps200,
/node-besu4,0.0033333333333333335,0.002916666666666667,0.659,0.659,0.00,0.00,124,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,200,query_tps200,
/node-besu3,0.0033333333333333335,0.0033333333333333335,0.509,0.509,0.00,0.00,228,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,200,query_tps200,
/node-besu2,0.01375,0.009166666666666667,0.784,0.783,0.00,0.00,92.0,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,200,query_tps200,
/node-besu5,0.0033333333333333335,0.002916666666666667,0.761,0.761,0.00,0.00,88.0,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,200,query_tps200,
/node-besu6,0.0033333333333333335,0.0033333333333333335,0.798,0.798,0.00,0.00,136,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,200,query_tps200,
/node-besu1,0.030833333333333334,0.012499999999999999,1.48,1.48,0.00,0.00,304,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,225,query_tps225,
/node-besu4,0.015416666666666667,0.01,0.659,0.659,0.00,0.00,88.0,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,225,query_tps225,
/node-besu3,0.037083333333333336,0.02125,0.509,0.509,0.00,0.00,240,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,225,query_tps225,
/node-besu2,0.03,0.014583333333333332,0.783,0.783,0.00,0.00,136,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,225,query_tps225,
/node-besu5,0.02125,0.011666666666666667,0.762,0.762,0.00,0.00,88.0,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,225,query_tps225,
/node-besu6,0.017916666666666668,0.011666666666666667,0.798,0.797,0.00,0.00,144,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,225,query_tps225,
/node-besu1,0.035833333333333335,0.01375,1.48,1.48,0.00,0.00,236,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,250,query_tps250,
/node-besu4,0.012499999999999999,0.008749999999999999,0.660,0.660,0.00,0.00,96.0,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,250,query_tps250,
/node-besu3,0.01916666666666667,0.012499999999999999,0.509,0.509,0.00,0.00,196,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,250,query_tps250,
/node-besu2,0.016666666666666666,0.010416666666666666,0.783,0.783,0.00,0.00,84.0,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,250,query_tps250,
/node-besu5,0.012083333333333333,0.008333333333333333,0.761,0.761,0.00,0.00,96.0,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,250,query_tps250,
/node-besu6,0.029166666666666664,0.015833333333333335,0.798,0.798,0.00,0.00,88.0,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,250,query_tps250,
/node-besu1,0.04041666666666666,0.01916666666666667,1.48,1.48,0.00,0.00,344,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,275,query_tps275,
/node-besu4,0.0033333333333333335,0.002916666666666667,0.660,0.660,0.00,0.00,96.0,0.00,6n-5s-qbft-v26.2.0_20260404_153423,query,275,query_tps275,
