Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(avg) [GB]
/node-besu7,0.425,0.2020833333333333,0.810,802,0.00,0.00,1.58,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,100,transfer_tps100,
/node-besu3,0.44625000000000004,0.09166666666666667,0.735,752,0.00,0.00,0.961,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,100,transfer_tps100,
/node-besu5,0.5295833333333334,0.10583333333333333,1.03,902,0.00,0.00,0.945,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,100,transfer_tps100,
/node-besu8,0.52375,0.10375000000000001,0.838,831,0.00,0.00,0.855,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,100,transfer_tps100,
/node-besu6,0.5158333333333334,0.10458333333333332,1.03,859,0.00,0.00,2.95,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,100,transfer_tps100,
/node-besu1,0.7925,0.27208333333333334,1.08,900,0.00,0.00,4.17,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,100,transfer_tps100,
/node-besu4,0.35375,0.07791666666666668,0.951,821,0.00,0.00,0.461,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,100,transfer_tps100,
/node-besu2,0.4925,0.10541666666666666,1.02,926,0.00,0.00,1.59,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,100,transfer_tps100,
/node-besu7,0.09416666666666666,0.042916666666666665,1.23,,0.00,0.00,1.07,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,125,transfer_tps125,1.00
/node-besu3,0.055,0.024166666666666666,0.889,,0.00,0.00,2.38,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,125,transfer_tps125,0.858
/node-besu5,0.08791666666666666,0.03333333333333333,1.03,,0.00,0.00,1.57,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,125,transfer_tps125,1.03
/node-besu8,0.08125,0.03666666666666667,0.839,,0.00,0.00,0.336,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,125,transfer_tps125,0.838
/node-besu6,0.07958333333333333,0.04083333333333333,1.03,,0.00,0.00,1.52,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,125,transfer_tps125,1.03
/node-besu1,0.27166666666666667,0.13333333333333333,1.21,,0.00,0.00,1.68,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,125,transfer_tps125,1.16
/node-besu4,0.07916666666666666,0.03166666666666667,0.955,,0.00,0.00,2.22,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,125,transfer_tps125,0.953
/node-besu2,0.08208333333333333,0.03291666666666667,1.08,,0.00,0.00,1.48,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,125,transfer_tps125,1.08
/node-besu7,0.11333333333333334,0.03375,1.23,,0.00,0.00,0.0156,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,150,transfer_tps150,0.965
/node-besu3,0.09791666666666667,0.024166666666666666,1.22,,0.00,0.00,2.46,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,150,transfer_tps150,1.02
/node-besu5,0.09958333333333334,0.024166666666666666,1.03,,0.00,0.00,0.387,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,150,transfer_tps150,1.03
/node-besu8,0.09958333333333334,0.024166666666666666,0.843,,0.00,0.00,1.77,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,150,transfer_tps150,0.841
/node-besu6,0.10041666666666667,0.024166666666666666,1.03,,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,150,transfer_tps150,1.03
/node-besu1,0.2333333333333333,0.11291666666666667,1.21,,0.00,0.00,3.66,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,150,transfer_tps150,1.21
/node-besu4,0.10125,0.024583333333333332,0.961,,0.00,0.00,2.48,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,150,transfer_tps150,0.959
/node-besu2,0.10041666666666667,0.024166666666666666,1.08,,0.00,0.00,0.0156,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,150,transfer_tps150,1.08
/node-besu7,0.28625,0.06125,0.796,,0.00,0.00,0.668,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,175,transfer_tps175,0.795
/node-besu3,0.015416666666666667,0.008333333333333333,1.31,,0.00,0.00,2.50,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,175,transfer_tps175,1.30
/node-besu5,0.015416666666666667,0.008333333333333333,1.03,,0.00,0.00,2.17,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,175,transfer_tps175,1.03
/node-besu8,0.015833333333333335,0.008749999999999999,0.845,,0.00,0.00,1.55,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,175,transfer_tps175,0.844
/node-besu6,0.20750000000000002,0.05333333333333334,1.03,,0.00,0.00,0.0156,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,175,transfer_tps175,1.03
/node-besu1,0.29916666666666664,0.11875000000000001,1.36,,0.00,0.00,3.48,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,175,transfer_tps175,1.27
/node-besu4,0.24833333333333332,0.05666666666666667,0.968,,0.00,0.00,2.59,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,175,transfer_tps175,0.965
/node-besu2,0.041666666666666664,0.015,1.09,,0.00,0.00,2.46,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,175,transfer_tps175,1.09
/node-besu7,0.295,0.08583333333333333,0.997,,0.00,0.00,0.926,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,200,transfer_tps200,0.897
/node-besu3,0.01,0.005416666666666667,1.32,,0.00,0.00,2.30,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,200,transfer_tps200,1.32
/node-besu5,0.01,0.005833333333333334,1.04,,0.00,0.00,2.98,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,200,transfer_tps200,1.03
/node-besu8,0.13541666666666666,0.0375,0.938,,0.00,0.00,1.70,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,200,transfer_tps200,0.915
/node-besu6,0.010416666666666666,0.005416666666666667,1.04,,0.00,0.00,2.03,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,200,transfer_tps200,1.03
/node-besu1,0.23791666666666667,0.17375,1.36,,0.00,0.00,2.49,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,200,transfer_tps200,1.36
/node-besu4,0.010416666666666666,0.005833333333333334,0.759,,0.00,0.00,2.13,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,200,transfer_tps200,0.658
/node-besu2,0.010416666666666666,0.0062499999999999995,1.10,,0.00,0.00,2.40,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,200,transfer_tps200,1.09
/node-besu7,0.13208333333333333,0.03833333333333334,1.01,,0.00,0.00,0.0156,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,225,transfer_tps225,1.00
/node-besu3,0.13125,0.03333333333333333,1.32,,0.00,0.00,2.35,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,225,transfer_tps225,1.32
/node-besu5,0.16708333333333333,0.04,1.05,,0.00,0.00,0.645,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,225,transfer_tps225,1.04
/node-besu8,0.13333333333333333,0.03333333333333333,0.940,,0.00,0.00,1.76,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,225,transfer_tps225,0.939
/node-besu6,0.12791666666666665,0.037083333333333336,1.04,,0.00,0.00,2.66,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,225,transfer_tps225,1.04
/node-besu1,0.235,0.13625,1.40,,0.00,0.00,5.31,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,225,transfer_tps225,1.38
/node-besu4,0.22624999999999998,0.05291666666666667,0.765,,0.00,0.00,3.49,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,225,transfer_tps225,0.701
/node-besu2,0.13541666666666666,0.04125,1.10,,0.00,0.00,3.14,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,225,transfer_tps225,1.10
/node-besu7,0.20458333333333334,0.057499999999999996,1.01,,0.00,0.00,2.53,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,250,transfer_tps250,1.01
/node-besu3,0.40458333333333335,0.10458333333333332,1.32,,0.00,0.00,3.25,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,250,transfer_tps250,1.32
/node-besu5,0.3970833333333333,0.09583333333333333,1.05,,0.00,0.00,3.25,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,250,transfer_tps250,1.05
/node-besu8,0.4141666666666666,0.1025,1.30,,0.00,0.00,3.01,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,250,transfer_tps250,1.18
/node-besu6,0.4183333333333333,0.09708333333333334,1.04,,0.00,0.00,2.36,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,250,transfer_tps250,1.04
/node-besu1,0.51375,0.23583333333333334,1.62,,0.00,0.00,5.20,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,250,transfer_tps250,1.51
/node-besu4,0.4404166666666667,0.10291666666666667,0.813,,0.00,0.00,2.66,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,250,transfer_tps250,0.804
/node-besu2,0.4370833333333333,0.09625,1.58,,0.00,0.00,2.56,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,250,transfer_tps250,1.50
/node-besu7,0.015833333333333335,0.009166666666666667,1.02,,0.00,0.00,2.29,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,275,transfer_tps275,1.02
/node-besu3,0.016666666666666666,0.006666666666666667,1.32,,0.00,0.00,2.34,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,275,transfer_tps275,1.32
/node-besu5,0.008333333333333333,0.004583333333333333,1.06,,0.00,0.00,2.26,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,275,transfer_tps275,1.05
/node-besu8,0.007916666666666667,0.004583333333333333,1.31,,0.00,0.00,2.10,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,275,transfer_tps275,1.31
/node-besu6,0.008333333333333333,0.004583333333333333,1.04,,0.00,0.00,0.473,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,275,transfer_tps275,1.04
/node-besu1,0.24,0.11875000000000001,1.62,,0.00,0.00,3.38,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,275,transfer_tps275,1.60
/node-besu4,0.008749999999999999,0.005416666666666667,0.830,,0.00,0.00,2.52,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,275,transfer_tps275,0.755
/node-besu2,0.008333333333333333,0.004583333333333333,1.58,,0.00,0.00,2.29,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,275,transfer_tps275,1.58
/node-besu7,0.051666666666666666,0.017916666666666668,1.02,,0.00,0.00,2.34,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,300,transfer_tps300,1.02
/node-besu3,0.010833333333333334,0.005,1.32,,0.00,0.00,2.36,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,300,transfer_tps300,1.32
/node-besu5,0.012499999999999999,0.005416666666666667,1.06,,0.00,0.00,2.38,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,300,transfer_tps300,1.06
/node-besu8,0.008749999999999999,0.004583333333333333,1.31,,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,300,transfer_tps300,1.31
/node-besu6,0.011250000000000001,0.005,1.04,,0.00,0.00,0.285,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,300,transfer_tps300,1.04
/node-besu1,0.2383333333333333,0.0625,1.59,,0.00,0.00,3.26,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,300,transfer_tps300,1.59
/node-besu4,0.012499999999999999,0.005833333333333334,0.894,,0.00,0.00,2.43,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,300,transfer_tps300,0.824
/node-besu2,0.011666666666666667,0.005416666666666667,1.58,,0.00,0.00,2.47,0.00,8n-5s-ibft-v26.2.0_20260404_173537,transfer,300,transfer_tps300,1.58
