Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu4,0.08083333333333333,0.03833333333333334,0.827,0.693,0.00,0.00,2.64,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,100,transfer_tps100
/node-besu8,0.08333333333333333,0.042083333333333334,0.814,0.656,0.00,0.00,2.88,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,100,transfer_tps100
/node-besu1,0.10791666666666666,0.049999999999999996,1.44,1.44,0.00,0.00,3.31,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,100,transfer_tps100
/node-besu7,0.08041666666666666,0.04041666666666666,0.779,0.672,0.00,0.00,2.11,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,100,transfer_tps100
/node-besu6,0.06958333333333333,0.03625,0.727,0.725,0.00,0.00,2.60,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,100,transfer_tps100
/node-besu5,0.08958333333333333,0.04125,0.789,0.787,0.00,0.00,0.863,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,100,transfer_tps100
/node-besu3,0.07041666666666667,0.03625,0.812,0.787,0.00,0.00,1.39,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,100,transfer_tps100
/node-besu2,0.07541666666666667,0.0375,0.729,0.727,0.00,0.00,2.96,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,100,transfer_tps100
/node-besu4,0.11,0.03125,0.834,0.830,0.00,0.00,3.40,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,125,transfer_tps125
/node-besu8,0.11833333333333333,0.047499999999999994,0.925,0.913,0.00,0.00,2.47,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,125,transfer_tps125
/node-besu1,0.21583333333333332,0.08458333333333333,1.44,1.44,0.00,0.00,3.34,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,125,transfer_tps125
/node-besu7,0.14375000000000002,0.06,0.868,0.740,0.00,0.00,2.77,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,125,transfer_tps125
/node-besu6,0.15333333333333335,0.0625,0.908,0.807,0.00,0.00,2.13,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,125,transfer_tps125
/node-besu5,0.12125000000000001,0.05875,0.789,0.789,0.00,0.00,0.340,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,125,transfer_tps125
/node-besu3,0.13875,0.05875,0.813,0.813,0.00,0.00,1.65,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,125,transfer_tps125
/node-besu2,0.12208333333333334,0.05583333333333334,0.841,0.774,0.00,0.00,2.17,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,125,transfer_tps125
/node-besu4,0.12041666666666667,0.029583333333333333,0.840,0.838,0.00,0.00,2.59,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,150,transfer_tps150
/node-besu8,0.10208333333333335,0.04416666666666667,0.935,0.931,0.00,0.00,2.46,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,150,transfer_tps150
/node-besu1,0.3125,0.09625,1.45,1.44,0.00,0.00,3.45,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,150,transfer_tps150
/node-besu7,0.10875,0.043750000000000004,0.863,0.743,0.00,0.00,2.69,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,150,transfer_tps150
/node-besu6,0.11458333333333333,0.045000000000000005,0.910,0.910,0.00,0.00,2.45,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,150,transfer_tps150
/node-besu5,0.1075,0.043750000000000004,0.797,0.794,0.00,0.00,1.76,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,150,transfer_tps150
/node-besu3,0.1125,0.04416666666666667,0.814,0.813,0.00,0.00,0.0156,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,150,transfer_tps150
/node-besu2,0.10541666666666666,0.043750000000000004,0.844,0.842,0.00,0.00,2.15,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,150,transfer_tps150
/node-besu4,0.11791666666666667,0.03291666666666667,0.843,0.842,0.00,0.00,2.18,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,175,transfer_tps175
/node-besu8,0.015416666666666667,0.0075,1.04,0.996,0.00,0.00,2.52,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,175,transfer_tps175
/node-besu1,0.31124999999999997,0.11208333333333333,1.45,1.45,0.00,0.00,3.43,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,175,transfer_tps175
/node-besu7,0.11416666666666668,0.02666666666666667,0.863,0.772,0.00,0.00,3.20,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,175,transfer_tps175
/node-besu6,0.10208333333333335,0.024583333333333332,1.04,0.963,0.00,0.00,2.58,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,175,transfer_tps175
/node-besu5,0.11333333333333334,0.03166666666666667,0.810,0.805,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,175,transfer_tps175
/node-besu3,0.19499999999999998,0.06208333333333333,0.901,0.853,0.00,0.00,2.03,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,175,transfer_tps175
/node-besu2,0.5495833333333333,0.13333333333333333,0.845,0.802,0.00,0.00,2.64,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,175,transfer_tps175
/node-besu4,0.01625,0.012083333333333333,0.845,0.844,0.00,0.00,2.44,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,200,transfer_tps200
/node-besu8,0.19874999999999998,0.046250000000000006,1.04,1.04,0.00,0.00,3.31,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,200,transfer_tps200
/node-besu1,0.29416666666666663,0.12541666666666665,1.45,1.45,0.00,0.00,3.62,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,200,transfer_tps200
/node-besu7,0.21375,0.05458333333333334,0.938,0.863,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,200,transfer_tps200
/node-besu6,0.14375000000000002,0.03375,1.04,1.04,0.00,0.00,2.25,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,200,transfer_tps200
/node-besu5,0.21916666666666665,0.06166666666666667,0.815,0.813,0.00,0.00,3.23,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,200,transfer_tps200
/node-besu3,0.14458333333333334,0.034166666666666665,0.905,0.904,0.00,0.00,2.21,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,200,transfer_tps200
/node-besu2,0.16041666666666668,0.04541666666666667,0.781,0.713,0.00,0.00,3.30,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,200,transfer_tps200
/node-besu4,0.28250000000000003,0.07291666666666667,1.30,1.05,0.00,0.00,2.22,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,225,transfer_tps225
/node-besu8,0.050416666666666665,0.014166666666666668,1.45,1.23,0.00,0.00,2.38,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,225,transfer_tps225
/node-besu1,0.2383333333333333,0.09916666666666667,1.45,1.45,0.00,0.00,2.17,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,225,transfer_tps225
/node-besu7,0.024583333333333332,0.011666666666666667,0.938,0.731,0.00,0.00,2.57,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,225,transfer_tps225
/node-besu6,0.03666666666666667,0.018333333333333333,1.05,1.04,0.00,0.00,3.13,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,225,transfer_tps225
/node-besu5,0.020416666666666666,0.008333333333333333,1.20,1.00,0.00,0.00,2.42,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,225,transfer_tps225
/node-besu3,0.03625,0.012916666666666667,1.01,0.969,0.00,0.00,1.12,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,225,transfer_tps225
/node-besu2,0.03625,0.015416666666666667,0.780,0.655,0.00,0.00,2.74,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,225,transfer_tps225
/node-besu4,0.26916666666666667,0.10541666666666666,1.32,1.32,0.00,0.00,2.29,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,250,transfer_tps250
/node-besu8,0.4145833333333333,0.08208333333333333,1.45,1.45,0.00,0.00,2.37,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,250,transfer_tps250
/node-besu1,0.435,0.2020833333333333,1.50,1.48,0.00,0.00,5.07,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,250,transfer_tps250
/node-besu7,0.5420833333333334,0.10833333333333334,0.803,0.771,0.00,0.00,2.68,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,250,transfer_tps250
/node-besu6,0.42041666666666666,0.07916666666666666,1.05,1.05,0.00,0.00,2.39,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,250,transfer_tps250
/node-besu5,0.36791666666666667,0.0675,1.21,1.21,0.00,0.00,2.33,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,250,transfer_tps250
/node-besu3,0.42041666666666666,0.07916666666666666,1.01,1.01,0.00,0.00,2.64,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,250,transfer_tps250
/node-besu2,0.4679166666666667,0.08750000000000001,0.872,0.831,0.00,0.00,2.25,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,250,transfer_tps250
/node-besu4,0.014166666666666668,0.008333333333333333,1.32,1.32,0.00,0.00,2.25,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,275,transfer_tps275
/node-besu8,0.010416666666666666,0.004583333333333333,1.45,1.45,0.00,0.00,2.22,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,275,transfer_tps275
/node-besu1,0.23916666666666667,0.06625,1.50,1.48,0.00,0.00,0.945,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,275,transfer_tps275
/node-besu7,0.012083333333333333,0.005833333333333334,0.804,0.740,0.00,0.00,2.37,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,275,transfer_tps275
/node-besu6,0.011250000000000001,0.005,1.06,1.05,0.00,0.00,2.26,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,275,transfer_tps275
/node-besu5,0.010833333333333334,0.005416666666666667,1.21,1.21,0.00,0.00,2.20,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,275,transfer_tps275
/node-besu3,0.011250000000000001,0.005,1.01,1.01,0.00,0.00,1.77,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,275,transfer_tps275
/node-besu2,0.011250000000000001,0.005416666666666667,0.872,0.810,0.00,0.00,2.47,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,275,transfer_tps275
/node-besu4,0.18666666666666668,0.04041666666666666,1.32,1.32,0.00,0.00,2.16,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,300,transfer_tps300
/node-besu8,0.15666666666666665,0.043750000000000004,1.46,1.45,0.00,0.00,2.06,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,300,transfer_tps300
/node-besu1,0.2654166666666667,0.16375,1.47,1.47,0.00,0.00,5.15,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,300,transfer_tps300
/node-besu7,0.27416666666666667,0.07083333333333333,0.717,0.697,0.00,0.00,2.43,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,300,transfer_tps300
/node-besu6,0.13625,0.04041666666666666,1.06,1.06,0.00,0.00,2.12,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,300,transfer_tps300
/node-besu5,0.13375,0.04,1.21,1.21,0.00,0.00,2.09,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,300,transfer_tps300
/node-besu3,0.13833333333333334,0.04416666666666667,1.01,1.01,0.00,0.00,2.53,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,300,transfer_tps300
/node-besu2,0.20375,0.06208333333333333,0.754,0.699,0.00,0.00,2.24,0.00,8n-5s-qbft-v26.2.0_20260404_155411,transfer,300,transfer_tps300
