Experiment,Function,TPS,Throughput_TPS,Avg_Latency_s,CPU_avg_%,CPU_max_%,Mem_avg_GB,Mem_max_GB
10n-5s-ibft-v26.2.0_20260330_234119,open,150,57.6,12.49,0.06342187499999996,0.2575,0.7502857142857143,1.3
10n-5s-ibft-v26.2.0_20260330_234119,open,160,92.5,5.65,0.06342187499999996,0.2575,0.7502857142857143,1.3
10n-5s-ibft-v26.2.0_20260330_234119,open,170,96.9,4.62,0.06342187499999996,0.2575,0.7502857142857143,1.3
10n-5s-ibft-v26.2.0_20260330_234119,open,180,88.9,5.93,0.06342187499999996,0.2575,0.7502857142857143,1.3
10n-5s-ibft-v26.2.0_20260330_234119,open,190,103.8,4.86,0.06342187499999996,0.2575,0.7502857142857143,1.3
10n-5s-ibft-v26.2.0_20260330_234119,open,200,107.7,4.04,0.06342187499999996,0.2575,0.7502857142857143,1.3
10n-5s-ibft-v26.2.0_20260330_234119,open,210,110.2,3.96,0.06342187499999996,0.2575,0.7502857142857143,1.3
10n-5s-ibft-v26.2.0_20260330_234119,open,220,111.0,3.79,0.06342187499999996,0.2575,0.7502857142857143,1.3
10n-5s-ibft-v26.2.0_20260330_234119,query,325,325.7,0.0,0.005416666666666627,0.01125,0.7790874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,query,350,350.8,0.0,0.005416666666666627,0.01125,0.7790874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,query,375,375.7,0.0,0.005416666666666627,0.01125,0.7790874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,query,400,400.8,0.0,0.005416666666666627,0.01125,0.7790874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,query,425,425.9,0.0,0.005416666666666627,0.01125,0.7790874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,query,450,450.9,0.0,0.005416666666666627,0.01125,0.7790874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,query,475,476.0,0.0,0.005416666666666627,0.01125,0.7790874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,query,500,501.3,0.0,0.005416666666666627,0.01125,0.7790874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,transfer,60,11.5,3.92,0.008531249999999959,0.0704166666666666,0.7810874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,transfer,70,14.2,3.16,0.008531249999999959,0.0704166666666666,0.7810874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,transfer,80,13.0,3.54,0.008531249999999959,0.0704166666666666,0.7810874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,transfer,90,12.2,3.82,0.008531249999999959,0.0704166666666666,0.7810874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,transfer,100,14.5,3.2,0.008531249999999959,0.0704166666666666,0.7810874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,transfer,110,12.1,3.91,0.008531249999999959,0.0704166666666666,0.7810874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,transfer,120,33.4,1.29,0.008531249999999959,0.0704166666666666,0.7810874999999999,1.31
10n-5s-ibft-v26.2.0_20260330_234119,transfer,130,13.4,3.55,0.008531249999999959,0.0704166666666666,0.7810874999999999,1.31
10n-5s-qbft-v26.2.0_20260330_223155,open,150,57.3,12.4,0.06455208333333329,0.37125,0.7604285714285715,1.22
