Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(avg) [GB],Disc Write [KB]
/node-besu3,0.4291666666666667,0.155,0.651,619,0.00,0.00,0.234,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,150,open_tps150,,
/node-besu2,0.4558333333333333,0.19666666666666666,0.617,606,0.00,0.00,0.234,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,150,open_tps150,,
/node-besu10,0.44708333333333333,0.19083333333333333,0.627,598,0.00,0.00,1.59,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,150,open_tps150,,
/node-besu7,0.4695833333333333,0.24458333333333335,0.612,544,0.00,0.00,0.918,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,150,open_tps150,,
/node-besu5,0.4975,0.27125,0.621,591,0.00,0.00,1.50,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,150,open_tps150,,
/node-besu9,0.3620833333333333,0.22291666666666665,0.633,567,0.00,0.00,1.55,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,150,open_tps150,,
/node-besu1,0.8183333333333334,0.37125,1.05,712,0.00,0.00,2.38,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,150,open_tps150,,
/node-besu6,0.4270833333333333,0.19083333333333333,0.625,603,0.00,0.00,1.54,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,150,open_tps150,,
/node-besu8,0.44916666666666666,0.19541666666666668,0.647,599,0.00,0.00,1.52,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,150,open_tps150,,
/node-besu4,0.47208333333333335,0.18000000000000002,0.632,608,0.00,0.00,0.836,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,150,open_tps150,,
/node-besu3,0.09708333333333334,0.05458333333333334,0.656,,0.00,0.00,1.47,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,160,open_tps160,0.654,
/node-besu2,0.15541666666666668,0.05625,0.682,,0.00,0.00,1.46,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,160,open_tps160,0.660,
/node-besu10,0.24666666666666667,0.08833333333333333,0.707,,0.00,0.00,0.820,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,160,open_tps160,0.680,
/node-besu7,0.16833333333333333,0.05833333333333333,0.680,,0.00,0.00,0.461,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,160,open_tps160,0.637,
/node-besu5,0.3829166666666666,0.13041666666666665,0.688,,0.00,0.00,0.793,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,160,open_tps160,0.643,
/node-besu9,0.28250000000000003,0.09625,0.634,,0.00,0.00,0.789,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,160,open_tps160,0.629,
/node-besu1,0.5625,0.19958333333333333,1.05,,0.00,0.00,1.21,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,160,open_tps160,1.05,
/node-besu6,0.3725,0.12625,0.715,,0.00,0.00,0.809,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,160,open_tps160,0.660,
/node-besu8,0.1325,0.046250000000000006,0.653,,0.00,0.00,0.840,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,160,open_tps160,0.644,
/node-besu4,0.14583333333333334,0.050833333333333335,0.686,,0.00,0.00,1.24,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,160,open_tps160,0.646,
/node-besu3,0.23625,0.06708333333333334,0.668,,0.00,0.00,0.00,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,170,open_tps170,0.662,
/node-besu2,0.20541666666666666,0.057499999999999996,0.684,,0.00,0.00,0.539,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,170,open_tps170,0.683,
/node-besu10,0.16125,0.04791666666666666,0.704,,0.00,0.00,0.777,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,170,open_tps170,0.703,
/node-besu7,0.24958333333333335,0.0675,0.739,,0.00,0.00,0.426,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,170,open_tps170,0.721,
/node-besu5,0.28250000000000003,0.09625,0.690,,0.00,0.00,0.715,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,170,open_tps170,0.690,
/node-besu9,0.25125000000000003,0.06833333333333333,0.650,,0.00,0.00,0.777,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,170,open_tps170,0.645,
/node-besu1,0.28833333333333333,0.12708333333333333,1.20,,0.00,0.00,1.49,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,170,open_tps170,1.13,
/node-besu6,0.22458333333333333,0.06625,0.712,,0.00,0.00,0.762,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,170,open_tps170,0.711,
/node-besu8,0.18791666666666665,0.0525,0.657,,0.00,0.00,0.777,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,170,open_tps170,0.655,
/node-besu4,0.6420833333333333,0.1729166666666667,0.688,,0.00,0.00,0.984,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,170,open_tps170,0.686,
/node-besu3,0.08750000000000001,0.030416666666666665,0.669,,0.00,0.00,0.789,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,180,open_tps180,0.669,
/node-besu2,0.10583333333333333,0.03291666666666667,0.691,,0.00,0.00,0.422,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,180,open_tps180,0.687,
/node-besu10,0.3941666666666667,0.10125,0.747,,0.00,0.00,0.820,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,180,open_tps180,0.725,
/node-besu7,0.38625,0.09958333333333334,0.781,,0.00,0.00,0.0820,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,180,open_tps180,0.761,
/node-besu5,0.46875,0.12,0.715,,0.00,0.00,0.418,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,180,open_tps180,0.703,
/node-besu9,0.45625,0.12083333333333333,0.735,,0.00,0.00,0.777,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,180,open_tps180,0.722,
/node-besu1,0.39125000000000004,0.15541666666666668,1.20,,0.00,0.00,1.68,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,180,open_tps180,1.20,
/node-besu6,0.3933333333333333,0.10166666666666667,0.714,,0.00,0.00,0.742,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,180,open_tps180,0.713,
/node-besu8,0.39458333333333334,0.10208333333333335,0.734,,0.00,0.00,0.797,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,180,open_tps180,0.714,
/node-besu4,0.3833333333333333,0.09875,0.688,,0.00,0.00,0.0195,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,180,open_tps180,0.688,
/node-besu3,0.07708333333333334,0.03666666666666667,0.681,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,190,open_tps190,0.675,480
/node-besu2,0.01958333333333333,0.008749999999999999,0.735,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,190,open_tps190,0.717,476
/node-besu10,0.007916666666666667,0.004583333333333333,0.810,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,190,open_tps190,0.785,0.00
/node-besu7,0.017083333333333332,0.008333333333333333,0.783,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,190,open_tps190,0.782,552
/node-besu5,0.006666666666666667,0.004583333333333333,0.716,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,190,open_tps190,0.715,0.00
/node-besu9,0.011666666666666667,0.005833333333333334,0.732,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,190,open_tps190,0.731,496
/node-besu1,0.012083333333333333,0.007083333333333334,1.20,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,190,open_tps190,1.20,884
/node-besu6,0.012083333333333333,0.008749999999999999,0.722,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,190,open_tps190,0.719,540
/node-besu8,0.012083333333333333,0.005833333333333334,0.735,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,190,open_tps190,0.734,484
/node-besu4,0.010416666666666666,0.005833333333333334,0.690,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,190,open_tps190,0.689,24.0
/node-besu3,0.015,0.0075,0.676,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,200,open_tps200,0.676,652
/node-besu2,0.012916666666666667,0.0062499999999999995,0.730,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,200,open_tps200,0.730,328
/node-besu10,0.013333333333333334,0.0062499999999999995,0.811,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,200,open_tps200,0.811,596
/node-besu7,0.002916666666666667,0.002916666666666667,0.812,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,200,open_tps200,0.793,508
/node-besu5,0.0033333333333333335,0.002916666666666667,0.716,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,200,open_tps200,0.716,0.00
/node-besu9,0.002916666666666667,0.002916666666666667,0.732,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,200,open_tps200,0.732,352
/node-besu1,0.004166666666666667,0.002916666666666667,1.21,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,200,open_tps200,1.21,852
/node-besu6,0.005416666666666667,0.00375,0.723,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,200,open_tps200,0.722,904
/node-besu8,0.002916666666666667,0.002916666666666667,0.736,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,200,open_tps200,0.735,664
/node-besu4,0.002916666666666667,0.0025,0.691,,0.00,0.00,,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,200,open_tps200,0.690,20.0
/node-besu3,0.004166666666666667,0.0033333333333333335,0.739,,0.00,0.00,0.688,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,210,open_tps210,0.705,
/node-besu2,0.0033333333333333335,0.002916666666666667,0.731,,0.00,0.00,0.660,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,210,open_tps210,0.731,
/node-besu10,0.0033333333333333335,0.002916666666666667,0.812,,0.00,0.00,0.633,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,210,open_tps210,0.812,
/node-besu7,0.0033333333333333335,0.002916666666666667,0.864,,0.00,0.00,0.00,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,210,open_tps210,0.863,
/node-besu5,0.011666666666666667,0.005833333333333334,0.718,,0.00,0.00,0.613,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,210,open_tps210,0.717,
/node-besu9,0.004166666666666667,0.0033333333333333335,0.733,,0.00,0.00,0.641,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,210,open_tps210,0.733,
/node-besu1,0.023749999999999997,0.010416666666666666,1.21,,0.00,0.00,1.05,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,210,open_tps210,1.21,
/node-besu6,0.0033333333333333335,0.002916666666666667,0.724,,0.00,0.00,0.0156,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,210,open_tps210,0.723,
/node-besu8,0.004583333333333333,0.00375,0.736,,0.00,0.00,0.00,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,210,open_tps210,0.736,
/node-besu4,0.01375,0.0062499999999999995,0.692,,0.00,0.00,0.656,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,210,open_tps210,0.692,
/node-besu3,0.04083333333333333,0.01625,0.740,,0.00,0.00,0.730,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,220,open_tps220,0.740,
/node-besu2,0.03833333333333334,0.015,0.732,,0.00,0.00,0.367,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,220,open_tps220,0.732,
/node-besu10,0.010416666666666666,0.005416666666666667,0.812,,0.00,0.00,0.695,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,220,open_tps220,0.812,
/node-besu7,0.005833333333333334,0.004583333333333333,0.864,,0.00,0.00,0.00,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,220,open_tps220,0.864,
/node-besu5,0.005,0.00375,0.718,,0.00,0.00,0.695,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,220,open_tps220,0.718,
/node-besu9,0.00375,0.0033333333333333335,0.735,,0.00,0.00,0.734,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,220,open_tps220,0.735,
/node-besu1,0.007916666666666667,0.005,1.23,,0.00,0.00,1.14,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,220,open_tps220,1.22,
/node-besu6,0.007916666666666667,0.005416666666666667,0.725,,0.00,0.00,0.0156,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,220,open_tps220,0.725,
/node-besu8,0.005833333333333334,0.004166666666666667,0.737,,0.00,0.00,0.898,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,220,open_tps220,0.737,
/node-besu4,0.01625,0.0075,0.692,,0.00,0.00,0.445,0.00,10n-5s-qbft-v26.2.0_20260330_223155,open,220,open_tps220,0.692,
