Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [KB],Experiment,TestType,TPS,Report,Memory(avg) [GB],Disc Read [B]
/node-besu5,0.3445833333333333,0.19833333333333333,0.593,564,0.00,0.00,1.73,0.00,12n-5s-ibft-v26.2.0_20260330_235529,open,150,open_tps150,,
/node-besu2,0.38208333333333333,0.22541666666666668,0.662,628,0.00,0.00,0.402,0.00,12n-5s-ibft-v26.2.0_20260330_235529,open,150,open_tps150,,
/node-besu8,0.35708333333333336,0.17416666666666666,0.623,574,0.00,0.00,1.79,0.00,12n-5s-ibft-v26.2.0_20260330_235529,open,150,open_tps150,,
/node-besu9,0.3566666666666667,0.21666666666666667,0.691,627,0.00,0.00,0.555,0.00,12n-5s-ibft-v26.2.0_20260330_235529,open,150,open_tps150,,
/node-besu12,0.38666666666666666,0.21083333333333332,0.603,583,0.00,0.00,1.75,0.00,12n-5s-ibft-v26.2.0_20260330_235529,open,150,open_tps150,,
/node-besu6,0.39958333333333335,0.2333333333333333,0.739,667,0.00,0.00,1.70,0.00,12n-5s-ibft-v26.2.0_20260330_235529,open,150,open_tps150,,
/node-besu11,0.33791666666666664,0.19999999999999998,0.560,550,0.00,0.00,0.211,0.00,12n-5s-ibft-v26.2.0_20260330_235529,open,150,open_tps150,,
/node-besu7,0.33916666666666667,0.19833333333333333,0.768,663,0.00,0.00,1.70,0.00,12n-5s-ibft-v26.2.0_20260330_235529,open,150,open_tps150,,
/node-besu3,0.36083333333333334,0.19958333333333333,0.647,615,0.00,0.00,1.77,0.00,12n-5s-ibft-v26.2.0_20260330_235529,open,150,open_tps150,,
/node-besu10,0.40208333333333335,0.22333333333333336,0.696,659,0.00,0.00,1.80,0.00,12n-5s-ibft-v26.2.0_20260330_235529,open,150,open_tps150,,
/node-besu1,0.38833333333333336,0.28833333333333333,1.16,814,0.00,0.00,2.11,0.00,12n-5s-ibft-v26.2.0_20260330_235529,open,150,open_tps150,,
/node-besu4,0.41875,0.21625000000000003,0.643,526,0.00,0.00,1.88,80.0,12n-5s-ibft-v26.2.0_20260330_235529,open,150,open_tps150,,
/node-besu5,0.3358333333333334,0.105,0.643,,0.00,0.00,0.883,,12n-5s-ibft-v26.2.0_20260330_235529,open,160,open_tps160,0.619,0.00
/node-besu2,0.4008333333333333,0.11666666666666665,0.696,,0.00,0.00,0.00391,,12n-5s-ibft-v26.2.0_20260330_235529,open,160,open_tps160,0.695,0.00
/node-besu8,0.38833333333333336,0.11458333333333333,0.639,,0.00,0.00,0.871,,12n-5s-ibft-v26.2.0_20260330_235529,open,160,open_tps160,0.634,0.00
/node-besu9,0.3,0.09250000000000001,0.724,,0.00,0.00,1.59,,12n-5s-ibft-v26.2.0_20260330_235529,open,160,open_tps160,0.721,0.00
/node-besu12,0.3066666666666667,0.09958333333333334,0.654,,0.00,0.00,0.996,,12n-5s-ibft-v26.2.0_20260330_235529,open,160,open_tps160,0.649,0.00
/node-besu6,0.33416666666666667,0.10541666666666666,0.740,,0.00,0.00,0.988,,12n-5s-ibft-v26.2.0_20260330_235529,open,160,open_tps160,0.738,0.00
/node-besu11,0.2383333333333333,0.07458333333333333,0.601,,0.00,0.00,0.00391,,12n-5s-ibft-v26.2.0_20260330_235529,open,160,open_tps160,0.586,0.00
/node-besu7,0.26625,0.08083333333333333,0.771,,0.00,0.00,0.910,,12n-5s-ibft-v26.2.0_20260330_235529,open,160,open_tps160,0.770,0.00
/node-besu3,0.25375,0.08041666666666666,0.714,,0.00,0.00,1.01,,12n-5s-ibft-v26.2.0_20260330_235529,open,160,open_tps160,0.710,0.00
/node-besu10,0.10791666666666666,0.047499999999999994,0.702,,0.00,0.00,0.867,,12n-5s-ibft-v26.2.0_20260330_235529,open,160,open_tps160,0.699,0.00
/node-besu1,0.395,0.18208333333333335,1.17,,0.00,0.00,1.29,,12n-5s-ibft-v26.2.0_20260330_235529,open,160,open_tps160,1.17,0.00
/node-besu4,0.31666666666666665,0.09875,0.652,,0.00,0.00,1.05,,12n-5s-ibft-v26.2.0_20260330_235529,open,160,open_tps160,0.523,0.00
/node-besu5,0.3179166666666667,0.11666666666666665,0.678,,0.00,0.00,0.641,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.655,0.00
/node-besu2,0.45208333333333334,0.15333333333333335,0.699,,0.00,0.00,0.598,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.698,0.00
/node-besu8,0.42041666666666666,0.14291666666666666,0.708,,0.00,0.00,0.285,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.697,0.00
/node-besu9,0.3558333333333333,0.16874999999999998,0.732,,0.00,0.00,0.617,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.728,0.00
/node-besu12,0.13999999999999999,0.04958333333333333,0.710,,0.00,0.00,0.605,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.673,0.00
/node-besu6,0.3416666666666666,0.11916666666666666,0.742,,0.00,0.00,0.559,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.741,0.00
/node-besu11,0.36916666666666664,0.12541666666666665,0.669,,0.00,0.00,0.410,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.631,0.00
/node-besu7,0.2833333333333333,0.09625,0.834,,0.00,0.00,0.773,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.793,0.00
/node-besu3,0.3854166666666667,0.13791666666666666,0.724,,0.00,0.00,0.602,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.719,0.00
/node-besu10,0.3458333333333334,0.16625,0.773,,0.00,0.00,0.574,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.764,0.00
/node-besu1,0.30916666666666665,0.16,1.19,,0.00,0.00,1.21,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,1.19,0.00
/node-besu4,0.28375,0.10375000000000001,0.667,,0.00,0.00,0.770,,12n-5s-ibft-v26.2.0_20260330_235529,open,170,open_tps170,0.561,0.00
/node-besu5,0.19416666666666668,0.06541666666666666,0.710,,0.00,0.00,0.832,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.709,0.00
/node-besu2,0.33499999999999996,0.09000000000000001,0.736,,0.00,0.00,0.832,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.717,0.00
/node-besu8,0.31708333333333333,0.08208333333333333,0.717,,0.00,0.00,0.00,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.709,0.00
/node-besu9,0.3745833333333333,0.09583333333333333,0.848,,0.00,0.00,0.762,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.828,0.00
/node-besu12,0.36000000000000004,0.09416666666666666,0.712,,0.00,0.00,0.785,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.711,0.00
/node-besu6,0.34041666666666665,0.08708333333333333,0.757,,0.00,0.00,0.801,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.747,0.00
/node-besu11,0.36083333333333334,0.09250000000000001,0.671,,0.00,0.00,0.00,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.671,0.00
/node-besu7,0.30541666666666667,0.08208333333333333,0.878,,0.00,0.00,0.777,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.865,0.00
/node-besu3,0.38375000000000004,0.09833333333333333,0.792,,0.00,0.00,0.00,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.754,0.00
/node-besu10,0.3466666666666667,0.08875,0.777,,0.00,0.00,0.816,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.776,0.00
/node-besu1,0.3720833333333333,0.15916666666666665,1.20,,0.00,0.00,1.62,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,1.20,0.00
/node-besu4,0.30833333333333335,0.07958333333333333,0.669,,0.00,0.00,0.926,,12n-5s-ibft-v26.2.0_20260330_235529,open,180,open_tps180,0.611,0.00
/node-besu5,0.05291666666666667,0.02,0.711,,0.00,0.00,0.758,,12n-5s-ibft-v26.2.0_20260330_235529,open,190,open_tps190,0.710,0.00
