Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu1,0.020416666666666666,0.012499999999999999,1.22,1.22,0.00,0.00,328,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,325,query_tps325
/node-besu9,0.0075,0.005416666666666667,1.06,1.06,0.00,0.00,96.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,325,query_tps325
/node-besu5,0.012083333333333333,0.009166666666666667,0.759,0.759,0.00,0.00,52.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,325,query_tps325
/node-besu3,0.007083333333333334,0.005416666666666667,0.706,0.706,0.00,0.00,100,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,325,query_tps325
/node-besu12,0.007916666666666667,0.005416666666666667,0.730,0.730,0.00,0.00,136,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,325,query_tps325
/node-besu6,0.006666666666666667,0.005,0.801,0.801,0.00,0.00,100,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,325,query_tps325
/node-besu2,0.0062499999999999995,0.004583333333333333,0.740,0.740,0.00,0.00,96.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,325,query_tps325
/node-besu7,0.005833333333333334,0.004583333333333333,0.835,0.835,0.00,0.00,96.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,325,query_tps325
/node-besu8,0.007916666666666667,0.005416666666666667,0.730,0.730,0.00,0.00,92.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,325,query_tps325
/node-besu10,0.009583333333333334,0.0062499999999999995,0.886,0.886,0.00,0.00,120,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,325,query_tps325
/node-besu11,0.009166666666666667,0.0062499999999999995,0.755,0.755,0.00,0.00,0.00,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,325,query_tps325
/node-besu4,0.007916666666666667,0.005416666666666667,0.748,0.748,0.00,0.00,96.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,325,query_tps325
/node-besu1,0.01958333333333333,0.011666666666666667,1.21,1.21,0.00,0.00,88.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,350,query_tps350
/node-besu9,0.002916666666666667,0.002916666666666667,1.06,1.06,0.00,0.00,152,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,350,query_tps350
/node-besu5,0.002916666666666667,0.002916666666666667,0.758,0.758,0.00,0.00,84.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,350,query_tps350
/node-besu3,0.0033333333333333335,0.002916666666666667,0.706,0.706,0.00,0.00,96.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,350,query_tps350
/node-besu12,0.002916666666666667,0.002916666666666667,0.729,0.729,0.00,0.00,92.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,350,query_tps350
/node-besu6,0.00375,0.0033333333333333335,0.801,0.801,0.00,0.00,92.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,350,query_tps350
/node-besu2,0.00375,0.0033333333333333335,0.739,0.739,0.00,0.00,132,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,350,query_tps350
/node-besu7,0.002916666666666667,0.002916666666666667,0.835,0.835,0.00,0.00,88.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,350,query_tps350
/node-besu8,0.002916666666666667,0.002916666666666667,0.729,0.729,0.00,0.00,84.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,350,query_tps350
/node-besu10,0.0033333333333333335,0.0033333333333333335,0.885,0.885,0.00,0.00,84.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,350,query_tps350
/node-besu11,0.002916666666666667,0.002916666666666667,0.754,0.754,0.00,0.00,112,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,350,query_tps350
/node-besu4,0.004166666666666667,0.00375,0.747,0.747,0.00,0.00,92.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,350,query_tps350
/node-besu1,0.06958333333333333,0.03666666666666667,1.22,1.21,0.00,0.00,280,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,375,query_tps375
/node-besu9,0.007916666666666667,0.005416666666666667,1.06,1.06,0.00,0.00,56.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,375,query_tps375
/node-besu5,0.007083333333333334,0.005,0.758,0.758,0.00,0.00,60.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,375,query_tps375
/node-besu3,0.017916666666666668,0.011250000000000001,0.706,0.706,0.00,0.00,56.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,375,query_tps375
/node-besu12,0.007916666666666667,0.005416666666666667,0.730,0.730,0.00,0.00,68.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,375,query_tps375
/node-besu6,0.007083333333333334,0.005,0.801,0.801,0.00,0.00,60.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,375,query_tps375
/node-besu2,0.0075,0.005,0.739,0.739,0.00,0.00,60.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,375,query_tps375
/node-besu7,0.007916666666666667,0.005416666666666667,0.836,0.835,0.00,0.00,60.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,375,query_tps375
/node-besu8,0.0075,0.005416666666666667,0.729,0.729,0.00,0.00,64.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,375,query_tps375
/node-besu10,0.010833333333333334,0.007083333333333334,0.886,0.886,0.00,0.00,76.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,375,query_tps375
/node-besu11,0.0062499999999999995,0.004583333333333333,0.755,0.755,0.00,0.00,60.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,375,query_tps375
/node-besu4,0.0062499999999999995,0.004583333333333333,0.747,0.747,0.00,0.00,52.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,375,query_tps375
/node-besu1,0.004583333333333333,0.004166666666666667,1.20,1.20,0.00,0.00,244,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,400,query_tps400
/node-besu9,0.01958333333333333,0.011250000000000001,1.06,1.06,0.00,0.00,0.00,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,400,query_tps400
/node-besu5,0.016666666666666666,0.01,0.758,0.758,0.00,0.00,44.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,400,query_tps400
/node-besu3,0.018333333333333333,0.010833333333333334,0.706,0.706,0.00,0.00,44.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,400,query_tps400
/node-besu12,0.017916666666666668,0.011250000000000001,0.730,0.730,0.00,0.00,48.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,400,query_tps400
/node-besu6,0.02,0.011666666666666667,0.801,0.801,0.00,0.00,44.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,400,query_tps400
/node-besu2,0.017499999999999998,0.010416666666666666,0.740,0.739,0.00,0.00,40.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,400,query_tps400
/node-besu7,0.02,0.011666666666666667,0.836,0.836,0.00,0.00,44.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,400,query_tps400
/node-besu8,0.02,0.011666666666666667,0.729,0.729,0.00,0.00,44.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,400,query_tps400
/node-besu10,0.02,0.011666666666666667,0.886,0.886,0.00,0.00,44.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,400,query_tps400
/node-besu11,0.01916666666666667,0.011250000000000001,0.754,0.754,0.00,0.00,0.00,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,400,query_tps400
/node-besu4,0.017916666666666668,0.011250000000000001,0.747,0.747,0.00,0.00,40.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,400,query_tps400
/node-besu1,0.015416666666666667,0.01,1.20,1.20,0.00,0.00,0.00,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,425,query_tps425
/node-besu9,0.015833333333333335,0.009583333333333334,1.06,1.06,0.00,0.00,92.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,425,query_tps425
/node-besu5,0.034583333333333334,0.022500000000000003,0.758,0.758,0.00,0.00,132,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,425,query_tps425
/node-besu3,0.011250000000000001,0.007083333333333334,0.706,0.706,0.00,0.00,92.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,425,query_tps425
/node-besu12,0.006666666666666667,0.004583333333333333,0.729,0.729,0.00,0.00,88.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,425,query_tps425
/node-besu6,0.004166666666666667,0.00375,0.801,0.801,0.00,0.00,140,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,425,query_tps425
/node-besu2,0.004166666666666667,0.0033333333333333335,0.739,0.739,0.00,0.00,0.00,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,425,query_tps425
/node-besu7,0.008333333333333333,0.005833333333333334,0.836,0.836,0.00,0.00,92.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,425,query_tps425
/node-besu8,0.012499999999999999,0.0075,0.729,0.729,0.00,0.00,92.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,425,query_tps425
/node-besu10,0.004166666666666667,0.00375,0.886,0.886,0.00,0.00,92.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,425,query_tps425
/node-besu11,0.014166666666666668,0.008333333333333333,0.755,0.754,0.00,0.00,96.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,425,query_tps425
/node-besu4,0.004166666666666667,0.00375,0.747,0.747,0.00,0.00,88.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,425,query_tps425
/node-besu1,0.005,0.00375,1.20,1.20,0.00,0.00,212,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,450,query_tps450
/node-besu9,0.002916666666666667,0.002916666666666667,1.06,1.06,0.00,0.00,44.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,450,query_tps450
/node-besu5,0.002916666666666667,0.002916666666666667,0.758,0.758,0.00,0.00,40.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,450,query_tps450
/node-besu3,0.0033333333333333335,0.002916666666666667,0.706,0.706,0.00,0.00,44.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,450,query_tps450
/node-besu12,0.002916666666666667,0.002916666666666667,0.730,0.729,0.00,0.00,80.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,450,query_tps450
/node-besu6,0.002916666666666667,0.002916666666666667,0.801,0.801,0.00,0.00,44.0,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,450,query_tps450
/node-besu2,0.002916666666666667,0.002916666666666667,0.739,0.739,0.00,0.00,0.00,0.00,12n-5s-qbft-v26.2.0_20260330_224545,query,450,query_tps450
