Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Disc Write [KB],Memory(avg) [GB]
/node-besu4,0.8554166666666667,0.32375,664,605,0.00,0.00,1.08,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,150,open_tps150,,,
/node-besu3,0.5325,0.14125000000000001,648,554,0.00,0.00,1.41,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,150,open_tps150,,,
/node-besu2,0.9204166666666667,0.24208333333333332,604,554,0.00,0.00,1.05,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,150,open_tps150,,,
/node-besu1,0.96375,0.305,710,554,0.00,0.00,2.21,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,150,open_tps150,,,
/node-besu4,0.4679166666666667,0.16666666666666666,664,551,0.00,0.00,0.840,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,160,open_tps160,,,
/node-besu3,0.09416666666666666,0.03333333333333333,657,653,0.00,0.00,0.762,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,160,open_tps160,,,
/node-besu2,0.04541666666666667,0.017499999999999998,601,497,0.00,0.00,0.820,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,160,open_tps160,,,
/node-besu1,0.0675,0.027083333333333334,866,786,0.00,0.00,1.19,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,160,open_tps160,,,
/node-besu4,0.19625,0.06791666666666667,,505,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,170,open_tps170,0.527,956,
/node-besu3,0.0062499999999999995,0.00375,,662,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,170,open_tps170,0.650,688,
/node-besu2,0.007083333333333334,0.004166666666666667,,442,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,170,open_tps170,0.445,888,
/node-besu1,0.009166666666666667,0.005416666666666667,,976,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,170,open_tps170,1.07,540,
/node-besu4,0.08833333333333333,0.03208333333333333,,,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,180,open_tps180,0.649,764,0.643
/node-besu3,0.01375,0.006666666666666667,,,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,180,open_tps180,0.652,784,0.651
/node-besu2,0.01958333333333333,0.009583333333333334,,,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,180,open_tps180,0.465,956,0.447
/node-besu1,0.02125,0.009166666666666667,,,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,180,open_tps180,1.07,0.00,1.07
/node-besu4,0.09208333333333334,0.0325,,,0.00,0.00,0.523,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,190,open_tps190,0.492,,0.484
/node-besu3,0.0025,0.0025,,,0.00,0.00,0.395,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,190,open_tps190,0.652,,0.652
/node-besu2,0.0033333333333333335,0.0033333333333333335,,,0.00,0.00,0.809,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,190,open_tps190,0.590,,0.507
/node-besu1,0.002916666666666667,0.0025,,,0.00,0.00,1.20,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,190,open_tps190,1.07,,1.07
/node-besu4,0.015,0.01,,,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,200,open_tps200,0.512,584,0.497
/node-besu3,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,200,open_tps200,0.653,308,0.653
/node-besu2,0.005833333333333334,0.005,,,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,200,open_tps200,0.615,488,0.505
/node-besu1,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,200,open_tps200,1.07,808,1.07
/node-besu4,0.050416666666666665,0.022083333333333333,,,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,210,open_tps210,0.670,492,0.630
/node-besu3,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,210,open_tps210,0.661,476,0.658
/node-besu2,0.075,0.02791666666666667,,,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,210,open_tps210,0.591,620,0.519
/node-besu1,0.00375,0.0033333333333333335,,,0.00,0.00,,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,210,open_tps210,1.08,932,1.08
/node-besu4,0.014166666666666668,0.01,,,0.00,0.00,0.828,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,220,open_tps220,0.670,,0.571
/node-besu3,0.011666666666666667,0.0062499999999999995,,,0.00,0.00,0.453,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,220,open_tps220,0.662,,0.661
/node-besu2,0.012916666666666667,0.006666666666666667,,,0.00,0.00,0.781,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,220,open_tps220,0.611,,0.551
/node-besu1,0.22083333333333333,0.07833333333333332,,,0.00,0.00,1.29,0.00,4n-5s-ibft-v26.2.0_20260330_230006,open,220,open_tps220,1.23,,1.18
