Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [KB],Experiment,TestType,TPS,Report,Disc Read [B],Memory(max) [GB],Memory(avg) [GB],Disc Write [KB]
/node-besu2,0.6541666666666667,0.17833333333333334,627,567,0.00,0.00,1.38,0.00,4n-5s-qbft-v26.2.0_20260330_214850,open,150,open_tps150,,,,
/node-besu3,0.21083333333333332,0.09125,646,581,0.00,0.00,0.574,0.00,4n-5s-qbft-v26.2.0_20260330_214850,open,150,open_tps150,,,,
/node-besu4,1.1958333333333333,0.3283333333333333,541,479,0.00,0.00,1.47,0.00,4n-5s-qbft-v26.2.0_20260330_214850,open,150,open_tps150,,,,
/node-besu1,0.6687500000000001,0.30416666666666664,802,660,0.00,0.00,2.25,8.00,4n-5s-qbft-v26.2.0_20260330_214850,open,150,open_tps150,,,,
/node-besu2,0.11833333333333333,0.04666666666666667,630,629,0.00,0.00,0.516,,4n-5s-qbft-v26.2.0_20260330_214850,open,160,open_tps160,0.00,,,
/node-besu3,0.09791666666666667,0.035416666666666666,655,651,0.00,0.00,1.18,,4n-5s-qbft-v26.2.0_20260330_214850,open,160,open_tps160,0.00,,,
/node-besu4,0.06208333333333333,0.02291666666666667,625,587,0.00,0.00,0.465,,4n-5s-qbft-v26.2.0_20260330_214850,open,160,open_tps160,0.00,,,
/node-besu1,0.31958333333333333,0.11499999999999999,995,898,0.00,0.00,0.945,,4n-5s-qbft-v26.2.0_20260330_214850,open,160,open_tps160,0.00,,,
/node-besu2,0.012083333333333333,0.008749999999999999,,,0.00,0.00,,,4n-5s-qbft-v26.2.0_20260330_214850,open,170,open_tps170,0.00,0.621,0.619,416
/node-besu3,0.004583333333333333,0.00375,,,0.00,0.00,,,4n-5s-qbft-v26.2.0_20260330_214850,open,170,open_tps170,0.00,0.641,0.640,700
/node-besu4,0.14458333333333334,0.05375,,,0.00,0.00,,,4n-5s-qbft-v26.2.0_20260330_214850,open,170,open_tps170,0.00,0.611,0.610,464
/node-besu1,0.0075,0.005833333333333334,,,0.00,0.00,,,4n-5s-qbft-v26.2.0_20260330_214850,open,170,open_tps170,0.00,1.09,1.01,824
/node-besu2,0.18583333333333332,0.06416666666666666,,,0.00,0.00,,,4n-5s-qbft-v26.2.0_20260330_214850,open,180,open_tps180,0.00,0.623,0.622,436
/node-besu3,0.07708333333333334,0.0275,,,0.00,0.00,,,4n-5s-qbft-v26.2.0_20260330_214850,open,180,open_tps180,0.00,0.653,0.647,748
/node-besu4,0.005416666666666667,0.004166666666666667,,,0.00,0.00,,,4n-5s-qbft-v26.2.0_20260330_214850,open,180,open_tps180,0.00,0.632,0.618,400
/node-besu1,0.0075,0.005,,,0.00,0.00,,,4n-5s-qbft-v26.2.0_20260330_214850,open,180,open_tps180,0.00,1.09,1.09,752
/node-besu2,0.043750000000000004,0.016666666666666666,,,0.00,0.00,,0.00,4n-5s-qbft-v26.2.0_20260330_214850,open,190,open_tps190,,0.628,0.626,452
/node-besu3,0.027083333333333334,0.011250000000000001,,,0.00,0.00,,4.00,4n-5s-qbft-v26.2.0_20260330_214850,open,190,open_tps190,,0.650,0.649,416
/node-besu4,0.00375,0.0033333333333333335,,,0.00,0.00,,0.00,4n-5s-qbft-v26.2.0_20260330_214850,open,190,open_tps190,,0.634,0.633,408
/node-besu1,0.00375,0.002916666666666667,,,0.00,0.00,,0.00,4n-5s-qbft-v26.2.0_20260330_214850,open,190,open_tps190,,1.09,1.09,752
/node-besu2,0.07791666666666668,0.03125,,,0.00,0.00,,,4n-5s-qbft-v26.2.0_20260330_214850,open,200,open_tps200,0.00,0.629,0.628,0.00
/node-besu3,0.00375,0.0033333333333333335,,,0.00,0.00,,,4n-5s-qbft-v26.2.0_20260330_214850,open,200,open_tps200,0.00,0.651,0.651,636
/node-besu4,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,,,4n-5s-qbft-v26.2.0_20260330_214850,open,200,open_tps200,0.00,0.634,0.634,604
/node-besu1,0.0033333333333333335,0.002916666666666667,,,0.00,0.00,,,4n-5s-qbft-v26.2.0_20260330_214850,open,200,open_tps200,0.00,1.09,1.09,992
/node-besu2,0.045000000000000005,0.01875,,,0.00,0.00,0.848,,4n-5s-qbft-v26.2.0_20260330_214850,open,210,open_tps210,0.00,0.631,0.630,
/node-besu3,0.006666666666666667,0.004166666666666667,,,0.00,0.00,0.582,,4n-5s-qbft-v26.2.0_20260330_214850,open,210,open_tps210,0.00,0.652,0.652,
/node-besu4,0.01958333333333333,0.009166666666666667,,,0.00,0.00,0.629,,4n-5s-qbft-v26.2.0_20260330_214850,open,210,open_tps210,0.00,0.641,0.639,
/node-besu1,0.03333333333333333,0.014166666666666668,,,0.00,0.00,1.16,,4n-5s-qbft-v26.2.0_20260330_214850,open,210,open_tps210,0.00,1.23,1.15,
/node-besu2,0.008333333333333333,0.0062499999999999995,,,0.00,0.00,0.750,,4n-5s-qbft-v26.2.0_20260330_214850,open,220,open_tps220,0.00,0.631,0.631,
/node-besu3,0.007083333333333334,0.004166666666666667,,,0.00,0.00,0.641,,4n-5s-qbft-v26.2.0_20260330_214850,open,220,open_tps220,0.00,0.655,0.654,
/node-besu4,0.03791666666666667,0.015416666666666667,,,0.00,0.00,0.645,,4n-5s-qbft-v26.2.0_20260330_214850,open,220,open_tps220,0.00,0.641,0.641,
/node-besu1,0.11083333333333334,0.03875,,,0.00,0.00,1.17,,4n-5s-qbft-v26.2.0_20260330_214850,open,220,open_tps220,0.00,1.24,1.24,
