Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu1,0.011250000000000001,0.007083333333333334,1.24,1.24,0.00,0.00,160,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,60,transfer_tps60
/node-besu4,0.015,0.008749999999999999,0.642,0.641,0.00,0.00,84.0,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,60,transfer_tps60
/node-besu3,0.009166666666666667,0.005833333333333334,0.657,0.656,0.00,0.00,184,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,60,transfer_tps60
/node-besu2,0.0075,0.005,0.631,0.631,0.00,0.00,0.00,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,60,transfer_tps60
/node-besu1,0.015833333333333335,0.009166666666666667,1.24,1.24,0.00,0.00,140,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,70,transfer_tps70
/node-besu4,0.014166666666666668,0.008749999999999999,0.642,0.642,0.00,0.00,76.0,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,70,transfer_tps70
/node-besu3,0.010833333333333334,0.007083333333333334,0.657,0.657,0.00,0.00,76.0,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,70,transfer_tps70
/node-besu2,0.0062499999999999995,0.004583333333333333,0.632,0.632,0.00,0.00,0.00,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,70,transfer_tps70
/node-besu1,0.009166666666666667,0.005833333333333334,1.24,1.24,0.00,0.00,92.0,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,80,transfer_tps80
/node-besu4,0.006666666666666667,0.005,0.643,0.642,0.00,0.00,108,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,80,transfer_tps80
/node-besu3,0.014166666666666668,0.008749999999999999,0.658,0.658,0.00,0.00,72.0,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,80,transfer_tps80
/node-besu2,0.005416666666666667,0.004166666666666667,0.632,0.632,0.00,0.00,0.00,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,80,transfer_tps80
/node-besu1,0.008749999999999999,0.005833333333333334,1.24,1.24,0.00,0.00,80.0,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,90,transfer_tps90
/node-besu4,0.013333333333333334,0.007916666666666667,0.643,0.643,0.00,0.00,72.0,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,90,transfer_tps90
/node-besu3,0.007916666666666667,0.005416666666666667,0.658,0.658,0.00,0.00,80.0,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,90,transfer_tps90
/node-besu2,0.008749999999999999,0.005833333333333334,0.633,0.633,0.00,0.00,0.00,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,90,transfer_tps90
/node-besu1,0.0033333333333333335,0.0033333333333333335,1.24,1.24,0.00,0.00,372,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,100,transfer_tps100
/node-besu4,0.0033333333333333335,0.002916666666666667,0.643,0.643,0.00,0.00,124,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,100,transfer_tps100
/node-besu3,0.0033333333333333335,0.0033333333333333335,0.658,0.658,0.00,0.00,60.0,0.00,4n-5s-qbft-v26.2.0_20260330_214850,transfer,100,transfer_tps100
