Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(avg) [GB],Disc Write [KB]
/node-besu5,0.51625,0.13625,0.549,499,0.00,0.00,1.34,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,150,open_tps150,,
/node-besu3,0.7324999999999999,0.20875,0.574,525,0.00,0.00,1.30,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,150,open_tps150,,
/node-besu4,0.7141666666666667,0.18791666666666665,0.530,482,0.00,0.00,1.34,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,150,open_tps150,,
/node-besu1,0.7183333333333333,0.2704166666666667,1.09,680,0.00,0.00,1.12,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,150,open_tps150,,
/node-besu2,0.8158333333333333,0.18875,0.605,589,0.00,0.00,0.328,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,150,open_tps150,,
/node-besu6,0.40625,0.12833333333333333,0.558,531,0.00,0.00,0.246,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,150,open_tps150,,
/node-besu5,0.14833333333333334,0.04583333333333334,0.592,,0.00,0.00,0.910,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,160,open_tps160,0.572,
/node-besu3,0.5308333333333334,0.11583333333333333,0.622,,0.00,0.00,0.336,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,160,open_tps160,0.518,
/node-besu4,0.6316666666666667,0.11708333333333333,0.629,,0.00,0.00,0.883,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,160,open_tps160,0.612,
/node-besu1,0.7970833333333333,0.15125,1.09,,0.00,0.00,2.71,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,160,open_tps160,1.09,
/node-besu2,0.7191666666666667,0.13708333333333333,0.616,,0.00,0.00,0.988,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,160,open_tps160,0.612,
/node-besu6,0.6908333333333333,0.12416666666666666,0.653,,0.00,0.00,0.0156,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,160,open_tps160,0.631,
/node-besu5,0.4183333333333333,0.08916666666666667,0.628,,0.00,0.00,0.875,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,170,open_tps170,0.621,
/node-besu3,0.11166666666666668,0.030416666666666665,0.503,,0.00,0.00,0.641,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,170,open_tps170,0.461,
/node-besu4,0.13125,0.028749999999999998,0.630,,0.00,0.00,0.809,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,170,open_tps170,0.630,
/node-besu1,0.3279166666666667,0.06874999999999999,1.10,,0.00,0.00,1.20,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,170,open_tps170,1.09,
/node-besu2,0.13958333333333334,0.03,0.618,,0.00,0.00,0.645,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,170,open_tps170,0.618,
/node-besu6,0.09208333333333334,0.023749999999999997,0.658,,0.00,0.00,0.0156,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,170,open_tps170,0.657,
/node-besu5,0.4725,0.13833333333333334,0.674,,0.00,0.00,,0.00,6n-15s-ibft-v26.2.0_20260331_013354,open,180,open_tps180,0.644,760
