Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [B]
/node-besu5,0.00375,0.00375,0.648,0.648,0.00,0.00,72.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,325,query_tps325,
/node-besu3,0.005416666666666667,0.004166666666666667,0.480,0.479,0.00,0.00,28.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,325,query_tps325,
/node-besu4,0.002916666666666667,0.0025,0.685,0.685,0.00,0.00,0.00,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,325,query_tps325,
/node-besu1,0.0033333333333333335,0.002916666666666667,1.27,1.27,0.00,0.00,0.00,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,325,query_tps325,
/node-besu2,0.002916666666666667,0.002916666666666667,0.628,0.628,0.00,0.00,24.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,325,query_tps325,
/node-besu6,0.0025,0.0025,0.664,0.664,0.00,0.00,0.00,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,325,query_tps325,
/node-besu5,0.0025,0.0025,0.646,0.646,0.00,0.00,32.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,350,query_tps350,
/node-besu3,0.07833333333333332,0.04083333333333333,0.480,0.474,0.00,0.00,68.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,350,query_tps350,
/node-besu4,0.007916666666666667,0.005,0.684,0.684,0.00,0.00,12.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,350,query_tps350,
/node-besu1,0.00375,0.0033333333333333335,1.27,1.27,0.00,0.00,636,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,350,query_tps350,
/node-besu2,0.002916666666666667,0.002916666666666667,0.627,0.627,0.00,0.00,104,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,350,query_tps350,
/node-besu6,0.002916666666666667,0.0025,0.662,0.662,0.00,0.00,0.00,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,350,query_tps350,
/node-besu5,0.002916666666666667,0.002916666666666667,0.647,0.647,0.00,0.00,28.0,0.00,6n-15s-ibft-v26.2.0_20260331_013354,query,375,query_tps375,
