Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Memory(avg) [GB],Disc Write [KB]
/node-besu4,0.5475,0.16749999999999998,626,519,0.00,0.00,1.39,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,150,open_tps150,,,
/node-besu1,0.5420833333333334,0.24875,1.02e+3,647,0.00,0.00,2.64,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,150,open_tps150,,,
/node-besu3,0.29375,0.08833333333333333,520,460,0.00,0.00,0.328,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,150,open_tps150,,,
/node-besu2,0.3666666666666667,0.12583333333333332,620,529,0.00,0.00,1.33,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,150,open_tps150,,,
/node-besu6,1.17,0.25833333333333336,650,572,0.00,0.00,1.29,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,150,open_tps150,,,
/node-besu5,0.3070833333333333,0.09458333333333334,617,560,0.00,0.00,1.30,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,150,open_tps150,,,
/node-besu4,0.13083333333333333,0.028749999999999998,,,0.00,0.00,0.465,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,160,open_tps160,0.611,0.489,
/node-besu1,0.6716666666666667,0.15458333333333332,,,0.00,0.00,1.72,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,160,open_tps160,1.14,1.02,
/node-besu3,0.8495833333333334,0.18583333333333332,,,0.00,0.00,0.613,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,160,open_tps160,0.499,0.477,
/node-besu2,0.5358333333333333,0.12333333333333334,,,0.00,0.00,0.0977,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,160,open_tps160,0.623,0.616,
/node-besu6,0.7425,0.16041666666666668,,,0.00,0.00,0.859,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,160,open_tps160,0.648,0.638,
/node-besu5,0.6404166666666666,0.13916666666666666,,,0.00,0.00,0.316,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,160,open_tps160,0.605,0.604,
/node-besu4,0.7374999999999999,0.15041666666666667,,,0.00,0.00,0.598,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,170,open_tps170,0.656,0.622,
/node-besu1,0.43250000000000005,0.09333333333333334,,,0.00,0.00,1.15,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,170,open_tps170,1.16,1.15,
/node-besu3,0.17541666666666667,0.03833333333333334,,,0.00,0.00,1.22,0.00,6n-15s-qbft-v26.2.0_20260331_002513,open,170,open_tps170,0.620,0.582,
