Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report
/node-besu3,0.002916666666666667,0.002916666666666667,0.685,0.683,0.00,0.00,0.00,0.00,6n-20s-ibft-v26.2.0_20260331_015014,transfer,60,transfer_tps60
/node-besu4,0.0033333333333333335,0.002916666666666667,0.666,0.665,0.00,0.00,196,0.00,6n-20s-ibft-v26.2.0_20260331_015014,transfer,60,transfer_tps60
/node-besu2,0.0033333333333333335,0.002916666666666667,0.654,0.653,0.00,0.00,228,0.00,6n-20s-ibft-v26.2.0_20260331_015014,transfer,60,transfer_tps60
/node-besu5,0.018333333333333333,0.008333333333333333,0.485,0.481,0.00,0.00,0.00,0.00,6n-20s-ibft-v26.2.0_20260331_015014,transfer,60,transfer_tps60
/node-besu6,0.07375,0.02666666666666667,0.467,0.467,0.00,0.00,0.00,0.00,6n-20s-ibft-v26.2.0_20260331_015014,transfer,60,transfer_tps60
/node-besu1,0.0025,0.0025,1.19,1.19,0.00,0.00,300,0.00,6n-20s-ibft-v26.2.0_20260331_015014,transfer,60,transfer_tps60
/node-besu2,0.012916666666666667,0.005,0.655,0.654,0.00,0.00,204,0.00,6n-20s-ibft-v26.2.0_20260331_015014,transfer,70,transfer_tps70
/node-besu5,0.004166666666666667,0.0033333333333333335,0.478,0.472,0.00,0.00,168,0.00,6n-20s-ibft-v26.2.0_20260331_015014,transfer,70,transfer_tps70
/node-besu4,0.00375,0.002916666666666667,0.668,0.666,0.00,0.00,308,0.00,6n-20s-ibft-v26.2.0_20260331_015014,transfer,70,transfer_tps70
/node-besu3,0.0033333333333333335,0.002916666666666667,0.686,0.685,0.00,0.00,112,0.00,6n-20s-ibft-v26.2.0_20260331_015014,transfer,70,transfer_tps70
/node-besu1,0.0033333333333333335,0.0025,1.19,1.19,0.00,0.00,304,0.00,6n-20s-ibft-v26.2.0_20260331_015014,transfer,70,transfer_tps70
/node-besu6,0.004166666666666667,0.00375,0.469,0.468,0.00,0.00,0.00,0.00,6n-20s-ibft-v26.2.0_20260331_015014,transfer,70,transfer_tps70
