Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Memory(avg) [GB]
/node-besu5,0.6954166666666667,0.14291666666666666,546,525,0.00,0.00,0.598,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,150,open_tps150,,
/node-besu6,0.7154166666666667,0.15458333333333332,630,496,0.00,0.00,0.352,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,150,open_tps150,,
/node-besu3,0.39458333333333334,0.10291666666666667,608,461,0.00,0.00,0.598,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,150,open_tps150,,
/node-besu1,0.9820833333333333,0.21791666666666668,1.02e+3,640,0.00,0.00,1.90,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,150,open_tps150,,
/node-besu4,0.25625000000000003,0.10375000000000001,557,500,0.00,0.00,1.51,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,150,open_tps150,,
/node-besu2,0.33625,0.08666666666666667,599,549,0.00,0.00,1.32,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,150,open_tps150,,
/node-besu5,0.18833333333333332,0.046250000000000006,,,0.00,0.00,1.06,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,160,open_tps160,0.501,0.479
/node-besu6,0.5670833333333333,0.10875,,,0.00,0.00,1.00,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,160,open_tps160,0.625,0.622
/node-besu3,0.7220833333333333,0.11833333333333333,,,0.00,0.00,0.871,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,160,open_tps160,0.611,0.600
/node-besu1,0.6133333333333334,0.11,,,0.00,0.00,1.80,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,160,open_tps160,1.16,1.04
/node-besu4,0.6783333333333333,0.10625,,,0.00,0.00,0.934,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,160,open_tps160,0.534,0.531
/node-besu2,0.82375,0.12541666666666665,,,0.00,0.00,0.879,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,160,open_tps160,0.607,0.602
/node-besu5,0.3433333333333333,0.075,,,0.00,0.00,0.273,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,170,open_tps170,0.623,0.600
/node-besu6,0.051666666666666666,0.01,,,0.00,0.00,1.20,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,170,open_tps170,0.665,0.636
/node-besu3,0.2554166666666667,0.03958333333333333,,,0.00,0.00,0.840,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,170,open_tps170,0.612,0.611
/node-besu1,0.30083333333333334,0.04583333333333334,,,0.00,0.00,1.21,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,170,open_tps170,1.17,1.16
/node-besu4,0.007916666666666667,0.00375,,,0.00,0.00,0.840,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,170,open_tps170,0.635,0.623
/node-besu2,0.01916666666666667,0.007083333333333334,,,0.00,0.00,0.910,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,170,open_tps170,0.607,0.580
/node-besu5,0.07791666666666668,0.016666666666666666,,,0.00,0.00,1.33,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,180,open_tps180,0.522,0.483
/node-besu6,0.1175,0.0325,,,0.00,0.00,0.953,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,180,open_tps180,0.658,0.539
/node-besu3,0.245,0.03791666666666667,,,0.00,0.00,0.773,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,180,open_tps180,0.743,0.722
/node-besu1,0.38666666666666666,0.05833333333333333,,,0.00,0.00,1.39,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,180,open_tps180,1.17,1.17
/node-besu4,0.39458333333333334,0.059166666666666666,,,0.00,0.00,0.832,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,180,open_tps180,0.642,0.637
/node-besu2,0.7683333333333334,0.11291666666666667,,,0.00,0.00,0.219,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,180,open_tps180,0.565,0.548
/node-besu5,0.45208333333333334,0.08666666666666667,,,0.00,0.00,0.828,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,190,open_tps190,0.606,0.593
/node-besu6,0.006666666666666667,0.0033333333333333335,,,0.00,0.00,0.828,0.00,6n-25s-qbft-v26.2.0_20260331_010003,open,190,open_tps190,0.635,0.605
