Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Memory(avg) [GB],Disc Write [KB]
/node-besu1,0.5683333333333334,0.2070833333333333,943,765,0.00,0.00,1.30,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,150,open_tps150,,,
/node-besu6,0.19291666666666665,0.08750000000000001,618,584,0.00,0.00,1.30,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,150,open_tps150,,,
/node-besu3,0.16458333333333333,0.07208333333333333,613,567,0.00,0.00,1.31,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,150,open_tps150,,,
/node-besu5,0.13,0.03375,643,605,0.00,0.00,1.31,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,150,open_tps150,,,
/node-besu4,0.14375000000000002,0.03625,488,467,0.00,0.00,1.30,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,150,open_tps150,,,
/node-besu2,0.12291666666666667,0.03125,642,596,0.00,0.00,1.30,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,150,open_tps150,,,
/node-besu1,0.7345833333333333,0.2925,,1.02e+3,0.00,0.00,1.27,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,160,open_tps160,1.07,,
/node-besu6,0.08125,0.04125,,620,0.00,0.00,1.23,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,160,open_tps160,0.607,,
/node-besu3,0.12541666666666665,0.0525,,616,0.00,0.00,1.23,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,160,open_tps160,0.603,,
/node-besu5,0.08875,0.05125,,639,0.00,0.00,1.23,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,160,open_tps160,0.626,,
/node-besu4,0.11333333333333334,0.048749999999999995,,593,0.00,0.00,1.23,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,160,open_tps160,0.631,,
/node-besu2,0.044583333333333336,0.029583333333333333,,635,0.00,0.00,1.23,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,160,open_tps160,0.621,,
/node-besu1,0.34874999999999995,0.12,,,0.00,0.00,1.27,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,170,open_tps170,1.21,1.16,
/node-besu6,0.0008333333333333334,0.0004166666666666667,,,0.00,0.00,1.26,0.00,6n-5s-ibft-v24.6.0_20260331_035741,open,170,open_tps170,0.609,0.608,
