Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [B]
/node-besu4,0.009166666666666667,0.006666666666666667,0.647,0.646,0.00,0.00,16.0,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,60,transfer_tps60,
/node-besu2,0.011250000000000001,0.005833333333333334,0.635,0.634,0.00,0.00,244,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,60,transfer_tps60,
/node-besu1,0.00375,0.0020833333333333333,1.19,1.19,0.00,0.00,184,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,60,transfer_tps60,
/node-besu6,0.013333333333333334,0.006666666666666667,0.616,0.616,0.00,0.00,0.00,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,60,transfer_tps60,
/node-besu3,0.009583333333333334,0.005,0.622,0.621,0.00,0.00,0.00,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,60,transfer_tps60,
/node-besu5,0.029583333333333333,0.015,0.638,0.637,0.00,0.00,200,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,60,transfer_tps60,
/node-besu1,0.0020833333333333333,0.00125,1.20,1.20,0.00,0.00,72.0,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,70,transfer_tps70,
/node-besu6,0.007083333333333334,0.00375,0.617,0.616,0.00,0.00,240,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,70,transfer_tps70,
/node-besu2,0.015,0.0075,0.635,0.635,0.00,0.00,0.00,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,70,transfer_tps70,
/node-besu4,0.0075,0.00375,0.647,0.646,0.00,0.00,240,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,70,transfer_tps70,
/node-besu5,0.011666666666666667,0.0062499999999999995,0.639,0.639,0.00,0.00,56.0,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,70,transfer_tps70,
/node-besu3,0.007083333333333334,0.00375,0.623,0.623,0.00,0.00,56.0,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,70,transfer_tps70,
/node-besu5,0.011666666666666667,0.005833333333333334,0.639,0.639,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,80,transfer_tps80,0.00
/node-besu3,0.015416666666666667,0.007916666666666667,0.625,0.624,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,80,transfer_tps80,0.00
/node-besu6,0.011250000000000001,0.005833333333333334,0.617,0.617,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,80,transfer_tps80,0.00
/node-besu1,0.0004166666666666667,0.0004166666666666667,1.20,1.20,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,80,transfer_tps80,0.00
/node-besu2,0.01875,0.009583333333333334,0.636,0.636,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,80,transfer_tps80,0.00
/node-besu4,0.01375,0.007083333333333334,0.648,0.647,0.00,0.00,,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,80,transfer_tps80,0.00
/node-besu2,0.02625,0.013333333333333334,0.637,0.634,0.00,0.00,196,0.00,6n-5s-ibft-v24.6.0_20260331_035741,transfer,90,transfer_tps90,
