Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [KB],Experiment,TestType,TPS,Report,Memory(avg) [GB],Disc Write [KB],Disc Read [B]
/node-besu5,0.5066666666666667,0.2708333333333333,0.633,575,0.00,0.00,1.41,0.00,8n-5s-ibft-v26.2.0_20260330_232730,open,150,open_tps150,,,
/node-besu3,0.9283333333333333,0.305,0.677,628,0.00,0.00,1.35,0.00,8n-5s-ibft-v26.2.0_20260330_232730,open,150,open_tps150,,,
/node-besu7,0.6145833333333334,0.2275,0.643,583,0.00,0.00,1.40,0.00,8n-5s-ibft-v26.2.0_20260330_232730,open,150,open_tps150,,,
/node-besu2,0.45458333333333334,0.215,0.587,534,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,open,150,open_tps150,,,
/node-besu8,0.6020833333333333,0.29458333333333336,0.556,534,0.00,0.00,0.797,12.0,8n-5s-ibft-v26.2.0_20260330_232730,open,150,open_tps150,,,
/node-besu1,0.5375,0.31124999999999997,1.02,728,0.00,0.00,1.77,0.00,8n-5s-ibft-v26.2.0_20260330_232730,open,150,open_tps150,,,
/node-besu4,0.635,0.26416666666666666,0.626,580,0.00,0.00,0.809,0.00,8n-5s-ibft-v26.2.0_20260330_232730,open,150,open_tps150,,,
/node-besu6,0.5079166666666667,0.20916666666666664,0.645,612,0.00,0.00,1.41,0.00,8n-5s-ibft-v26.2.0_20260330_232730,open,150,open_tps150,,,
/node-besu5,0.46541666666666665,0.18166666666666667,0.641,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,160,open_tps160,0.638,536,0.00
/node-besu3,0.3575,0.12125000000000001,0.674,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,160,open_tps160,0.671,360,0.00
/node-besu7,0.10333333333333333,0.059166666666666666,0.649,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,160,open_tps160,0.647,520,0.00
/node-besu2,0.24,0.09958333333333334,0.602,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,160,open_tps160,0.596,0.00,0.00
/node-besu8,0.07916666666666666,0.028749999999999998,0.629,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,160,open_tps160,0.580,704,0.00
/node-besu1,0.5408333333333334,0.19083333333333333,1.04,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,160,open_tps160,1.03,864,0.00
/node-besu4,0.11958333333333333,0.042083333333333334,0.631,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,160,open_tps160,0.629,16.0,0.00
/node-besu6,0.06375,0.023333333333333334,0.652,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,160,open_tps160,0.649,572,0.00
/node-besu5,0.1475,0.05333333333333334,0.705,,0.00,0.00,0.375,,8n-5s-ibft-v26.2.0_20260330_232730,open,170,open_tps170,0.683,,0.00
/node-besu3,0.035416666666666666,0.01625,0.738,,0.00,0.00,0.746,,8n-5s-ibft-v26.2.0_20260330_232730,open,170,open_tps170,0.716,,0.00
/node-besu7,0.015416666666666667,0.008749999999999999,0.654,,0.00,0.00,0.426,,8n-5s-ibft-v26.2.0_20260330_232730,open,170,open_tps170,0.652,,0.00
/node-besu2,0.028749999999999998,0.013333333333333334,0.630,,0.00,0.00,0.406,,8n-5s-ibft-v26.2.0_20260330_232730,open,170,open_tps170,0.612,,0.00
/node-besu8,0.020416666666666666,0.011250000000000001,0.654,,0.00,0.00,0.785,,8n-5s-ibft-v26.2.0_20260330_232730,open,170,open_tps170,0.643,,0.00
/node-besu1,0.125,0.04791666666666666,1.17,,0.00,0.00,1.41,,8n-5s-ibft-v26.2.0_20260330_232730,open,170,open_tps170,1.08,,0.00
/node-besu4,0.01625,0.0075,0.639,,0.00,0.00,0.348,,8n-5s-ibft-v26.2.0_20260330_232730,open,170,open_tps170,0.634,,0.00
/node-besu6,0.034166666666666665,0.014166666666666668,0.659,,0.00,0.00,0.777,,8n-5s-ibft-v26.2.0_20260330_232730,open,170,open_tps170,0.655,,0.00
/node-besu5,0.0775,0.03,0.707,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,180,open_tps180,0.706,720,0.00
/node-besu3,0.00375,0.002916666666666667,0.754,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,180,open_tps180,0.744,692,0.00
/node-besu7,0.004583333333333333,0.00375,0.731,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,180,open_tps180,0.680,676,0.00
/node-besu2,0.017916666666666668,0.011250000000000001,0.691,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,180,open_tps180,0.687,188,0.00
/node-besu8,0.018333333333333333,0.008333333333333333,0.650,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,180,open_tps180,0.648,784,0.00
/node-besu1,0.004166666666666667,0.002916666666666667,1.21,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,180,open_tps180,1.19,948,0.00
/node-besu4,0.00375,0.0033333333333333335,0.645,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,180,open_tps180,0.643,52.0,0.00
/node-besu6,0.004166666666666667,0.00375,0.663,,0.00,0.00,,,8n-5s-ibft-v26.2.0_20260330_232730,open,180,open_tps180,0.662,664,0.00
/node-besu5,0.04125,0.015833333333333335,0.721,,0.00,0.00,0.723,,8n-5s-ibft-v26.2.0_20260330_232730,open,190,open_tps190,0.712,,0.00
/node-besu3,0.20958333333333334,0.07541666666666667,0.755,,0.00,0.00,0.688,,8n-5s-ibft-v26.2.0_20260330_232730,open,190,open_tps190,0.754,,0.00
/node-besu7,0.44083333333333335,0.15291666666666667,0.720,,0.00,0.00,0.672,,8n-5s-ibft-v26.2.0_20260330_232730,open,190,open_tps190,0.720,,0.00
/node-besu2,0.28625,0.10125,0.693,,0.00,0.00,0.352,,8n-5s-ibft-v26.2.0_20260330_232730,open,190,open_tps190,0.692,,0.00
/node-besu8,0.24166666666666667,0.08666666666666667,0.651,,0.00,0.00,0.711,,8n-5s-ibft-v26.2.0_20260330_232730,open,190,open_tps190,0.650,,0.00
/node-besu1,0.29916666666666664,0.10708333333333332,1.22,,0.00,0.00,1.01,,8n-5s-ibft-v26.2.0_20260330_232730,open,190,open_tps190,1.22,,0.00
/node-besu4,0.2225,0.07958333333333333,0.647,,0.00,0.00,0.488,,8n-5s-ibft-v26.2.0_20260330_232730,open,190,open_tps190,0.647,,0.00
/node-besu6,0.35041666666666665,0.12208333333333334,0.665,,0.00,0.00,0.715,,8n-5s-ibft-v26.2.0_20260330_232730,open,190,open_tps190,0.665,,0.00
/node-besu5,0.017083333333333332,0.009166666666666667,0.723,,0.00,0.00,0.652,,8n-5s-ibft-v26.2.0_20260330_232730,open,200,open_tps200,0.722,,0.00
/node-besu3,0.22,0.08291666666666667,0.756,,0.00,0.00,0.672,,8n-5s-ibft-v26.2.0_20260330_232730,open,200,open_tps200,0.755,,0.00
/node-besu7,0.21166666666666667,0.08,0.723,,0.00,0.00,0.672,,8n-5s-ibft-v26.2.0_20260330_232730,open,200,open_tps200,0.722,,0.00
/node-besu2,0.22166666666666668,0.08583333333333333,0.695,,0.00,0.00,0.336,,8n-5s-ibft-v26.2.0_20260330_232730,open,200,open_tps200,0.694,,0.00
/node-besu8,0.33375,0.11875000000000001,0.657,,0.00,0.00,0.691,,8n-5s-ibft-v26.2.0_20260330_232730,open,200,open_tps200,0.655,,0.00
/node-besu1,0.345,0.125,1.23,,0.00,0.00,1.16,,8n-5s-ibft-v26.2.0_20260330_232730,open,200,open_tps200,1.22,,0.00
/node-besu4,0.23625,0.08916666666666667,0.652,,0.00,0.00,0.727,,8n-5s-ibft-v26.2.0_20260330_232730,open,200,open_tps200,0.650,,0.00
/node-besu6,0.23291666666666666,0.08625,0.666,,0.00,0.00,0.695,,8n-5s-ibft-v26.2.0_20260330_232730,open,200,open_tps200,0.666,,0.00
/node-besu5,0.017916666666666668,0.007916666666666667,0.724,,0.00,0.00,0.707,,8n-5s-ibft-v26.2.0_20260330_232730,open,210,open_tps210,0.724,,0.00
/node-besu3,0.23124999999999998,0.08291666666666667,0.756,,0.00,0.00,0.645,,8n-5s-ibft-v26.2.0_20260330_232730,open,210,open_tps210,0.756,,0.00
/node-besu7,0.26833333333333337,0.09166666666666667,0.725,,0.00,0.00,0.648,,8n-5s-ibft-v26.2.0_20260330_232730,open,210,open_tps210,0.724,,0.00
/node-besu2,0.24791666666666667,0.085,0.695,,0.00,0.00,0.313,,8n-5s-ibft-v26.2.0_20260330_232730,open,210,open_tps210,0.694,,0.00
/node-besu8,0.2808333333333333,0.09583333333333333,0.658,,0.00,0.00,0.684,,8n-5s-ibft-v26.2.0_20260330_232730,open,210,open_tps210,0.657,,0.00
/node-besu1,0.37375,0.12958333333333333,1.22,,0.00,0.00,1.11,,8n-5s-ibft-v26.2.0_20260330_232730,open,210,open_tps210,1.22,,0.00
/node-besu4,0.19666666666666666,0.0675,0.652,,0.00,0.00,0.0156,,8n-5s-ibft-v26.2.0_20260330_232730,open,210,open_tps210,0.652,,0.00
/node-besu6,0.4891666666666667,0.16541666666666668,0.668,,0.00,0.00,0.699,,8n-5s-ibft-v26.2.0_20260330_232730,open,210,open_tps210,0.667,,0.00
/node-besu5,0.23666666666666666,0.08458333333333333,0.725,,0.00,0.00,0.719,,8n-5s-ibft-v26.2.0_20260330_232730,open,220,open_tps220,0.724,,0.00
/node-besu3,0.0062499999999999995,0.004583333333333333,0.757,,0.00,0.00,0.641,,8n-5s-ibft-v26.2.0_20260330_232730,open,220,open_tps220,0.757,,0.00
/node-besu7,0.008333333333333333,0.005416666666666667,0.725,,0.00,0.00,0.645,,8n-5s-ibft-v26.2.0_20260330_232730,open,220,open_tps220,0.725,,0.00
/node-besu2,0.09499999999999999,0.034166666666666665,0.694,,0.00,0.00,0.672,,8n-5s-ibft-v26.2.0_20260330_232730,open,220,open_tps220,0.694,,0.00
/node-besu8,0.024166666666666666,0.010416666666666666,0.658,,0.00,0.00,0.660,,8n-5s-ibft-v26.2.0_20260330_232730,open,220,open_tps220,0.658,,0.00
/node-besu1,0.4033333333333333,0.13749999999999998,1.23,,0.00,0.00,1.30,,8n-5s-ibft-v26.2.0_20260330_232730,open,220,open_tps220,1.23,,0.00
/node-besu4,0.01916666666666667,0.009166666666666667,0.653,,0.00,0.00,0.0156,,8n-5s-ibft-v26.2.0_20260330_232730,open,220,open_tps220,0.653,,0.00
/node-besu6,0.17125,0.06,0.669,,0.00,0.00,0.668,,8n-5s-ibft-v26.2.0_20260330_232730,open,220,open_tps220,0.669,,0.00
