Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Memory(max) [GB],Memory(avg) [GB]
/node-besu6,0.002916666666666667,0.002916666666666667,,,0.00,0.00,100,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,60,transfer_tps60,0.670,0.669
/node-besu4,0.006666666666666667,0.004583333333333333,,,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,60,transfer_tps60,0.656,0.655
/node-besu1,0.00375,0.00375,,,0.00,0.00,84.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,60,transfer_tps60,1.24,1.23
/node-besu8,0.0033333333333333335,0.0033333333333333335,,,0.00,0.00,108,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,60,transfer_tps60,0.658,0.658
/node-besu2,0.00375,0.0033333333333333335,,,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,60,transfer_tps60,0.695,0.695
/node-besu7,0.00375,0.0033333333333333335,,,0.00,0.00,100,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,60,transfer_tps60,0.726,0.725
/node-besu3,0.0033333333333333335,0.0033333333333333335,,,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,60,transfer_tps60,0.758,0.758
/node-besu5,0.01375,0.008333333333333333,,,0.00,0.00,68.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,60,transfer_tps60,0.726,0.725
/node-besu6,0.010416666666666666,0.006666666666666667,,686,0.00,0.00,156,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,70,transfer_tps70,0.670,
/node-besu4,0.01375,0.008333333333333333,,672,0.00,0.00,140,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,70,transfer_tps70,0.657,
/node-besu1,0.027083333333333334,0.015,,931,0.00,0.00,208,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,70,transfer_tps70,1.24,
/node-besu8,0.013333333333333334,0.007916666666666667,,674,0.00,0.00,140,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,70,transfer_tps70,0.659,
/node-besu2,0.009583333333333334,0.0062499999999999995,,713,0.00,0.00,96.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,70,transfer_tps70,0.696,
/node-besu7,0.01375,0.007916666666666667,,744,0.00,0.00,152,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,70,transfer_tps70,0.726,
/node-besu3,0.024999999999999998,0.01375,,777,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,70,transfer_tps70,0.758,
/node-besu5,0.021666666666666667,0.012499999999999999,,743,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,70,transfer_tps70,0.726,
/node-besu6,0.01916666666666667,0.011250000000000001,687,686,0.00,0.00,156,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,80,transfer_tps80,,
/node-besu4,0.01625,0.009583333333333334,673,673,0.00,0.00,164,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,80,transfer_tps80,,
/node-besu1,0.01875,0.010833333333333334,628,624,0.00,0.00,236,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,80,transfer_tps80,,
/node-besu8,0.015416666666666667,0.009166666666666667,676,675,0.00,0.00,140,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,80,transfer_tps80,,
/node-besu2,0.017499999999999998,0.010416666666666666,713,713,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,80,transfer_tps80,,
/node-besu7,0.015833333333333335,0.009583333333333334,744,744,0.00,0.00,184,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,80,transfer_tps80,,
/node-besu3,0.017083333333333332,0.01,777,777,0.00,0.00,164,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,80,transfer_tps80,,
/node-besu5,0.009166666666666667,0.0062499999999999995,744,744,0.00,0.00,172,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,80,transfer_tps80,,
/node-besu6,0.014166666666666668,0.008749999999999999,688,687,0.00,0.00,240,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,90,transfer_tps90,,
/node-besu4,0.01375,0.008749999999999999,674,674,0.00,0.00,16.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,90,transfer_tps90,,
/node-besu1,0.018333333333333333,0.012083333333333333,614,614,0.00,0.00,304,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,90,transfer_tps90,,
/node-besu8,0.014583333333333332,0.009166666666666667,676,676,0.00,0.00,212,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,90,transfer_tps90,,
/node-besu2,0.015,0.009583333333333334,713,713,0.00,0.00,176,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,90,transfer_tps90,,
/node-besu7,0.015833333333333335,0.009583333333333334,744,744,0.00,0.00,184,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,90,transfer_tps90,,
/node-besu3,0.025833333333333333,0.014583333333333332,778,778,0.00,0.00,228,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,90,transfer_tps90,,
/node-besu5,0.008749999999999999,0.005833333333333334,745,745,0.00,0.00,368,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,90,transfer_tps90,,
/node-besu6,0.005,0.004166666666666667,687,687,0.00,0.00,188,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,100,transfer_tps100,,
/node-besu4,0.002916666666666667,0.0025,675,674,0.00,0.00,16.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,100,transfer_tps100,,
/node-besu1,0.005833333333333334,0.004583333333333333,604,601,0.00,0.00,312,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,100,transfer_tps100,,
/node-besu8,0.002916666666666667,0.0025,676,676,0.00,0.00,196,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,100,transfer_tps100,,
/node-besu2,0.002916666666666667,0.002916666666666667,714,714,0.00,0.00,188,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,100,transfer_tps100,,
/node-besu7,0.002916666666666667,0.002916666666666667,745,745,0.00,0.00,228,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,100,transfer_tps100,,
/node-besu3,0.002916666666666667,0.002916666666666667,779,778,0.00,0.00,180,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,100,transfer_tps100,,
/node-besu5,0.016666666666666666,0.009583333333333334,745,745,0.00,0.00,16.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,100,transfer_tps100,,
/node-besu6,0.005,0.004166666666666667,688,688,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,110,transfer_tps110,,
/node-besu4,0.002916666666666667,0.002916666666666667,675,675,0.00,0.00,92.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,110,transfer_tps110,,
/node-besu1,0.01,0.008333333333333333,598,598,0.00,0.00,332,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,110,transfer_tps110,,
/node-besu8,0.005833333333333334,0.004166666666666667,676,676,0.00,0.00,92.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,110,transfer_tps110,,
/node-besu2,0.002916666666666667,0.002916666666666667,714,714,0.00,0.00,228,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,110,transfer_tps110,,
/node-besu7,0.004583333333333333,0.004166666666666667,745,745,0.00,0.00,192,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,110,transfer_tps110,,
/node-besu3,0.002916666666666667,0.002916666666666667,779,778,0.00,0.00,224,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,110,transfer_tps110,,
/node-besu5,0.014166666666666668,0.009583333333333334,745,745,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,110,transfer_tps110,,
/node-besu6,0.004166666666666667,0.00375,688,688,0.00,0.00,100,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,120,transfer_tps120,,
/node-besu4,0.002916666666666667,0.0025,675,675,0.00,0.00,144,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,120,transfer_tps120,,
/node-besu1,0.008333333333333333,0.006666666666666667,598,596,0.00,0.00,300,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,120,transfer_tps120,,
/node-besu8,0.002916666666666667,0.002916666666666667,676,676,0.00,0.00,120,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,120,transfer_tps120,,
/node-besu2,0.002916666666666667,0.002916666666666667,715,715,0.00,0.00,184,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,120,transfer_tps120,,
/node-besu7,0.00375,0.0033333333333333335,746,745,0.00,0.00,220,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,120,transfer_tps120,,
/node-besu3,0.002916666666666667,0.002916666666666667,779,779,0.00,0.00,184,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,120,transfer_tps120,,
/node-besu5,0.015,0.009166666666666667,746,745,0.00,0.00,148,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,120,transfer_tps120,,
/node-besu6,0.024999999999999998,0.014166666666666668,689,689,0.00,0.00,180,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,130,transfer_tps130,,
/node-besu4,0.017916666666666668,0.010833333333333334,675,675,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,130,transfer_tps130,,
/node-besu1,0.020416666666666666,0.012083333333333333,595,595,0.00,0.00,156,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,130,transfer_tps130,,
/node-besu8,0.015833333333333335,0.009166666666666667,676,676,0.00,0.00,0.00,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,130,transfer_tps130,,
/node-besu2,0.015,0.009166666666666667,715,715,0.00,0.00,72.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,130,transfer_tps130,,
/node-besu7,0.024583333333333332,0.014166666666666668,746,746,0.00,0.00,72.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,130,transfer_tps130,,
/node-besu3,0.02125,0.012499999999999999,780,779,0.00,0.00,100,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,130,transfer_tps130,,
/node-besu5,0.012916666666666667,0.007916666666666667,746,746,0.00,0.00,68.0,0.00,8n-5s-ibft-v26.2.0_20260330_232730,transfer,130,transfer_tps130,,
