Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Experiment,TestType,TPS,Report,Disc Write [B]
/node-besu3,0.005,0.00375,0.699,0.699,0.00,0.00,164,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,60,transfer_tps60,
/node-besu1,0.030833333333333334,0.017083333333333332,1.20,1.20,0.00,0.00,180,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,60,transfer_tps60,
/node-besu4,0.0062499999999999995,0.005416666666666667,0.507,0.504,0.00,0.00,260,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,60,transfer_tps60,
/node-besu7,0.0033333333333333335,0.002916666666666667,0.723,0.722,0.00,0.00,160,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,60,transfer_tps60,
/node-besu6,0.015833333333333335,0.009583333333333334,0.772,0.772,0.00,0.00,128,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,60,transfer_tps60,
/node-besu5,0.01375,0.008333333333333333,0.475,0.475,0.00,0.00,288,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,60,transfer_tps60,
/node-besu2,0.0033333333333333335,0.002916666666666667,0.651,0.650,0.00,0.00,152,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,60,transfer_tps60,
/node-besu8,0.18125,0.09208333333333334,0.630,0.629,0.00,0.00,228,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,60,transfer_tps60,
/node-besu3,0.01,0.0062499999999999995,0.701,0.700,0.00,0.00,128,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,70,transfer_tps70,
/node-besu1,0.005,0.00375,1.20,1.20,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,70,transfer_tps70,
/node-besu4,0.007916666666666667,0.005833333333333334,0.506,0.506,0.00,0.00,148,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,70,transfer_tps70,
/node-besu7,0.005416666666666667,0.004583333333333333,0.724,0.724,0.00,0.00,108,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,70,transfer_tps70,
/node-besu6,0.005416666666666667,0.004583333333333333,0.773,0.772,0.00,0.00,160,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,70,transfer_tps70,
/node-besu5,0.02291666666666667,0.013333333333333334,0.476,0.475,0.00,0.00,64.0,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,70,transfer_tps70,
/node-besu2,0.010416666666666666,0.006666666666666667,0.651,0.651,0.00,0.00,96.0,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,70,transfer_tps70,
/node-besu8,0.028333333333333335,0.015416666666666667,0.631,0.630,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,70,transfer_tps70,
/node-besu3,0.004166666666666667,0.00375,0.702,0.701,0.00,0.00,172,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,80,transfer_tps80,
/node-besu1,0.00375,0.00375,1.20,1.20,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,80,transfer_tps80,
/node-besu4,0.006666666666666667,0.005416666666666667,0.506,0.506,0.00,0.00,172,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,80,transfer_tps80,
/node-besu7,0.00375,0.00375,0.725,0.724,0.00,0.00,148,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,80,transfer_tps80,
/node-besu6,0.004166666666666667,0.00375,0.773,0.773,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,80,transfer_tps80,
/node-besu5,0.014583333333333332,0.009583333333333334,0.475,0.475,0.00,0.00,16.0,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,80,transfer_tps80,
/node-besu2,0.013333333333333334,0.009166666666666667,0.652,0.651,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,80,transfer_tps80,
/node-besu8,0.01375,0.008333333333333333,0.631,0.631,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,80,transfer_tps80,
/node-besu3,0.004166666666666667,0.0033333333333333335,0.702,0.702,0.00,0.00,144,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,90,transfer_tps90,
/node-besu1,0.00375,0.0033333333333333335,1.20,1.20,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,90,transfer_tps90,
/node-besu4,0.007916666666666667,0.007083333333333334,0.507,0.507,0.00,0.00,188,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,90,transfer_tps90,
/node-besu7,0.0025,0.0025,0.725,0.725,0.00,0.00,176,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,90,transfer_tps90,
/node-besu6,0.002916666666666667,0.002916666666666667,0.774,0.774,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,90,transfer_tps90,
/node-besu5,0.004583333333333333,0.004166666666666667,0.475,0.475,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,90,transfer_tps90,
/node-besu2,0.00375,0.0033333333333333335,0.651,0.651,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,90,transfer_tps90,
/node-besu8,0.02125,0.012083333333333333,0.632,0.631,0.00,0.00,88.0,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,90,transfer_tps90,
/node-besu3,0.02666666666666667,0.015416666666666667,0.703,0.703,0.00,0.00,220,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,100,transfer_tps100,
/node-besu1,0.004166666666666667,0.0033333333333333335,1.20,1.20,0.00,0.00,248,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,100,transfer_tps100,
/node-besu4,0.06958333333333333,0.0375,0.507,0.507,0.00,0.00,232,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,100,transfer_tps100,
/node-besu7,0.002916666666666667,0.002916666666666667,0.726,0.725,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,100,transfer_tps100,
/node-besu6,0.002916666666666667,0.002916666666666667,0.774,0.774,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,100,transfer_tps100,
/node-besu5,0.005,0.005,0.476,0.476,0.00,0.00,236,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,100,transfer_tps100,
/node-besu2,0.004583333333333333,0.004166666666666667,0.652,0.652,0.00,0.00,156,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,100,transfer_tps100,
/node-besu8,0.021666666666666667,0.012499999999999999,0.632,0.632,0.00,0.00,156,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,100,transfer_tps100,
/node-besu3,0.00375,0.0033333333333333335,0.703,0.703,0.00,0.00,180,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,110,transfer_tps110,
/node-besu1,0.002916666666666667,0.002916666666666667,1.20,1.20,0.00,0.00,16.0,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,110,transfer_tps110,
/node-besu4,0.0062499999999999995,0.005,0.507,0.507,0.00,0.00,252,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,110,transfer_tps110,
/node-besu7,0.00375,0.002916666666666667,0.726,0.726,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,110,transfer_tps110,
/node-besu6,0.0033333333333333335,0.0033333333333333335,0.774,0.774,0.00,0.00,332,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,110,transfer_tps110,
/node-besu5,0.07916666666666666,0.042083333333333334,0.477,0.476,0.00,0.00,228,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,110,transfer_tps110,
/node-besu2,0.002916666666666667,0.002916666666666667,0.652,0.652,0.00,0.00,156,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,110,transfer_tps110,
/node-besu8,0.017499999999999998,0.01,0.632,0.632,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,110,transfer_tps110,
/node-besu3,0.002916666666666667,0.002916666666666667,0.704,0.704,0.00,0.00,,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,120,transfer_tps120,0.00
/node-besu1,0.002916666666666667,0.002916666666666667,1.20,1.20,0.00,0.00,,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,120,transfer_tps120,0.00
/node-besu4,0.0033333333333333335,0.0033333333333333335,0.507,0.507,0.00,0.00,,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,120,transfer_tps120,0.00
/node-besu7,0.0033333333333333335,0.0033333333333333335,0.726,0.726,0.00,0.00,,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,120,transfer_tps120,0.00
/node-besu6,0.002916666666666667,0.002916666666666667,0.774,0.774,0.00,0.00,,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,120,transfer_tps120,0.00
/node-besu5,0.0033333333333333335,0.0033333333333333335,0.476,0.476,0.00,0.00,,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,120,transfer_tps120,0.00
/node-besu2,0.002916666666666667,0.002916666666666667,0.652,0.652,0.00,0.00,,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,120,transfer_tps120,0.00
/node-besu8,0.004166666666666667,0.004166666666666667,0.633,0.633,0.00,0.00,,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,120,transfer_tps120,0.00
/node-besu3,0.018333333333333333,0.011250000000000001,0.526,0.523,0.00,0.00,184,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,130,transfer_tps130,
/node-besu1,0.01375,0.008333333333333333,1.20,1.20,0.00,0.00,16.0,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,130,transfer_tps130,
/node-besu4,0.015416666666666667,0.010416666666666666,0.507,0.507,0.00,0.00,72.0,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,130,transfer_tps130,
/node-besu7,0.01375,0.009166666666666667,0.727,0.727,0.00,0.00,92.0,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,130,transfer_tps130,
/node-besu6,0.01375,0.008749999999999999,0.775,0.775,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,130,transfer_tps130,
/node-besu5,0.01958333333333333,0.012499999999999999,0.477,0.477,0.00,0.00,80.0,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,130,transfer_tps130,
/node-besu2,0.01375,0.009166666666666667,0.653,0.653,0.00,0.00,0.00,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,130,transfer_tps130,
/node-besu8,0.002916666666666667,0.002916666666666667,0.633,0.633,0.00,0.00,160,0.00,8n-5s-qbft-v26.2.0_20260330_221757,transfer,130,transfer_tps130,
