Experiment,Function,TPS,Throughput_TPS,Avg_Latency_s,CPU_avg_%,CPU_max_%,Mem_avg_GB,Mem_max_GB
4n-10s-ibft-v24.7.0_20260124_042244,open,160,63.7,11.4,0.11341145833333328,0.3604166666666666,0.70325,1.04
4n-10s-ibft-v24.7.0_20260124_042244,open,180,69.6,6.01,0.11341145833333328,0.3604166666666666,0.70325,1.04
4n-10s-ibft-v24.7.0_20260124_042244,open,200,73.9,9.88,0.11341145833333328,0.3604166666666666,0.70325,1.04
4n-10s-ibft-v24.7.0_20260124_042244,open,220,94.0,7.12,0.11341145833333328,0.3604166666666666,0.70325,1.04
4n-10s-ibft-v24.7.0_20260124_042244,query,500,501.0,0.0,0.004843749999999975,0.0120833333333333,0.7225,1.1
4n-10s-ibft-v24.7.0_20260124_042244,query,600,535.3,0.0,0.004843749999999975,0.0120833333333333,0.7225,1.1
4n-10s-ibft-v24.7.0_20260124_042244,query,700,546.7,0.0,0.004843749999999975,0.0120833333333333,0.7225,1.1
4n-10s-ibft-v24.7.0_20260124_042244,query,800,587.9,0.0,0.004843749999999975,0.0120833333333333,0.7225,1.1
4n-10s-ibft-v24.7.0_20260124_042244,transfer,100,25.3,1.72,0.004479166666666638,0.0195833333333333,0.70775,1.02
4n-10s-ibft-v24.7.0_20260124_042244,transfer,110,4.8,4.36,0.004479166666666638,0.0195833333333333,0.70775,1.02
4n-10s-ibft-v24.7.0_20260124_042244,transfer,120,64.9,0.56,0.004479166666666638,0.0195833333333333,0.70775,1.02
4n-10s-ibft-v24.7.0_20260124_042244,transfer,130,79.1,0.44,0.004479166666666638,0.0195833333333333,0.70775,1.02
4n-10s-ibft-v25.12.0_20260124_035539,open,160,57.0,12.61,0.09377604166666663,0.32625,0.70975,1.19
4n-10s-ibft-v25.12.0_20260124_035539,open,180,67.1,6.93,0.09377604166666663,0.32625,0.70975,1.19
4n-10s-ibft-v25.12.0_20260124_035539,open,200,75.0,8.88,0.09377604166666663,0.32625,0.70975,1.19
4n-10s-ibft-v25.12.0_20260124_035539,open,220,101.9,5.85,0.09377604166666663,0.32625,0.70975,1.19
4n-10s-ibft-v25.12.0_20260124_035539,query,500,500.8,0.0,0.0053645833333333,0.0133333333333333,0.568359375,0.8876953125
4n-10s-ibft-v25.12.0_20260124_035539,query,600,572.1,0.0,0.0053645833333333,0.0133333333333333,0.568359375,0.8876953125
4n-10s-ibft-v25.12.0_20260124_035539,query,700,567.9,0.0,0.0053645833333333,0.0133333333333333,0.568359375,0.8876953125
4n-10s-ibft-v25.12.0_20260124_035539,query,800,559.6,0.0,0.0053645833333333,0.0133333333333333,0.568359375,0.8876953125
4n-10s-ibft-v25.12.0_20260124_035539,transfer,100,4.8,4.33,0.012447916666666631,0.0495833333333333,0.50836181640625,0.5908203125
4n-10s-ibft-v25.12.0_20260124_035539,transfer,110,4.8,9.27,0.012447916666666631,0.0495833333333333,0.50836181640625,0.5908203125
4n-10s-ibft-v25.12.0_20260124_035539,transfer,120,78.2,0.43,0.012447916666666631,0.0495833333333333,0.50836181640625,0.5908203125
4n-10s-ibft-v25.12.0_20260124_035539,transfer,130,5.7,8.61,0.012447916666666631,0.0495833333333333,0.50836181640625,0.5908203125
4n-10s-qbft-v24.7.0_20260124_043110,open,160,65.3,10.94,0.15669270833333332,0.3525,0.6583333333333333,1.18
4n-10s-qbft-v24.7.0_20260124_043110,open,180,66.6,6.02,0.15669270833333332,0.3525,0.6583333333333333,1.18
4n-10s-qbft-v24.7.0_20260124_043110,open,200,72.4,10.16,0.15669270833333332,0.3525,0.6583333333333333,1.18
4n-10s-qbft-v24.7.0_20260124_043110,open,220,100.2,6.61,0.15669270833333332,0.3525,0.6583333333333333,1.18
4n-10s-qbft-v24.7.0_20260124_043110,query,500,500.5,0.0,0.005781249999999969,0.01125,0.757625,1.46
4n-10s-qbft-v24.7.0_20260124_043110,query,600,573.4,0.0,0.005781249999999969,0.01125,0.757625,1.46
4n-10s-qbft-v24.7.0_20260124_043110,query,700,551.3,0.0,0.005781249999999969,0.01125,0.757625,1.46
4n-10s-qbft-v24.7.0_20260124_043110,query,800,582.8,0.0,0.005781249999999969,0.01125,0.757625,1.46
