Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS,Disc Write [MB]
/node-besu4,0.06125,0.014166666666666668,0.669,0.668,0.00,0.00,360,0.00,open_report_60_20251108-184451,60,
/node-besu2,0.09583333333333333,0.01875,0.629,0.628,0.00,0.00,464,0.00,open_report_60_20251108-184451,60,
/node-besu1,0.034999999999999996,0.014583333333333332,1.50,1.49,0.00,0.00,768,0.00,open_report_60_20251108-184451,60,
/node-besu3,0.030833333333333334,0.0075,0.665,0.664,0.00,0.00,268,0.00,open_report_60_20251108-184451,60,
/node-besu3,0.018333333333333333,0.008333333333333333,0.660,0.660,0.00,0.00,,0.00,open_report_60_20251108-181721,60,0.254
/node-besu1,0.215,0.055,1.49,1.48,0.00,0.00,,0.00,open_report_60_20251108-181721,60,1.41
/node-besu2,0.13375,0.0275,0.620,0.620,0.00,0.00,,0.00,open_report_60_20251108-181721,60,0.324
/node-besu4,0.2275,0.03208333333333333,0.662,0.662,0.00,0.00,,0.00,open_report_60_20251108-181721,60,0.348
/node-besu4,0.015833333333333335,0.006666666666666667,0.659,0.659,0.00,0.00,324,0.00,open_report_60_20251108-180313,60,
/node-besu2,0.022083333333333333,0.0075,0.616,0.615,0.00,0.00,460,0.00,open_report_60_20251108-180313,60,
/node-besu1,0.2625,0.046250000000000006,1.48,1.48,0.00,0.00,640,0.00,open_report_60_20251108-180313,60,
/node-besu3,0.08374999999999999,0.018333333333333333,0.601,0.601,0.00,0.00,376,0.00,open_report_60_20251108-180313,60,
/node-besu3,0.011666666666666667,0.005416666666666667,0.662,0.662,0.00,0.00,,0.00,open_report_60_20251108-183131,60,1.03
/node-besu1,0.03208333333333333,0.014583333333333332,1.49,1.49,0.00,0.00,,0.00,open_report_60_20251108-183131,60,1.61
/node-besu2,0.016666666666666666,0.009166666666666667,0.625,0.624,0.00,0.00,,0.00,open_report_60_20251108-183131,60,0.344
/node-besu4,0.01375,0.008333333333333333,0.664,0.664,0.00,0.00,,0.00,open_report_60_20251108-183131,60,0.988
/node-besu3,0.011666666666666667,0.005,0.665,0.665,0.00,0.00,,0.00,open_report_80_20251108-184545,80,0.938
/node-besu1,0.14791666666666667,0.03166666666666667,1.50,1.50,0.00,0.00,,0.00,open_report_80_20251108-184545,80,1.32
/node-besu2,0.023333333333333334,0.0062499999999999995,0.630,0.629,0.00,0.00,,0.00,open_report_80_20251108-184545,80,1.46
/node-besu4,0.10875,0.015833333333333335,0.669,0.668,0.00,0.00,,0.00,open_report_80_20251108-184545,80,0.691
/node-besu3,0.015,0.006666666666666667,0.602,0.601,0.00,0.00,572,0.00,open_report_80_20251108-180405,80,
/node-besu1,0.19791666666666666,0.049166666666666664,1.48,1.48,0.00,0.00,980,0.00,open_report_80_20251108-180405,80,
/node-besu2,0.05625,0.014166666666666668,0.616,0.616,0.00,0.00,796,0.00,open_report_80_20251108-180405,80,
/node-besu4,0.1125,0.024999999999999998,0.660,0.660,0.00,0.00,760,0.00,open_report_80_20251108-180405,80,
/node-besu4,0.012916666666666667,0.004583333333333333,0.662,0.662,0.00,0.00,,0.00,open_report_80_20251108-181815,80,1.34
/node-besu2,0.10125,0.014583333333333332,0.621,0.620,0.00,0.00,,0.00,open_report_80_20251108-181815,80,0.684
/node-besu1,0.18083333333333332,0.03125,1.49,1.49,0.00,0.00,,0.00,open_report_80_20251108-181815,80,1.75
/node-besu3,0.11333333333333334,0.015833333333333335,0.661,0.661,0.00,0.00,,0.00,open_report_80_20251108-181815,80,0.664
/node-besu3,0.016666666666666666,0.006666666666666667,0.662,0.662,0.00,0.00,,0.00,open_report_80_20251108-183225,80,0.805
/node-besu1,0.13083333333333333,0.02625,1.50,1.50,0.00,0.00,,0.00,open_report_80_20251108-183225,80,1.71
/node-besu2,0.012499999999999999,0.004583333333333333,0.625,0.625,0.00,0.00,,0.00,open_report_80_20251108-183225,80,0.715
/node-besu4,0.011666666666666667,0.004583333333333333,0.665,0.665,0.00,0.00,,0.00,open_report_80_20251108-183225,80,0.805
/node-besu4,0.08958333333333333,0.01625,0.660,0.660,0.00,0.00,,0.00,open_report_100_20251108-180455,100,0.773
/node-besu2,0.024999999999999998,0.007916666666666667,0.617,0.616,0.00,0.00,,0.00,open_report_100_20251108-180455,100,0.574
/node-besu1,0.22999999999999998,0.035833333333333335,1.49,1.48,0.00,0.00,,0.00,open_report_100_20251108-180455,100,1.51
