Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS,Disc Write [MB],Disc Write [B]
/node-besu4,0.0075,0.004166666666666667,0.671,0.671,0.00,0.00,108,0.00,query_report_100_20251108-185045,100,,
/node-besu2,0.0033333333333333335,0.002916666666666667,0.632,0.632,0.00,0.00,144,0.00,query_report_100_20251108-185045,100,,
/node-besu1,0.015416666666666667,0.008333333333333333,1.51,1.51,0.00,0.00,0.00,0.00,query_report_100_20251108-185045,100,,
/node-besu3,0.002916666666666667,0.0025,0.668,0.668,0.00,0.00,0.00,0.00,query_report_100_20251108-185045,100,,
/node-besu4,0.010416666666666666,0.005416666666666667,0.667,0.667,0.00,0.00,,0.00,query_report_100_20251108-183725,100,0.0703,
/node-besu2,0.009583333333333334,0.0075,0.628,0.628,0.00,0.00,,0.00,query_report_100_20251108-183725,100,0.102,
/node-besu1,0.017916666666666668,0.008333333333333333,1.49,1.49,0.00,0.00,,0.00,query_report_100_20251108-183725,100,1.19,
/node-besu3,0.007916666666666667,0.004166666666666667,0.664,0.664,0.00,0.00,,0.00,query_report_100_20251108-183725,100,0.102,
/node-besu3,0.0075,0.005833333333333334,0.654,0.654,0.00,0.00,0.00,0.00,query_report_100_20251108-180905,100,,
/node-besu1,0.017916666666666668,0.009583333333333334,1.48,1.48,0.00,0.00,0.00,0.00,query_report_100_20251108-180905,100,,
/node-besu2,0.004166666666666667,0.0033333333333333335,0.619,0.618,0.00,0.00,176,0.00,query_report_100_20251108-180905,100,,
/node-besu4,0.0033333333333333335,0.002916666666666667,0.662,0.662,0.00,0.00,0.00,0.00,query_report_100_20251108-180905,100,,
/node-besu3,0.002916666666666667,0.0025,0.661,0.661,0.00,0.00,60.0,0.00,query_report_100_20251108-182315,100,,
/node-besu1,0.017499999999999998,0.0075,1.49,1.49,0.00,0.00,220,0.00,query_report_100_20251108-182315,100,,
/node-besu2,0.0025,0.0025,0.623,0.623,0.00,0.00,0.00,0.00,query_report_100_20251108-182315,100,,
