Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS
/node-besu3,0.007916666666666667,0.004583333333333333,0.660,0.658,0.00,0.00,116,0.00,transfer_report_50_20251108-181120,50
/node-besu1,0.01375,0.005416666666666667,1.48,1.48,0.00,0.00,144,0.00,transfer_report_50_20251108-181120,50
/node-besu2,0.0033333333333333335,0.0025,0.619,0.619,0.00,0.00,220,0.00,transfer_report_50_20251108-181120,50
/node-besu4,0.005416666666666667,0.002916666666666667,0.662,0.662,0.00,0.00,380,0.00,transfer_report_50_20251108-181120,50
/node-besu3,0.0025,0.0025,0.664,0.664,0.00,0.00,96.0,0.00,transfer_report_50_20251108-183925,50
/node-besu1,0.004583333333333333,0.0033333333333333335,1.49,1.49,0.00,0.00,308,0.00,transfer_report_50_20251108-183925,50
/node-besu2,0.002916666666666667,0.0025,0.628,0.628,0.00,0.00,224,0.00,transfer_report_50_20251108-183925,50
/node-besu4,0.0025,0.0025,0.668,0.667,0.00,0.00,264,0.00,transfer_report_50_20251108-183925,50
/node-besu3,0.046250000000000006,0.012083333333333333,0.662,0.662,0.00,0.00,464,0.00,transfer_report_50_20251108-182532,50
/node-besu1,0.01875,0.005,1.49,1.49,0.00,0.00,356,0.00,transfer_report_50_20251108-182532,50
/node-besu2,0.007916666666666667,0.004583333333333333,0.624,0.623,0.00,0.00,356,0.00,transfer_report_50_20251108-182532,50
/node-besu4,0.008749999999999999,0.005416666666666667,0.664,0.664,0.00,0.00,352,0.00,transfer_report_50_20251108-182532,50
/node-besu4,0.007083333333333334,0.002916666666666667,0.674,0.674,0.00,0.00,508,0.00,transfer_report_50_20251108-190623,50
/node-besu2,0.008333333333333333,0.0033333333333333335,0.633,0.633,0.00,0.00,212,0.00,transfer_report_50_20251108-190623,50
/node-besu1,0.01,0.005416666666666667,1.50,1.50,0.00,0.00,424,0.00,transfer_report_50_20251108-190623,50
/node-besu3,0.005416666666666667,0.002916666666666667,0.669,0.669,0.00,0.00,340,0.00,transfer_report_50_20251108-190623,50
/node-besu3,0.007916666666666667,0.002916666666666667,0.662,0.662,0.00,0.00,428,0.00,transfer_report_60_20251108-182631,60
/node-besu1,0.03,0.007083333333333334,1.49,1.49,0.00,0.00,420,0.00,transfer_report_60_20251108-182631,60
/node-besu2,0.034999999999999996,0.007916666666666667,0.624,0.624,0.00,0.00,496,0.00,transfer_report_60_20251108-182631,60
/node-besu4,0.034166666666666665,0.0075,0.664,0.664,0.00,0.00,412,0.00,transfer_report_60_20251108-182631,60
/node-besu3,0.002916666666666667,0.0025,0.664,0.664,0.00,0.00,260,0.00,transfer_report_60_20251108-183951,60
/node-besu1,0.050833333333333335,0.009166666666666667,1.49,1.49,0.00,0.00,200,0.00,transfer_report_60_20251108-183951,60
/node-besu2,0.03208333333333333,0.010833333333333334,0.628,0.628,0.00,0.00,408,0.00,transfer_report_60_20251108-183951,60
/node-besu4,0.03166666666666667,0.010416666666666666,0.668,0.667,0.00,0.00,432,0.00,transfer_report_60_20251108-183951,60
/node-besu3,0.0033333333333333335,0.0025,0.660,0.660,0.00,0.00,208,0.00,transfer_report_60_20251108-181221,60
/node-besu1,0.05375,0.012499999999999999,1.48,1.48,0.00,0.00,308,0.00,transfer_report_60_20251108-181221,60
/node-besu2,0.08,0.017499999999999998,0.619,0.619,0.00,0.00,348,0.00,transfer_report_60_20251108-181221,60
/node-besu4,0.105,0.020416666666666666,0.662,0.662,0.00,0.00,292,0.00,transfer_report_60_20251108-181221,60
/node-besu4,0.03833333333333334,0.012083333333333333,0.675,0.674,0.00,0.00,412,0.00,transfer_report_60_20251108-190721,60
/node-besu2,0.10833333333333334,0.021666666666666667,0.633,0.633,0.00,0.00,216,0.00,transfer_report_60_20251108-190721,60
/node-besu1,0.01916666666666667,0.0062499999999999995,1.50,1.50,0.00,0.00,408,0.00,transfer_report_60_20251108-190721,60
/node-besu3,0.004166666666666667,0.002916666666666667,0.669,0.669,0.00,0.00,112,0.00,transfer_report_60_20251108-190721,60
/node-besu4,0.034999999999999996,0.009166666666666667,0.675,0.674,0.00,0.00,444,0.00,transfer_report_70_20251108-190811,70
/node-besu2,0.03833333333333334,0.008333333333333333,0.633,0.633,0.00,0.00,516,0.00,transfer_report_70_20251108-190811,70
