Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
query,1000,0,100.2,0.01,0.00,0.00,100.1,query_report_100_20251108-161830,100
query,1000,0,100.2,0.09,0.00,0.00,100.1,query_report_100_20251108-155800,100
query,1000,0,100.2,0.01,0.00,0.00,100.1,query_report_100_20251108-160800,100
query,1000,0,100.2,0.01,0.00,0.00,100.1,query_report_100_20251108-162900,100
query,1000,0,200.4,0.01,0.00,0.00,200.3,query_report_200_20251108-161853,200
query,1000,0,200.4,0.01,0.00,0.00,200.3,query_report_200_20251108-160824,200
query,1000,0,200.4,0.01,0.00,0.00,200.3,query_report_200_20251108-155823,200
query,1000,0,200.4,0.01,0.00,0.00,200.3,query_report_200_20251108-162923,200
query,1000,0,300.7,0.01,0.00,0.00,300.6,query_report_300_20251108-161911,300
query,1000,0,300.8,0.01,0.00,0.00,300.7,query_report_300_20251108-162942,300
query,1000,0,300.7,0.01,0.00,0.00,300.5,query_report_300_20251108-155842,300
query,1000,0,300.7,0.01,0.00,0.00,300.6,query_report_300_20251108-160842,300
query,1000,0,401.3,0.01,0.00,0.00,401.0,query_report_400_20251108-160859,400
query,1000,0,401.1,0.01,0.00,0.00,401.0,query_report_400_20251108-155913,400
query,1000,0,401.3,0.01,0.00,0.00,401.1,query_report_400_20251108-162959,400
query,1000,0,401.3,0.01,0.00,0.00,401.0,query_report_400_20251108-161928,400
query,1000,0,501.5,0.01,0.00,0.00,501.0,query_report_500_20251108-163015,500
query,1000,0,501.5,0.01,0.00,0.00,501.0,query_report_500_20251108-155928,500
query,1000,0,501.5,0.01,0.00,0.00,501.0,query_report_500_20251108-161944,500
query,1000,0,501.8,0.01,0.00,0.00,501.5,query_report_500_20251108-160931,500
query,1000,0,600.6,0.01,0.00,0.00,600.2,query_report_600_20251108-155944,600
query,1000,0,598.8,0.01,0.00,0.00,598.4,query_report_600_20251108-160947,600
query,1000,0,596.7,0.01,0.00,0.00,595.9,query_report_600_20251108-163030,600
query,1000,0,600.6,0.01,0.00,0.00,600.2,query_report_600_20251108-161959,600
query,1000,0,592.8,0.01,0.00,0.00,592.4,query_report_700_20251108-163100,700
query,1000,0,592.1,0.01,0.00,0.00,591.7,query_report_700_20251108-162030,700
query,1000,0,598.8,0.01,0.00,0.00,598.1,query_report_700_20251108-161002,700
query,1000,0,610.5,0.01,0.00,0.00,610.1,query_report_700_20251108-155959,700
