Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS,Disc Write [MB]
/node-besu3,0.04083333333333333,0.017916666666666668,0.557,0.556,0.00,0.00,288,0.00,transfer_report_50_20251108-161017,50,
/node-besu1,0.008749999999999999,0.004166666666666667,1.47,1.47,0.00,0.00,36.0,0.00,transfer_report_50_20251108-161017,50,
/node-besu6,0.007916666666666667,0.004166666666666667,0.618,0.618,0.00,0.00,232,0.00,transfer_report_50_20251108-161017,50,
/node-besu5,0.01625,0.006666666666666667,0.606,0.606,0.00,0.00,232,0.00,transfer_report_50_20251108-161017,50,
/node-besu4,0.005416666666666667,0.0033333333333333335,0.667,0.667,0.00,0.00,116,0.00,transfer_report_50_20251108-161017,50,
/node-besu2,0.008749999999999999,0.005416666666666667,0.599,0.598,0.00,0.00,148,0.00,transfer_report_50_20251108-161017,50,
/node-besu3,0.0033333333333333335,0.0025,0.591,0.590,0.00,0.00,408,0.00,transfer_report_50_20251108-163115,50,
/node-besu1,0.008749999999999999,0.004166666666666667,1.48,1.48,0.00,0.00,280,0.00,transfer_report_50_20251108-163115,50,
/node-besu3,0.0033333333333333335,0.002916666666666667,0.558,0.558,0.00,0.00,144,0.00,transfer_report_50_20251108-162045,50,
/node-besu1,0.012083333333333333,0.00375,1.47,1.47,0.00,0.00,180,0.00,transfer_report_50_20251108-162045,50,
/node-besu5,0.008333333333333333,0.0033333333333333335,0.614,0.612,0.00,0.00,268,0.00,transfer_report_50_20251108-162045,50,
/node-besu6,0.006666666666666667,0.002916666666666667,0.614,0.614,0.00,0.00,264,0.00,transfer_report_50_20251108-162045,50,
/node-besu2,0.007916666666666667,0.0033333333333333335,0.605,0.605,0.00,0.00,144,0.00,transfer_report_50_20251108-162045,50,
/node-besu4,0.010416666666666666,0.00375,0.648,0.648,0.00,0.00,272,0.00,transfer_report_50_20251108-162045,50,
/node-besu6,0.015,0.0062499999999999995,0.620,0.620,0.00,0.00,408,0.00,transfer_report_50_20251108-163115,50,
/node-besu5,0.01375,0.005416666666666667,0.619,0.619,0.00,0.00,176,0.00,transfer_report_50_20251108-163115,50,
/node-besu6,0.007916666666666667,0.0033333333333333335,0.613,0.611,0.00,0.00,388,0.00,transfer_report_50_20251108-160014,50,
/node-besu5,0.007916666666666667,0.0033333333333333335,0.599,0.599,0.00,0.00,380,0.00,transfer_report_50_20251108-160014,50,
/node-besu1,0.004166666666666667,0.002916666666666667,1.28,1.28,0.00,0.00,420,0.00,transfer_report_50_20251108-160014,50,
/node-besu3,0.011250000000000001,0.004166666666666667,0.553,0.551,0.00,0.00,392,0.00,transfer_report_50_20251108-160014,50,
/node-besu4,0.043750000000000004,0.010833333333333334,0.654,0.654,0.00,0.00,184,0.00,transfer_report_50_20251108-163115,50,
/node-besu2,0.015833333333333335,0.005416666666666667,0.611,0.610,0.00,0.00,424,0.00,transfer_report_50_20251108-163115,50,
/node-besu4,0.007916666666666667,0.0033333333333333335,0.659,0.657,0.00,0.00,128,0.00,transfer_report_50_20251108-160014,50,
/node-besu2,0.007916666666666667,0.0033333333333333335,0.591,0.591,0.00,0.00,84.0,0.00,transfer_report_50_20251108-160014,50,
/node-besu3,0.0075,0.005,0.557,0.557,0.00,0.00,260,0.00,transfer_report_60_20251108-161056,60,
/node-besu1,0.01916666666666667,0.010833333333333334,1.47,1.47,0.00,0.00,108,0.00,transfer_report_60_20251108-161056,60,
/node-besu5,0.035416666666666666,0.015833333333333335,0.606,0.606,0.00,0.00,252,0.00,transfer_report_60_20251108-161056,60,
/node-besu6,0.03791666666666667,0.016666666666666666,0.618,0.618,0.00,0.00,256,0.00,transfer_report_60_20251108-161056,60,
/node-besu2,0.04958333333333333,0.02125,0.599,0.599,0.00,0.00,64.0,0.00,transfer_report_60_20251108-161056,60,
/node-besu4,0.04833333333333333,0.017083333333333332,0.667,0.667,0.00,0.00,228,0.00,transfer_report_60_20251108-161056,60,
/node-besu3,0.007083333333333334,0.0033333333333333335,0.590,0.590,0.00,0.00,248,0.00,transfer_report_60_20251108-163156,60,
/node-besu1,0.05625,0.02625,1.48,1.48,0.00,0.00,348,0.00,transfer_report_60_20251108-163156,60,
/node-besu4,0.11208333333333333,0.030416666666666665,0.648,0.647,0.00,0.00,252,0.00,transfer_report_60_20251108-162126,60,
/node-besu2,0.03333333333333333,0.01375,0.605,0.605,0.00,0.00,216,0.00,transfer_report_60_20251108-162126,60,
/node-besu6,0.03916666666666666,0.015,0.614,0.614,0.00,0.00,280,0.00,transfer_report_60_20251108-162126,60,
/node-besu5,0.04083333333333333,0.01625,0.615,0.614,0.00,0.00,284,0.00,transfer_report_60_20251108-162126,60,
/node-besu1,0.06416666666666666,0.020833333333333332,1.47,1.47,0.00,0.00,196,0.00,transfer_report_60_20251108-162126,60,
/node-besu3,0.009166666666666667,0.00375,0.558,0.558,0.00,0.00,104,0.00,transfer_report_60_20251108-162126,60,
/node-besu2,0.04833333333333333,0.017499999999999998,0.611,0.611,0.00,0.00,328,0.00,transfer_report_60_20251108-163156,60,
/node-besu4,0.04708333333333333,0.017499999999999998,0.654,0.654,0.00,0.00,104,0.00,transfer_report_60_20251108-163156,60,
/node-besu5,0.03958333333333333,0.015833333333333335,0.619,0.619,0.00,0.00,16.0,0.00,transfer_report_60_20251108-163156,60,
/node-besu6,0.05625,0.02,0.620,0.620,0.00,0.00,344,0.00,transfer_report_60_20251108-163156,60,
/node-besu2,0.14166666666666666,0.035833333333333335,0.592,0.591,0.00,0.00,308,0.00,transfer_report_60_20251108-160056,60,
/node-besu4,0.14458333333333334,0.03625,0.660,0.659,0.00,0.00,352,0.00,transfer_report_60_20251108-160056,60,
/node-besu6,0.1175,0.03375,0.613,0.613,0.00,0.00,264,0.00,transfer_report_60_20251108-160056,60,
/node-besu5,0.14625,0.03625,0.600,0.600,0.00,0.00,296,0.00,transfer_report_60_20251108-160056,60,
/node-besu1,0.10625,0.034583333333333334,1.29,1.28,0.00,0.00,332,0.00,transfer_report_60_20251108-160056,60,
/node-besu3,0.01375,0.005833333333333334,0.553,0.553,0.00,0.00,56.0,0.00,transfer_report_60_20251108-160056,60,
