Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB],Disc Read [KB],Memory(avg) [MB]
/node-besu4,0.016666666666666666,0.005416666666666667,0.632,0.631,0.00,0.00,1.28,0.00,open_report_60_20251112-145649,60,,,
/node-besu1,0.13083333333333333,0.05666666666666667,1.52,1.36,0.00,0.00,2.05,0.00,open_report_60_20251112-145649,60,,,
/node-besu3,0.04125,0.02125,0.660,0.659,0.00,0.00,0.535,0.00,open_report_60_20251112-151249,60,,,
/node-besu5,0.050833333333333335,0.022083333333333333,0.718,0.718,0.00,0.00,1.32,0.00,open_report_60_20251112-151249,60,,,
/node-besu2,0.08208333333333333,0.030833333333333334,0.621,0.621,0.00,0.00,1.27,0.00,open_report_60_20251112-145649,60,,,
/node-besu6,0.08875,0.030416666666666665,0.608,0.607,0.00,0.00,0.551,0.00,open_report_60_20251112-145649,60,,,
/node-besu3,0.08625,0.029583333333333333,0.679,0.675,0.00,0.00,0.566,0.00,open_report_60_20251112-145649,60,,,
/node-besu5,0.08791666666666666,0.03125,0.743,0.742,0.00,0.00,1.31,0.00,open_report_60_20251112-145649,60,,,
/node-besu4,0.018333333333333333,0.0075,0.635,0.634,0.00,0.00,0.547,0.00,open_report_60_20251112-151249,60,,,
/node-besu1,0.13666666666666666,0.05583333333333334,1.54,1.54,0.00,0.00,2.05,0.00,open_report_60_20251112-151249,60,,,
/node-besu2,0.06208333333333333,0.024166666666666666,0.657,0.657,0.00,0.00,1.37,0.00,open_report_60_20251112-151249,60,,,
/node-besu6,0.050416666666666665,0.020833333333333332,0.613,0.613,0.00,0.00,0.391,0.00,open_report_60_20251112-151249,60,,,
/node-besu4,0.33416666666666667,0.050416666666666665,0.638,,0.00,0.00,0.781,,open_report_60_20251112-144035,60,,0.00,637
/node-besu1,0.7441666666666666,0.22,1.13,,0.00,0.00,3.61,,open_report_60_20251112-144035,60,,12.0,603
/node-besu3,0.30375,0.06041666666666667,0.567,,0.00,0.00,2.04,,open_report_60_20251112-144035,60,,0.00,537
/node-besu5,0.32416666666666666,0.06166666666666667,0.566,,0.00,0.00,2.05,,open_report_60_20251112-144035,60,,0.00,534
/node-besu6,0.3116666666666667,0.05583333333333334,0.591,,0.00,0.00,1.86,,open_report_60_20251112-144035,60,,0.00,564
/node-besu2,0.31,0.06375,0.557,,0.00,0.00,0.789,,open_report_60_20251112-144035,60,,0.00,544
/node-besu4,0.025833333333333333,0.0062499999999999995,0.700,0.700,0.00,0.00,0.332,0.00,open_report_60_20251112-152849,60,,,
/node-besu1,0.23458333333333334,0.06999999999999999,1.54,1.54,0.00,0.00,0.703,0.00,open_report_60_20251112-152849,60,,,
/node-besu2,0.11625,0.034166666666666665,0.660,0.659,0.00,0.00,1.17,0.00,open_report_60_20251112-152849,60,,,
/node-besu6,0.2020833333333333,0.035833333333333335,0.703,0.702,0.00,0.00,1.21,0.00,open_report_60_20251112-152849,60,,,
/node-besu5,0.11583333333333333,0.0275,0.719,0.719,0.00,0.00,1.27,0.00,open_report_60_20251112-152849,60,,,
/node-besu3,0.10125,0.024999999999999998,0.685,0.685,0.00,0.00,1.04,0.00,open_report_60_20251112-152849,60,,,
/node-besu5,0.01625,0.0075,0.744,0.743,0.00,0.00,,0.00,open_report_80_20251112-145754,80,156,,
/node-besu3,0.04416666666666667,0.012499999999999999,0.668,0.668,0.00,0.00,,0.00,open_report_80_20251112-145754,80,216,,
/node-besu6,0.017916666666666668,0.007083333333333334,0.608,0.608,0.00,0.00,,0.00,open_report_80_20251112-145754,80,256,,
/node-besu2,0.030416666666666665,0.010416666666666666,0.622,0.621,0.00,0.00,,0.00,open_report_80_20251112-145754,80,928,,
/node-besu4,0.325,0.043333333333333335,0.631,0.629,0.00,0.00,1.27,0.00,open_report_80_20251112-144201,80,,,
/node-besu1,0.29958333333333337,0.07916666666666666,1.30,1.17,0.00,0.00,2.39,0.00,open_report_80_20251112-144201,80,,,
/node-besu6,0.35958333333333337,0.04666666666666667,0.593,0.592,0.00,0.00,1.17,0.00,open_report_80_20251112-144201,80,,,
/node-besu2,0.36541666666666667,0.04833333333333333,0.565,0.558,0.00,0.00,2.18,0.00,open_report_80_20251112-144201,80,,,
/node-besu4,0.014583333333333332,0.0062499999999999995,0.635,0.635,0.00,0.00,1.33,0.00,open_report_80_20251112-151354,80,,,
/node-besu1,0.14666666666666667,0.03958333333333333,1.53,1.53,0.00,0.00,0.641,0.00,open_report_80_20251112-151354,80,,,
/node-besu5,0.029583333333333333,0.018333333333333333,0.718,0.718,0.00,0.00,0.992,0.00,open_report_80_20251112-151354,80,,,
/node-besu3,0.05333333333333334,0.02,0.660,0.659,0.00,0.00,0.242,0.00,open_report_80_20251112-151354,80,,,
