Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
open,1000,0,60.0,47.78,34.74,41.36,19.5,open_report_60_20251112-151249,60
open,1000,0,60.1,64.83,52.49,58.93,14.5,open_report_60_20251112-144035,60
open,1000,0,60.0,49.39,32.73,40.99,19.6,open_report_60_20251112-152849,60
open,1000,0,60.0,48.50,31.84,41.36,19.5,open_report_60_20251112-145649,60
open,1000,0,80.1,43.14,34.16,38.70,21.4,open_report_80_20251112-152953,80
open,1000,0,80.1,38.61,29.62,34.10,23.8,open_report_80_20251112-144201,80
open,1000,0,80.1,29.82,20.77,25.31,30.1,open_report_80_20251112-145754,80
open,1000,0,80.1,44.09,31.61,38.51,21.5,open_report_80_20251112-151354,80
open,1000,0,100.2,44.48,34.49,37.84,22.4,open_report_100_20251112-144257,100
open,1000,0,100.1,30.35,20.36,25.45,31.2,open_report_100_20251112-153053,100
open,1000,0,100.2,29.80,23.22,26.54,30.1,open_report_100_20251112-151453,100
open,1000,0,100.1,43.69,33.71,39.97,21.4,open_report_100_20251112-145853,100
open,1000,0,120.2,43.03,38.11,40.62,21.5,open_report_120_20251112-145953,120
open,1000,0,120.2,42.90,37.99,40.49,21.6,open_report_120_20251112-153153,120
open,1000,0,120.2,42.57,38.05,40.47,21.6,open_report_120_20251112-144355,120
open,1000,0,120.2,44.28,35.96,40.87,21.4,open_report_120_20251112-151553,120
open,1000,0,140.0,43.65,36.51,41.38,21.4,open_report_140_20251112-150053,140
open,1000,0,137.5,42.88,39.05,41.03,21.6,open_report_140_20251112-151653,140
open,1000,0,139.5,44.60,37.43,41.25,21.5,open_report_140_20251112-153253,140
open,1000,0,140.3,44.71,37.58,39.72,22.2,open_report_140_20251112-144455,140
open,1000,0,157.9,44.08,37.74,41.61,21.4,open_report_160_20251112-151753,160
open,1000,0,156.3,43.09,40.16,41.40,21.5,open_report_160_20251112-153353,160
open,1000,0,153.6,33.58,30.54,31.94,27.0,open_report_160_20251112-144554,160
open,1000,0,157.5,43.25,40.32,41.63,21.4,open_report_160_20251112-150153,160
open,1000,0,155.9,44.20,37.78,41.18,21.6,open_report_180_20251112-153453,180
open,1000,0,147.2,46.23,39.43,41.47,21.4,open_report_180_20251112-144653,180
open,1000,0,158.5,43.12,40.28,41.53,21.5,open_report_180_20251112-151853,180
open,1000,0,165.6,43.24,37.15,41.72,21.4,open_report_180_20251112-150253,180
