Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB]
/node-besu4,0.007916666666666667,0.004583333333333333,0.702,0.702,0.00,0.00,0.0938,0.00,query_report_100_20251112-153553,100,
/node-besu1,0.01958333333333333,0.008749999999999999,1.54,1.54,0.00,0.00,1.36,0.00,query_report_100_20251112-153553,100,
/node-besu3,0.013333333333333334,0.006666666666666667,0.686,0.686,0.00,0.00,0.172,0.00,query_report_100_20251112-153553,100,
/node-besu5,0.005416666666666667,0.00375,0.720,0.720,0.00,0.00,0.129,0.00,query_report_100_20251112-153553,100,
/node-besu6,0.012083333333333333,0.005833333333333334,0.703,0.703,0.00,0.00,0.539,0.00,query_report_100_20251112-153553,100,
/node-besu2,0.006666666666666667,0.004166666666666667,0.663,0.663,0.00,0.00,0.133,0.00,query_report_100_20251112-153553,100,
/node-besu4,0.010833333333333334,0.005416666666666667,0.699,0.699,0.00,0.00,,0.00,query_report_100_20251112-151953,100,376
/node-besu1,0.03333333333333333,0.018333333333333333,1.54,1.54,0.00,0.00,,0.00,query_report_100_20251112-151953,100,0.00
/node-besu3,0.017083333333333332,0.012499999999999999,0.685,0.684,0.00,0.00,,0.00,query_report_100_20251112-151953,100,216
/node-besu5,0.017916666666666668,0.013333333333333334,0.718,0.718,0.00,0.00,,0.00,query_report_100_20251112-151953,100,0.00
/node-besu2,0.016666666666666666,0.012083333333333333,0.658,0.658,0.00,0.00,,0.00,query_report_100_20251112-151953,100,388
/node-besu6,0.017083333333333332,0.01625,0.722,0.722,0.00,0.00,,0.00,query_report_100_20251112-151953,100,0.00
/node-besu3,0.01,0.005,0.680,0.680,0.00,0.00,,0.00,query_report_100_20251112-144753,100,92.0
/node-besu5,0.009166666666666667,0.005,0.738,0.737,0.00,0.00,,0.00,query_report_100_20251112-144753,100,100
/node-besu4,0.01875,0.008333333333333333,0.634,0.634,0.00,0.00,,0.00,query_report_100_20251112-144753,100,96.0
/node-besu1,0.03375,0.015,1.33,1.33,0.00,0.00,,0.00,query_report_100_20251112-144753,100,276
/node-besu2,0.011250000000000001,0.005416666666666667,0.615,0.615,0.00,0.00,,0.00,query_report_100_20251112-144753,100,140
/node-besu6,0.01,0.005416666666666667,0.603,0.603,0.00,0.00,,0.00,query_report_100_20251112-144753,100,104
/node-besu1,0.017499999999999998,0.014166666666666668,1.54,1.54,0.00,0.00,,0.00,query_report_100_20251112-150353,100,216
/node-besu4,0.004166666666666667,0.00375,0.633,0.633,0.00,0.00,,0.00,query_report_100_20251112-150353,100,80.0
/node-besu6,0.01625,0.0075,0.612,0.612,0.00,0.00,,0.00,query_report_100_20251112-150353,100,80.0
/node-besu2,0.014583333333333332,0.008333333333333333,0.655,0.655,0.00,0.00,,0.00,query_report_100_20251112-150353,100,80.0
/node-besu5,0.015833333333333335,0.008749999999999999,0.729,0.729,0.00,0.00,,0.00,query_report_100_20251112-150353,100,132
/node-besu3,0.020416666666666666,0.009166666666666667,0.670,0.670,0.00,0.00,,0.00,query_report_100_20251112-150353,100,92.0
/node-besu4,0.01625,0.009583333333333334,0.699,0.699,0.00,0.00,,0.00,query_report_200_20251112-152017,200,24.0
/node-besu1,0.0033333333333333335,0.0033333333333333335,1.54,1.54,0.00,0.00,,0.00,query_report_200_20251112-152017,200,0.00
/node-besu6,0.005416666666666667,0.004166666666666667,0.603,0.603,0.00,0.00,,0.00,query_report_200_20251112-144817,200,160
/node-besu2,0.009166666666666667,0.006666666666666667,0.615,0.615,0.00,0.00,,0.00,query_report_200_20251112-144817,200,120
/node-besu6,0.00375,0.0033333333333333335,0.703,0.703,0.00,0.00,,0.00,query_report_200_20251112-153617,200,84.0
/node-besu2,0.00375,0.002916666666666667,0.663,0.663,0.00,0.00,,0.00,query_report_200_20251112-153617,200,44.0
/node-besu5,0.002916666666666667,0.0025,0.720,0.720,0.00,0.00,,0.00,query_report_200_20251112-153617,200,48.0
/node-besu3,0.00375,0.0033333333333333335,0.686,0.686,0.00,0.00,,0.00,query_report_200_20251112-153617,200,40.0
/node-besu3,0.00375,0.002916666666666667,0.684,0.684,0.00,0.00,,0.00,query_report_200_20251112-152017,200,0.00
/node-besu5,0.004166666666666667,0.0033333333333333335,0.718,0.718,0.00,0.00,,0.00,query_report_200_20251112-152017,200,0.00
/node-besu6,0.0033333333333333335,0.002916666666666667,0.721,0.721,0.00,0.00,,0.00,query_report_200_20251112-152017,200,0.00
/node-besu2,0.0033333333333333335,0.0033333333333333335,0.658,0.658,0.00,0.00,,0.00,query_report_200_20251112-152017,200,0.00
/node-besu4,0.015416666666666667,0.009166666666666667,0.633,0.633,0.00,0.00,,0.00,query_report_200_20251112-150429,200,116
/node-besu1,0.004166666666666667,0.0033333333333333335,1.54,1.54,0.00,0.00,,0.00,query_report_200_20251112-150429,200,188
/node-besu3,0.005833333333333334,0.004166666666666667,0.670,0.670,0.00,0.00,,0.00,query_report_200_20251112-150429,200,88.0
/node-besu5,0.004583333333333333,0.00375,0.729,0.729,0.00,0.00,,0.00,query_report_200_20251112-150429,200,84.0
/node-besu2,0.004166666666666667,0.00375,0.656,0.656,0.00,0.00,,0.00,query_report_200_20251112-150429,200,88.0
/node-besu6,0.06999999999999999,0.03666666666666667,0.612,0.612,0.00,0.00,,0.00,query_report_200_20251112-150429,200,84.0
/node-besu1,0.005,0.00375,1.54,1.54,0.00,0.00,,0.00,query_report_200_20251112-153617,200,0.00
/node-besu4,0.02125,0.012083333333333333,0.702,0.702,0.00,0.00,,0.00,query_report_200_20251112-153617,200,44.0
/node-besu1,0.015833333333333335,0.012083333333333333,1.33,1.33,0.00,0.00,,0.00,query_report_200_20251112-144817,200,388
/node-besu4,0.11791666666666667,0.06666666666666667,0.627,0.627,0.00,0.00,,0.00,query_report_200_20251112-144817,200,192
/node-besu3,0.004166666666666667,0.0033333333333333335,0.680,0.680,0.00,0.00,,0.00,query_report_200_20251112-144817,200,164
/node-besu5,0.016666666666666666,0.009583333333333334,0.738,0.738,0.00,0.00,,0.00,query_report_200_20251112-144817,200,168
/node-besu6,0.006666666666666667,0.005,0.612,0.612,0.00,0.00,,0.00,query_report_300_20251112-150448,300,48.0
/node-besu2,0.0075,0.0075,0.656,0.656,0.00,0.00,,0.00,query_report_300_20251112-150448,300,48.0
/node-besu6,0.0033333333333333335,0.0033333333333333335,0.703,0.703,0.00,0.00,,0.00,query_report_300_20251112-153650,300,16.0
/node-besu2,0.0025,0.0025,0.663,0.663,0.00,0.00,,0.00,query_report_300_20251112-153650,300,56.0
/node-besu4,0.02125,0.012083333333333333,0.627,0.627,0.00,0.00,,0.00,query_report_300_20251112-144835,300,52.0
/node-besu1,0.0025,0.0025,1.33,1.33,0.00,0.00,,0.00,query_report_300_20251112-144835,300,120
/node-besu3,0.002916666666666667,0.0025,0.680,0.680,0.00,0.00,,0.00,query_report_300_20251112-144835,300,56.0
/node-besu5,0.0025,0.0025,0.738,0.738,0.00,0.00,,0.00,query_report_300_20251112-144835,300,52.0
/node-besu5,0.0025,0.0025,0.720,0.720,0.00,0.00,,0.00,query_report_300_20251112-153650,300,96.0
/node-besu3,0.00375,0.0033333333333333335,0.686,0.686,0.00,0.00,,0.00,query_report_300_20251112-153650,300,128
/node-besu4,0.004583333333333333,0.00375,0.633,0.633,0.00,0.00,,0.00,query_report_300_20251112-150448,300,48.0
/node-besu1,0.0075,0.005,1.54,1.54,0.00,0.00,,0.00,query_report_300_20251112-150448,300,220
/node-besu4,0.021666666666666667,0.012083333333333333,0.702,0.702,0.00,0.00,,0.00,query_report_300_20251112-153650,300,96.0
