Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
query,1000,0,100.2,0.01,0.00,0.00,100.1,query_report_100_20251112-153553,100
query,1000,0,100.1,0.01,0.00,0.00,100.1,query_report_100_20251112-151953,100
query,1000,0,100.1,0.02,0.00,0.00,100.1,query_report_100_20251112-144753,100
query,1000,0,100.1,0.01,0.00,0.00,100.1,query_report_100_20251112-150353,100
query,1000,0,200.3,0.01,0.00,0.00,200.3,query_report_200_20251112-152017,200
query,1000,0,200.4,0.01,0.00,0.00,200.4,query_report_200_20251112-150429,200
query,1000,0,200.4,0.01,0.00,0.00,200.3,query_report_200_20251112-153617,200
query,1000,0,200.4,0.01,0.00,0.00,200.3,query_report_200_20251112-144817,200
query,1000,0,300.7,0.01,0.00,0.00,300.6,query_report_300_20251112-152048,300
query,999,1,300.7,0.02,0.00,0.00,300.5,query_report_300_20251112-144835,300
query,999,1,300.8,0.01,0.00,0.00,300.7,query_report_300_20251112-153650,300
query,1000,0,300.8,0.01,0.00,0.00,300.6,query_report_300_20251112-150448,300
query,1000,0,401.1,0.01,0.00,0.00,401.0,query_report_400_20251112-152105,400
query,1000,0,401.1,0.01,0.00,0.00,400.8,query_report_400_20251112-150505,400
query,1000,0,401.1,0.01,0.00,0.00,400.8,query_report_400_20251112-144852,400
query,1000,0,401.3,0.01,0.00,0.00,401.0,query_report_400_20251112-153707,400
query,1000,0,501.5,0.01,0.00,0.00,501.0,query_report_500_20251112-144908,500
query,1000,0,501.5,0.01,0.00,0.00,501.0,query_report_500_20251112-153723,500
query,1000,0,502.0,0.01,0.00,0.00,501.8,query_report_500_20251112-152121,500
query,1000,0,501.8,0.01,0.00,0.00,501.3,query_report_500_20251112-150521,500
query,1000,0,601.3,0.01,0.00,0.00,600.6,query_report_600_20251112-153738,600
query,1000,0,601.0,0.01,0.00,0.00,600.2,query_report_600_20251112-150536,600
query,1000,0,592.1,0.01,0.00,0.00,591.4,query_report_600_20251112-144924,600
query,1000,0,601.3,0.01,0.00,0.00,601.0,query_report_600_20251112-152137,600
query,1000,0,588.9,0.01,0.00,0.00,588.6,query_report_700_20251112-153753,700
query,1000,0,596.7,0.01,0.00,0.00,595.9,query_report_700_20251112-152152,700
query,1000,0,586.5,0.01,0.00,0.00,585.8,query_report_700_20251112-150552,700
query,1000,0,615.4,0.01,0.00,0.00,614.6,query_report_700_20251112-144939,700
