Name,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [KB],Disc Read [B],Report,TPS,Disc Write [MB]
/node-besu4,0.04708333333333333,0.020833333333333332,0.628,0.628,0.00,0.00,392,0.00,transfer_report_50_20251112-144955,50,
/node-besu1,0.3425,0.04125,1.33,1.33,0.00,0.00,540,0.00,transfer_report_50_20251112-144955,50,
/node-besu3,0.28291666666666665,0.03333333333333333,0.686,0.683,0.00,0.00,132,0.00,transfer_report_50_20251112-144955,50,
/node-besu5,0.42375,0.05125,0.742,0.739,0.00,0.00,536,0.00,transfer_report_50_20251112-144955,50,
/node-besu6,0.21208333333333332,0.027083333333333334,0.605,0.605,0.00,0.00,548,0.00,transfer_report_50_20251112-144955,50,
/node-besu2,0.24583333333333335,0.03333333333333333,0.618,0.617,0.00,0.00,540,0.00,transfer_report_50_20251112-144955,50,
/node-besu3,0.007916666666666667,0.0033333333333333335,0.685,0.685,0.00,0.00,132,0.00,transfer_report_50_20251112-152207,50,
/node-besu5,0.00375,0.002916666666666667,0.719,0.719,0.00,0.00,160,0.00,transfer_report_50_20251112-152207,50,
/node-besu4,0.09416666666666666,0.017916666666666668,0.699,0.699,0.00,0.00,300,0.00,transfer_report_50_20251112-152207,50,
/node-besu1,0.0062499999999999995,0.00375,1.54,1.54,0.00,0.00,196,0.00,transfer_report_50_20251112-152207,50,
/node-besu6,0.005833333333333334,0.0033333333333333335,0.722,0.705,0.00,0.00,180,0.00,transfer_report_50_20251112-152207,50,
/node-besu2,0.004583333333333333,0.002916666666666667,0.658,0.658,0.00,0.00,172,0.00,transfer_report_50_20251112-152207,50,
/node-besu2,0.0325,0.016666666666666666,0.663,0.663,0.00,0.00,372,0.00,transfer_report_50_20251112-153809,50,
/node-besu6,0.03208333333333333,0.016666666666666666,0.703,0.703,0.00,0.00,368,0.00,transfer_report_50_20251112-153809,50,
/node-besu5,0.03208333333333333,0.016666666666666666,0.720,0.720,0.00,0.00,408,0.00,transfer_report_50_20251112-153809,50,
/node-besu3,0.029583333333333333,0.014166666666666668,0.686,0.686,0.00,0.00,384,0.00,transfer_report_50_20251112-153809,50,
/node-besu3,0.03833333333333334,0.008333333333333333,0.670,0.670,0.00,0.00,384,0.00,transfer_report_50_20251112-150607,50,
/node-besu5,0.004166666666666667,0.0033333333333333335,0.729,0.729,0.00,0.00,420,0.00,transfer_report_50_20251112-150607,50,
/node-besu2,0.00375,0.002916666666666667,0.656,0.656,0.00,0.00,96.0,0.00,transfer_report_50_20251112-150607,50,
/node-besu6,0.0725,0.012916666666666667,0.612,0.612,0.00,0.00,416,0.00,transfer_report_50_20251112-150607,50,
/node-besu4,0.08791666666666666,0.015,0.702,0.702,0.00,0.00,172,0.00,transfer_report_50_20251112-153809,50,
/node-besu1,0.03791666666666667,0.017083333333333332,1.54,1.54,0.00,0.00,128,0.00,transfer_report_50_20251112-153809,50,
/node-besu1,0.004166666666666667,0.0033333333333333335,1.54,1.54,0.00,0.00,416,0.00,transfer_report_50_20251112-150607,50,
/node-besu4,0.01625,0.008333333333333333,0.634,0.633,0.00,0.00,276,0.00,transfer_report_50_20251112-150607,50,
/node-besu4,0.002916666666666667,0.002916666666666667,0.630,0.628,0.00,0.00,392,0.00,transfer_report_60_20251112-145049,60,
