Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
transfer,50,0,51.2,41.20,40.32,40.74,1.2,transfer_report_50_20251112-144955,50
transfer,50,0,51.3,28.03,27.07,27.54,1.8,transfer_report_50_20251112-152207,50
transfer,50,0,51.3,28.47,27.54,27.99,1.8,transfer_report_50_20251112-150607,50
transfer,50,0,51.2,26.91,25.95,26.42,1.9,transfer_report_50_20251112-153809,50
transfer,50,0,61.7,46.65,45.85,46.23,1.1,transfer_report_60_20251112-152249,60
transfer,50,0,61.7,46.54,45.74,46.12,1.1,transfer_report_60_20251112-153849,60
transfer,50,0,61.6,46.55,45.75,46.12,1.1,transfer_report_60_20251112-150649,60
transfer,50,0,61.6,46.26,45.48,45.85,1.1,transfer_report_60_20251112-145049,60
transfer,50,0,71.9,32.56,31.88,32.17,1.5,transfer_report_70_20251112-145149,70
transfer,50,0,71.8,46.45,45.77,46.08,1.1,transfer_report_70_20251112-150749,70
transfer,50,0,71.8,46.40,45.72,46.03,1.1,transfer_report_70_20251112-152349,70
transfer,50,0,82.5,46.61,46.02,46.25,1.1,transfer_report_80_20251112-145249,80
transfer,50,0,82.4,46.54,45.94,46.18,1.1,transfer_report_80_20251112-150849,80
transfer,50,0,82.5,46.67,46.08,46.32,1.1,transfer_report_80_20251112-152449,80
transfer,50,0,88.3,46.53,45.98,46.18,1.1,transfer_report_90_20251112-145349,90
transfer,50,0,92.3,32.44,31.95,32.13,1.5,transfer_report_90_20251112-152549,90
transfer,50,0,91.7,32.81,32.28,32.48,1.5,transfer_report_90_20251112-150949,90
transfer,50,0,88.8,46.35,45.81,46.00,1.1,transfer_report_100_20251112-145449,100
transfer,50,0,87.1,46.66,46.10,46.29,1.1,transfer_report_100_20251112-152649,100
transfer,50,0,92.3,46.48,45.97,46.16,1.1,transfer_report_100_20251112-151049,100
transfer,50,0,89.4,46.66,46.12,46.32,1.1,transfer_report_110_20251112-145549,110
transfer,50,0,91.4,46.61,46.08,46.27,1.1,transfer_report_110_20251112-152749,110
transfer,50,0,87.1,46.59,46.03,46.22,1.1,transfer_report_110_20251112-151149,110
