Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB]
/node-besu1,0.53625,0.27,1.01e+3,719,0.00,0.00,2.10,0.00,open_report,0,
/node-besu5,0.44,0.18458333333333332,656,635,0.00,0.00,1.52,0.00,open_report,0,
/node-besu6,0.4066666666666667,0.16,546,502,0.00,0.00,0.684,0.00,open_report,0,
/node-besu4,0.5158333333333334,0.20166666666666666,558,525,0.00,0.00,1.57,0.00,open_report,0,
/node-besu2,0.43333333333333335,0.1758333333333333,582,552,0.00,0.00,1.64,0.00,open_report,0,
/node-besu3,0.4275,0.18000000000000002,718,622,0.00,0.00,1.49,0.00,open_report,0,
/node-besu1,0.010833333333333334,0.0075,1.02e+3,1.02e+3,0.00,0.00,,0.00,query_report,0,0.00
/node-besu5,0.04958333333333333,0.02625,710,699,0.00,0.00,,0.00,query_report,0,112
/node-besu6,0.035833333333333335,0.01958333333333333,542,542,0.00,0.00,,0.00,query_report,0,944
/node-besu4,0.06416666666666666,0.03333333333333333,559,559,0.00,0.00,,0.00,query_report,0,140
/node-besu2,0.03666666666666667,0.02,619,619,0.00,0.00,,0.00,query_report,0,120
/node-besu3,0.03958333333333333,0.020833333333333332,718,718,0.00,0.00,,0.00,query_report,0,136
/node-besu1,0.024166666666666666,0.012916666666666667,1.02e+3,1.02e+3,0.00,0.00,,0.00,transfer_report,0,0.00
/node-besu5,0.0033333333333333335,0.0033333333333333335,717,715,0.00,0.00,,0.00,transfer_report,0,160
/node-besu6,0.0033333333333333335,0.002916666666666667,543,541,0.00,0.00,,0.00,transfer_report,0,0.00
/node-besu4,0.004166666666666667,0.0033333333333333335,559,559,0.00,0.00,,0.00,transfer_report,0,224
/node-besu2,0.002916666666666667,0.002916666666666667,620,620,0.00,0.00,,0.00,transfer_report,0,184
/node-besu3,0.0033333333333333335,0.002916666666666667,719,718,0.00,0.00,,0.00,transfer_report,0,144
