Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB]
/node-besu3,0.15583333333333335,0.049999999999999996,593,567,0.00,0.00,0.379,0.00,open_report,0,
/node-besu5,0.505,0.13208333333333333,540,529,0.00,0.00,1.33,0.00,open_report,0,
/node-besu2,0.8762500000000001,0.22708333333333333,549,531,0.00,0.00,1.35,0.00,open_report,0,
/node-besu6,0.49124999999999996,0.12875,470,459,0.00,0.00,0.660,0.00,open_report,0,
/node-besu1,0.59375,0.22708333333333333,991,724,0.00,0.00,0.0156,0.00,open_report,0,
/node-besu4,0.5975,0.15416666666666667,506,495,0.00,0.00,0.664,0.00,open_report,0,
/node-besu3,0.03166666666666667,0.017083333333333332,582,582,0.00,0.00,,0.00,query_report,0,412
/node-besu5,0.008749999999999999,0.005833333333333334,541,540,0.00,0.00,,0.00,query_report,0,124
/node-besu2,0.004166666666666667,0.0033333333333333335,550,550,0.00,0.00,,0.00,query_report,0,100
/node-besu6,0.004166666666666667,0.0033333333333333335,495,495,0.00,0.00,,0.00,query_report,0,100
/node-besu1,0.017083333333333332,0.01,991,991,0.00,0.00,,0.00,query_report,0,312
/node-besu4,0.005833333333333334,0.004166666666666667,541,536,0.00,0.00,,0.00,query_report,0,796
/node-besu3,0.0025,0.0025,583,583,0.00,0.00,,0.00,transfer_report,0,208
/node-besu5,0.057916666666666665,0.030416666666666665,540,539,0.00,0.00,,0.00,transfer_report,0,220
/node-besu2,0.028749999999999998,0.017499999999999998,594,574,0.00,0.00,,0.00,transfer_report,0,232
/node-besu6,0.015416666666666667,0.008749999999999999,502,499,0.00,0.00,,0.00,transfer_report,0,216
/node-besu1,0.020416666666666666,0.011666666666666667,992,991,0.00,0.00,,0.00,transfer_report,0,0.00
/node-besu4,0.020416666666666666,0.011666666666666667,549,545,0.00,0.00,,0.00,transfer_report,0,0.00
