Name,CPU%(max),CPU%(avg),Memory(max) [MB],Memory(avg) [MB],Traffic In [B],Traffic Out [B],Disc Write [MB],Disc Read [B],Report,TPS,Disc Write [KB]
/node-besu5,0.5354166666666667,0.21041666666666667,537,502,0.00,0.00,0.0859,0.00,open_report,0,
/node-besu8,0.47,0.13458333333333333,543,525,0.00,0.00,1.36,0.00,open_report,0,
/node-besu1,0.4991666666666667,0.2304166666666667,992,750,0.00,0.00,2.39,0.00,open_report,0,
/node-besu6,0.4604166666666667,0.12833333333333333,540,499,0.00,0.00,1.43,0.00,open_report,0,
/node-besu2,0.48291666666666666,0.13125,535,495,0.00,0.00,0.0430,0.00,open_report,0,
/node-besu3,0.42791666666666667,0.11708333333333333,545,507,0.00,0.00,1.39,0.00,open_report,0,
/node-besu4,0.7558333333333334,0.19208333333333336,542,494,0.00,0.00,1.46,0.00,open_report,0,
/node-besu7,0.47458333333333336,0.12625,560,529,0.00,0.00,1.39,0.00,open_report,0,
/node-besu5,0.011666666666666667,0.0075,538,538,0.00,0.00,1.32,0.00,query_report,0,
/node-besu8,0.002916666666666667,0.0025,542,542,0.00,0.00,0.0977,0.00,query_report,0,
/node-besu1,0.018333333333333333,0.010833333333333334,1.02e+3,1.00e+3,0.00,0.00,0.281,0.00,query_report,0,
/node-besu6,0.0033333333333333335,0.002916666666666667,541,540,0.00,0.00,0.129,0.00,query_report,0,
/node-besu2,0.002916666666666667,0.002916666666666667,525,525,0.00,0.00,0.00,0.00,query_report,0,
/node-besu3,0.002916666666666667,0.002916666666666667,545,545,0.00,0.00,0.125,0.00,query_report,0,
/node-besu4,0.008333333333333333,0.005416666666666667,543,543,0.00,0.00,0.0938,0.00,query_report,0,
/node-besu7,0.0033333333333333335,0.0033333333333333335,560,560,0.00,0.00,0.0977,0.00,query_report,0,
/node-besu5,0.029166666666666664,0.01625,539,538,0.00,0.00,,0.00,transfer_report,0,0.00
/node-besu8,0.0062499999999999995,0.004583333333333333,543,543,0.00,0.00,,0.00,transfer_report,0,160
/node-besu1,0.005416666666666667,0.004166666666666667,1.02e+3,1.02e+3,0.00,0.00,,0.00,transfer_report,0,180
/node-besu6,0.004166666666666667,0.0033333333333333335,542,541,0.00,0.00,,0.00,transfer_report,0,176
/node-besu2,0.004166666666666667,0.0033333333333333335,530,528,0.00,0.00,,0.00,transfer_report,0,168
/node-besu3,0.00375,0.00375,546,544,0.00,0.00,,0.00,transfer_report,0,168
/node-besu4,0.0033333333333333335,0.0033333333333333335,546,544,0.00,0.00,,0.00,transfer_report,0,172
/node-besu7,0.00375,0.0033333333333333335,561,561,0.00,0.00,,0.00,transfer_report,0,140
